Date,rate_TEVA_5D,rate_VOO_20D
2015-01,-3.245,-3.5197
2015-02,-1.5922,1.8044
2015-03,7.479,-0.4337
2015-04,2.6436,0.3137
2015-05,1.7708,1.1277
2015-06,-0.2724,-1.1499
2015-07,15.9235,0.7758
2015-08,6.8823,-5.4229
2015-09,-6.9663,-7.1738
2015-10,-2.302,1.0672
2015-11,4.3886,1.2476
2015-12,8.2218,-0.572
2016-01,1.2911,-4.925
2016-02,-7.1106,-4.8231
2016-03,-10.2513,1.7982
2016-04,-8.2189,1.9719
2016-05,-11.3444,3.5419
2016-06,-13.6831,3.6524
2016-07,-7.4378,7.2416
2016-08,-11.6688,7.0197
2016-09,-19.0746,6.6568
2016-10,-23.8855,4.4599
2016-11,-32.0258,8.0958
2016-12,-32.7362,9.9999
2017-01,-36.9438,11.4564
2017-02,-32.0256,15.2492
2017-03,-36.6723,14.8019
2017-04,-36.4958,15.441
2017-05,-42.9115,16.5118
2017-06,-29.6373,16.6668
2017-07,-30.9862,18.4843
2017-08,-63.7223,18.2445
2017-09,-57.6896,20.0845
2017-10,-65.6407,22.2583
2017-11,-60.6302,25.3046
2017-12,-47.6857,26.2059
2018-01,-42.3432,32.449
2018-02,-44.5066,26.7739
2018-03,-45.3214,23.0189
2018-04,-41.7856,22.8575
2018-05,-29.3289,25.2441
2018-06,-19.3537,25.5573
2018-07,-20.1445,29.3514
2018-08,-23.2021,32.7978
2018-09,-27.3722,32.8363
2018-10,-32.1635,23.2702
2018-11,-26.4507,25.0563
2018-12,-46.3692,13.5319
2019-01,-30.136,22.1943
2019-02,-40.258,25.7013
2019-03,-43.5919,27.5721
2019-04,-44.3352,32.1369
2019-05,-67.8944,23.323
2019-06,-64.3085,31.3236
2019-07,-68.37,32.644
2019-08,-71.4215,29.9311
2019-09,-70.2973,31.9602
2019-10,-63.4405,34.2575
2019-11,-51.9702,38.4965
2019-12,-53.9285,41.933
2020-01,-50.4417,41.1927
2020-02,-44.2967,29.1327
2020-03,-55.6677,15.0941
2020-04,-45.8457,29.6087
2020-05,-35.9161,35.3017
2020-06,-36.4846,37.2398
2020-07,-40.0965,44.6817
2020-08,-48.3833,54.038
2020-09,-52.1553,47.5315
2020-10,-52.9996,43.1102
2020-11,-48.0953,57.9789
2020-12,-46.6912,63.0361
2021-01,-34.3482,60.507
2021-02,-39.4989,64.0387
2021-03,-34.6948,70.5941
2021-04,-39.0298,78.6176
2021-05,-40.2714,78.7807
2021-06,-42.675,81.7862
2021-07,-43.4786,85.165
2021-08,-44.3319,89.5209
2021-09,-41.8922,79.652
2021-10,-47.4053,91.2215
2021-11,-49.9176,88.7203
2021-12,-50.8221,96.1753
2022-01,-47.6747,84.8382
2022-02,-49.0818,78.356
2022-03,-40.5113,84.1718
2022-04,-44.4825,67.1269
2022-05,-41.4257,69.9248
2022-06,-49.9579,50.6444
2022-07,-35.6521,63.8565
2022-08,-37.631,56.4409
2022-09,-43.8514,41.6257
2022-10,-37.6382,52.5015
2022-11,-38.3244,60.3073
2022-12,-35.4974,50.5328
2023-01,-25.0931,59.4277
2023-02,-29.2712,54.8564
2023-03,-36.3498,60.006
2023-04,-36.8914,61.9344
2023-05,-47.6662,62.0896
2023-06,-44.8149,71.9711
2023-07,-37.9569,76.904
2023-08,-27.599,73.3179
2023-09,-24.1219,64.4308
2023-10,-31.8204,60.2637
2023-11,-21.7793,74.3036
2023-12,-16.6222,81.5558
2024-01,-3.2439,83.6948
2024-02,5.1506,92.4418
2024-03,12.7053,97.8859
2024-04,7.3447,89.1612
2024-05,29.2693,97.7957
2024-06,23.8681,103.9456
2024-07,32.5227,105.3805
2024-08,43.1594,105.1825
2024-09,36.3728,108.7418
2024-10,34.5133,105.866
2024-11,22.1382,111.6911
2024-12,60.1312,104.7706
2025-01,44.8594,105.8612
2025-02,38.7027,102.4101
2025-03,29.2458,92.6645
2025-04,17.0834,73.1455
