2025-04-08 - Analysis Report
## RTX Corp Stock Report

**0. Executive Summary:**

RTX Corp (formerly Raytheon Technologies) is an aerospace and defense company.  This report analyzes RTX's recent performance against the S&P 500 (VOO), using provided financial data and market indicators to assess its current state and potential future performance.  Key findings indicate a recent underperformance relative to the S&P 500, alongside mixed signals from financial ratios and momentum indicators.

**1. Performance Comparison & Alpha/Beta Analysis:**

RTX's cumulative return (65.24%) lags behind the S&P 500's (73.15%) by 7.9 percentage points. The relative underperformance places it at the 84.3rd percentile of the historical range (max: 3.5%, min: -69.3%).

The Alpha/Beta analysis reveals significant volatility in performance and risk exposure over the years.  While exhibiting periods of strong outperformance (positive Alpha, notably in 2021-2023 and 2022-2024), RTX has also experienced considerable negative alpha and periods of underperformance relative to the market (negative Alpha, especially 2018-2020). Beta fluctuates around 1, indicating variable sensitivity to market movements. Market capitalization has generally increased over time.

| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2015-2017  | 28.0% | 5.3% | -2.0% | -0.1 | 90.1 |
| 2016-2018  | 16.0% | 12.6% | -2.0% | -0.0 | 76.9 |
| 2017-2019  | 30.0% | 12.6% | -1.0% | -0.1 | 110.5 |
| 2018-2020  | -24.0% | 26.5% | -55.0% | -0.9 | 86.3 |
| 2019-2021  | 19.0% | 26.5% | -55.0% | -0.8 | 106.3 |
| 2020-2022  | 6.0% | 26.5% | -3.0% | -0.9 | 127.6 |
| 2021-2023  | 19.0% | 15.7% | 1.7 | 1.09 | 109.2 |
| 2022-2024  | 26.0% | 59.6% | 1.1 | 1.15 | 153.7 |
| 2023-2025  | 24.0% | 64.1% | 1.1 | 1.16 | 156.6 |


**2. Recent Price Movement:**

RTX's current closing price is $117.32, down $0.11 from the previous close.  The stock price is below its 5-day ($126.2), 20-day ($130.77), and 60-day ($127.40) moving averages, indicating a bearish short-term trend.

**3. Technical Indicators & Expected Return:**

* **Market Risk Indicator (MRI):** 0.4792 suggests a moderately high risk level.
* **RSI (24.44):**  Indicates the stock is in oversold territory, potentially suggesting a bounce.
* **PPO (-1.47):** A negative value signals bearish momentum.
* **Recent Relative Strength Change (+11.8):** Shows a short-term improvement in relative strength.  This is somewhat contradictory to the negative PPO.
* **Expected Return (-12.4%):**  Indicates a negative expected return relative to the market over the long term (2+ years). This is a significant concern.  The provided data suggests potential long-term underperformance.


**4. Recent Earnings Analysis:**

The earnings data shows significant volatility.  While Q4 2024 shows strong EPS and revenue, there's considerable fluctuation, including a significant loss in Q4 2023. Further investigation into the drivers of these variations is needed.

| 날짜       | EPS   | 매출          |
|------------|-------|---------------|
| 2024-10-22 | 1.1   | 20.09 B$      |
| 2024-07-25 | 0.08  | 19.72 B$      |
| 2024-04-23 | 1.29  | 19.30 B$      |
| 2023-10-24 | -0.68 | 13.46 B$      |
| 2024-10-22 | -0.68 | 13.46 B$      *(Duplicate Entry?)*|


**5. Financial Information:**

Revenue growth has been relatively stable over the past year, although profit margins have fluctuated.  Return on Equity (ROE) shows inconsistent performance, suggesting concerns about profitability and the efficient use of shareholder equity.

**Revenue and Profitability:**

| Quarter | Revenue | Profit Margin |
|---------|----------|---------------|
| 2024-12-31 | $21.62B | 19.59% |
| 2024-09-30 | $20.09B | 20.08% |
| 2024-06-30 | $19.72B | 18.15% |
| 2024-03-31 | $19.30B | 18.45% |
| 2023-12-31 | $19.93B | 20.12% |


**Capital and Profitability:**

| Quarter | Equity | ROE |
|---------|---------|-----|
| 2024-12-31 | $60.16B | 2.46% |
| 2024-09-30 | $61.11B | 2.41% |
| 2024-06-30 | $58.98B | 0.19% |
| 2024-03-31 | $60.48B | 2.83% |
| 2023-12-31 | $59.80B | 2.38% |


**6. Overall Conclusion:**

RTX currently exhibits mixed signals. While revenue remains relatively strong and the stock is technically oversold, several factors raise concerns.  The negative expected return, below-average performance compared to the S&P 500, inconsistent profitability ratios, and volatile earnings suggest a cautious outlook.  Further investigation into the drivers of earnings volatility and a more in-depth analysis of the company's long-term strategic direction are necessary before making investment decisions.  The significant negative expected return, particularly, warrants careful consideration.  The duplicated entry in the earnings data requires clarification.
