2025-04-08 - Analysis Report
## Procter & Gamble Co (PG) Stock Report

**0) Executive Summary:**

Procter & Gamble Co (PG) is a consumer goods company producing and marketing a wide range of products.  While PG's cumulative return (67.22%) slightly underperformed the S&P 500 (VOO) (73.14%) over the analyzed period, its performance relative to the S&P 500 has varied considerably over time, suggesting a moderate degree of divergence.  Further analysis of financial performance, valuation metrics, and market indicators is necessary for a complete assessment.


**1) Performance Comparison & Alpha/Beta Analysis:**

Procter & Gamble's cumulative return of 67.22% lags behind the S&P 500's 73.14% return by 5.92 percentage points. This represents a relative underperformance, falling at the 47.1 percentile of its historical range of relative performance (-36.4% to 28.3%).

The Alpha/Beta analysis reveals varying performance relative to the market (Beta) and excess return (Alpha) over different time periods. While Beta generally hovers around 1, indicating a similar volatility to the market, Alpha fluctuates considerably, suggesting varying degrees of outperformance or underperformance compared to the market.  The significant increase in market capitalization (Cap(B)) reflects the company's growth over the years.  Note that this analysis is limited by only providing a sample of years.

| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2015-2017  | 23.0% | 7.9% | -7.0% | 0.1 | 177.8 |
| 2016-2018  | 12.0% | 6.7% | -6.0% | 0.2 | 184.2 |
| 2017-2019  | 43.0% | 6.7% | 12.0% | 0.8 | 257.3 |
| 2018-2020  | 56.0% | 8.2% | 26.0% | 0.6 | 293.7 |
| 2019-2021  | 63.0% | 8.2% | -11.0% | 0.4 | 354.0 |
| 2020-2022  | 16.0% | 62.8% | 6.0% | 0.4 | 336.1 |
| 2021-2023  | 9.0% | 62.8% | -12.0% | 0.5 | 333.2 |
| 2022-2024  | -4.0% | 62.8% | -24.0% | 0.4 | 390.7 |
| 2023-2025  | 8.0% | 60.6% | -6.0% | 0.2 | 375.7 |


**2) Recent Price Movement:**

The current closing price is $160.23.  The stock is currently trading below its 5-day ($167.29), 20-day ($167.85), and 60-day ($167.70) moving averages, suggesting a short-term downtrend.  The price has decreased by $2.15 (-2.15%) compared to the previous close ($163.75).


**3) Technical Indicators & Expected Return:**

* **Market Risk Indicator (MRI):** 0.4792, indicating a high risk level.
* **RSI:** 38.22, suggesting the stock is approaching oversold territory.
* **PPO:** -0.33, indicating bearish momentum.
* **Relative Strength:**  A recent increase of 10.9% in relative strength indicates a short-term upward trend.
* **Expected Return:** -4.9%. The negative expected return combined with the current market price decrease indicates a pessimistic outlook.  Long-term (2+ years) investment may yield an underperformance compared to S&P 500 based on the current analysis. The significant price drop (-2.15) reinforces concerns of possible further price decline in the short term.


**4) Recent Earnings Analysis:**

Revenue shows some fluctuation but generally remains stable around $21B.  EPS is also relatively stable, with a slight upward trend.

| 날짜       | EPS  | 매출       |
|------------|------|------------|
| 2025-01-22 | 1.94 | 21.88 B$  |
| 2024-10-18 | 1.65 | 21.74 B$  |
| 2024-04-19 | 1.56 | 20.20 B$  |
| 2024-01-23 | 1.44 | 21.44 B$  |
| 2025-01-22 | 1.44 | 21.44 B$  |  *(Duplicate Data.  Please verify)*


**5) Financial Information:**

Revenue remains consistent around $20-$22 billion. Profit margins show a slight dip in Q2 2024 before recovering.  Equity fluctuates, but ROE is generally stable, indicating a reasonable return on investment.

**Revenue and Profitability:**

| Quarter     | Revenue      | Profit Margin |
|-------------|--------------|---------------|
| 2024-12-31  | $21.88B      | 52.39%        |
| 2024-09-30  | $21.74B      | 52.06%        |
| 2024-06-30  | $20.53B      | 49.60%        |
| 2024-03-31  | $20.20B      | 51.20%        |
| 2023-12-31  | $21.44B      | 52.69%        |


**Capital and Profitability:**

| Quarter     | Equity       | ROE           |
|-------------|--------------|---------------|
| 2024-12-31  | $51.17B      | 9.05%         |
| 2024-09-30  | $51.84B      | 7.64%         |
| 2024-06-30  | $50.29B      | 6.24%         |
| 2024-03-31  | $50.06B      | 7.50%         |
| 2023-12-31  | $48.53B      | 7.15%         |


**6) Overall Analysis:**

PG's recent performance has been relatively weak compared to the S&P 500, indicated by its negative alpha and current price below key moving averages. Technical indicators like RSI and PPO suggest a bearish trend, and the high market risk indicator raises concerns. While the company's financials show stable revenue and generally healthy profit margins, the current market sentiment and price action suggest caution.  The recent drop in price should be carefully monitored.  A long-term investment strategy should consider the potential underperformance relative to the S&P 500, as indicated by the negative expected return and historical analysis.  Further investigation into the reasons for the recent price decline and the underlying business prospects is recommended before making investment decisions.  The duplicate data point in the earnings report needs clarification.
