Date,rate_PM_5D,rate_VOO_20D
2016-01,0.1651,0.7475
2016-02,1.2052,0.3631
2016-03,8.8976,6.1635
2016-04,6.5806,4.8532
2016-05,5.6297,5.5092
2016-06,8.686,4.9516
2016-07,5.9353,8.0529
2016-08,4.9545,7.2728
2016-09,2.5672,6.525
2016-10,1.5912,4.0384
2016-11,-7.1054,7.3996
2016-12,-2.0759,9.0221
2017-01,3.0025,10.0556
2017-02,16.5065,13.4646
2017-03,20.0362,12.6934
2017-04,16.9309,13.0265
2017-05,24.9555,13.8264
2017-06,22.2588,13.7461
2017-07,20.238,15.2839
2017-08,19.4381,14.8547
2017-09,13.6063,16.4705
2017-10,6.4138,18.391
2017-11,4.2916,21.1572
2017-12,8.0808,21.8357
2018-01,9.3575,27.5767
2018-02,1.1557,19.4887
2018-03,-1.9912,15.9328
2018-04,-19.1175,14.9578
2018-05,-20.9662,17.1859
2018-06,-17.8983,17.444
2018-07,-11.6592,20.9505
2018-08,-19.9385,24.1299
2018-09,-14.4684,24.1209
2018-10,-7.2177,14.1084
2018-11,-7.9329,15.0224
2018-12,-13.6096,4.4886
2019-01,-1.9818,12.5608
2019-02,11.1387,15.8612
2019-03,13.6354,17.612
2019-04,12.1971,21.8639
2019-05,2.9861,16.0646
2019-06,4.5219,19.9808
2019-07,11.1587,21.2252
2019-08,3.0417,18.3328
2019-09,7.4799,20.1882
2019-10,15.0406,20.3259
2019-11,16.774,24.2116
2019-12,21.0242,27.349
2020-01,17.1381,26.2815
2020-02,16.3668,19.8213
2020-03,4.8417,15.7478
2020-04,7.0785,30.3559
2020-05,4.2234,35.9447
2020-06,2.2609,35.2146
2020-07,9.8138,39.5903
2020-08,13.8826,48.5304
2020-09,9.9754,40.6583
2020-10,2.5319,35.284
2020-11,4.5517,43.8758
2020-12,14.8152,48.4488
2021-01,13.2645,45.6177
2021-02,14.1498,42.6536
2021-03,17.9839,44.2697
2021-04,25.9487,51.1309
2021-05,27.4254,46.9645
2021-06,32.0498,49.5312
2021-07,32.8438,52.4159
2021-08,36.2079,56.1018
2021-09,30.5995,48.0813
2021-10,25.7064,56.0144
2021-11,13.9479,53.5374
2021-12,27.3349,55.8343
2022-01,37.4283,46.4571
2022-02,35.7768,38.1483
2022-03,34.3941,42.2675
2022-04,42.5269,34.5494
2022-05,43.2425,36.0289
2022-06,33.1008,21.1749
2022-07,29.4062,31.8752
2022-08,26.8174,26.0562
2022-09,16.6728,14.2993
2022-10,24.3373,23.2183
2022-11,34.6059,29.7022
2022-12,35.0459,24.5108
2023-01,35.0793,29.2932
2023-02,27.9582,25.9536
2023-03,27.0879,29.4041
2023-04,30.2691,31.1074
2023-05,21.8843,31.3785
2023-06,30.8907,39.5074
2023-07,33.3494,43.6112
2023-08,28.2754,39.288
2023-09,22.5955,32.2789
2023-10,16.7472,29.0551
2023-11,22.0249,40.4823
2023-12,24.4453,46.4584
2024-01,19.9065,48.2956
2024-02,18.527,55.4714
2024-03,22.1915,59.9707
2024-04,21.7262,54.3559
2024-05,29.7229,58.7198
2024-06,31.0,63.7565
2024-07,48.4127,62.4775
2024-08,58.3848,65.2821
2024-09,57.0097,63.7333
2024-10,69.8859,61.5953
2024-11,62.3943,70.4058
2024-12,48.0411,65.7986
2025-01,59.6331,69.6123
2025-02,89.5537,66.3646
2025-03,87.1333,60.3871
2025-04,93.5347,59.1236
2025-05,103.074,68.5307
2025-06,101.6574,76.5585
2025-07,94.7804,79.9077
2025-08,92.8131,82.9229
2025-09,86.3597,88.6543
2025-10,66.7056,92.3724
2025-11,81.2231,92.0168
2025-12,85.5727,91.3981
2026-01,91.1443,93.9446
