2025-07-29 - Analysis Report
Okay, here's an analysis of IONQ Inc. based on the provided data, presented as a concise report.

## IONQ Inc. (IONQ) Stock Analysis

**Company Overview:** IONQ Inc. is a quantum computing company focused on developing trapped ion quantum computers.

**1. Performance Relative to S&P 500 (VOO)**

*   **Accumulated Return:** IONQ: 319.21%, VOO: 50.97%
*   **Relative Divergence:**  Current: 270.6. Relative Divergence: 72.2 (This places the current divergence in the upper range of historical divergence, indicating significant outperformance relative to VOO).

**Alpha/Beta Analysis:**

| Year       | CAGR    | MDD   | Alpha   | Beta   | Cap(B) |
| :---------- | :------ | :---- | :------ | :----- | :------ |
| 2021-2023  | 93.0%   | 72.8% | 75.0%   | -0.0   | 3.6    |
| 2022-2024  | 199.0%  | 72.8% | 173.0%  | -0.1  | 12.2   |
| 2023-2025  | 321.0%  | 68.4% | 269.0%  | -0.0  | 12.3   |

**Analysis:** IONQ has significantly outperformed the S&P 500 over the analyzed periods. The high Alpha values indicate substantial excess return compared to the benchmark.  The Beta values are very low, suggesting that IONQ's returns are not strongly correlated with overall market movements. The increasing CAGR over time shows accelerating growth. However, MDD is consistently high, indicating high volatility.

**2. Recent Stock Price Movements**

*   **Current Price:** $42.34
*   **Last Market Data:** Price: $42.34, Previous Close: $43.17, Change: -1.92%
*   **Moving Averages:** 5-day: $42.93, 20-day: $43.63, 60-day: $39.56

**Analysis:** The current price is below the 5-day and 20-day moving averages, suggesting a short-term downward trend.  However, it is above the 60-day moving average, indicating a longer-term upward trend.  The recent price change (-1.92%) indicates a slight recent negative price movement, contributing to the short-term downward trend.

**3. Technical Indicators & Expected Return**

*   **Market Risk Indicator (MRI):** 0.3286 (Low Risk)
*   **RSI:** 43.34 (Neutral)
*   **PPO:** -0.8889 (Slightly bearish)
*   **Hybrid Signal:** Cash_70%_Sell 0.3% of holdings (5 shares - Caution - MRI:0.33)
*   **Recent Relative Divergence Change (20-day):** -2.9 (Indicates short-term decrease in relative performance)
*   **Expected Return:** 25.6% (Long-term, relative to S&P 500)

**Analysis:** The MRI suggests a low-risk environment for the stock.  The RSI is in a neutral zone, neither overbought nor oversold. The PPO is slightly negative, suggesting a potential bearish trend. The Hybrid Signal suggests caution, recommending a high cash position.  The negative change in relative divergence suggests recent underperformance compared to the S&P 500. Despite recent volatility, the expected return remains high for long-term investors.

**4. Recent News & Significant Events**

*   **Volatility:** Stock has shown notable volatility.
*   **Business Developments:** Recent major business developments and regulatory changes.
*   **Analyst Discussions:** Analysts are discussing IONQ's performance in the context of industry and economic trends.
*   **Investment Advice:** Experts highlight both risks and opportunities, advising monitoring of news.

**Analysis:** The news indicates potential catalysts for price movements (both positive and negative). Investors should closely monitor company announcements and industry trends.

**5. Recent Earnings Analysis**

| Date       | EPS    | Revenue   |
| :---------- | :------ | :--------- |
| 2025-05-07 | -0.14  | 0.01 B$   |
| 2024-11-06 | -0.24  | 0.01 B$   |
| 2024-08-07 | -0.18  | 0.01 B$   |
| 2024-05-10 | -0.19  | 0.01 B$   |
| 2025-05-07 | -0.19  | 0.01 B$   |

**Analysis:** IONQ is currently not profitable, as indicated by negative EPS values. Revenue remains consistent at $0.01B per quarter. The slight improvement in EPS in the most recent quarter is a potential positive sign.

**6. Financial Information**

**Revenue and Profitability:**

| Quarter      | Revenue | Profit Margin |
| :------------ | :------- | :------------- |
| 2025-03-31 | $0.01B | 42.97%        |
| 2024-12-31 | $0.01B | 56.92%        |
| 2024-09-30 | $0.01B | 47.46%        |
| 2024-06-30 | $0.01B | 50.59%        |
| 2024-03-31 | $0.01B | 54.97%        |

**Capital and Profitability:**

| Quarter      | Equity    | ROE       |
| :------------ | :--------- | :--------- |
| 2025-03-31 | $0.77B  | -4.22%    |
| 2024-12-31 | $0.38B  | -52.62%   |
| 2024-09-30 | $0.44B  | -12.05%   |
| 2024-06-30 | $0.46B  | -8.11%    |
| 2024-03-31 | $0.48B  | -8.25%    |

**Analysis:** While revenue is consistent, the company experiences negative ROE (Return on Equity), further confirming its current lack of profitability. Profit margins are positive, which is encouraging, but need to be seen in the context of overall profitability. The significant fluctuation in Equity quarter to quarter is noteworthy, and should be monitored.

**7. Overall Summary**

IONQ Inc. demonstrates high growth potential in the quantum computing sector, having significantly outperformed the S&P 500. However, it is currently not profitable, with negative EPS and ROE. The stock exhibits high volatility. Recent news suggests potential catalysts for price movement. Technical indicators present a mixed picture, with some caution signals. The Hybrid Signal suggests taking a high cash position. Long-term expected returns remain high. **Overall, IONQ presents a high-risk, high-reward investment opportunity. Investors should carefully weigh the potential for significant gains against the risks associated with a pre-profitability growth company in a rapidly evolving industry.** Due to the sharp decrease in Equity in 2024-12-31, Investors should investigate this further.
