2025-04-05 - Analysis Report
## Merck & Co Inc (MRK) Stock Report

This report analyzes Merck & Co Inc (MRK), a leading pharmaceutical company, based on the provided data.

**1. Performance Comparison & Alpha/Beta Analysis:**

MRK's cumulative return (7.28%) significantly underperformed the S&P 500 (VOO) with a cumulative return of 71.02%. The difference is -63.7%, placing it at the 29.6th percentile of its historical relative performance range (-100.4% to 23.5%).

The Alpha/Beta analysis shows mixed results. While periods like 2016-2018 and 2017-2019 exhibited high CAGR and positive Alpha, indicating outperformance, other periods showed significant underperformance (e.g., 2019-2021 and 2023-2025).  The Beta fluctuates around 1, suggesting a relatively similar volatility to the market, but not consistently. Market capitalization (Cap(B)) generally shows an upward trend, except for the most recent year.  The high Maximum Drawdown (MDD) in several periods highlights significant risk.

| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2015-2017  | 5.0% | 58.4% | -24.0% | 0.0 | 109.0 |
| 2016-2018  | 42.0% | 60.6% | 25.0% | 0.4 | 152.5 |
| 2017-2019  | 40.0% | 60.6% | 11.0% | 0.2 | 186.5 |
| 2018-2020  | 19.0% | 60.6% | -10.0% | 0.4 | 173.1 |
| 2019-2021  | -4.0% | 14.2% | -78.0% | 0.5 | 176.1 |
| 2020-2022  | 14.0% | 63.1% | -7.0% | 0.5 | 263.1 |
| 2021-2023  | 32.0% | 63.1% | 4.0% | 0.4 | 265.8 |
| 2022-2024  | -6.0% | 63.1% | -21.0% | 0.3 | 249.1 |
| 2023-2025  | -46.0% | 70.3% | -49.0% | 0.2 | 205.8 |


**2. Recent Price Movement:**

The closing price is $81.47, significantly down from the previous close ($86.39).  The stock is trading below its 5-day ($86.27), 20-day ($90.82), and 60-day ($91.81) moving averages, suggesting a bearish trend.  The recent price drop of $5.7 is noteworthy and needs further investigation into underlying factors.

**3. Technical Indicators & Expected Return:**

* **Market Risk Indicator (MRI):** 0.4693 suggests a high risk.
* **RSI:** 15.92 indicates the stock is significantly oversold.
* **PPO:** -1.07 indicates bearish momentum.
* **Relative Strength:**  The recent 20-day relative strength increase of 11.9% (+), suggests some short-term upward movement. However, given the overall trend and other indicators, this should be viewed cautiously.
* **Expected Return:** -61.4%  indicates a significant projected underperformance versus the S&P 500 for the long term (2+ years).  This should be viewed with caution; it is not a guarantee.

**4. Recent Earnings Analysis:**

Earnings show some volatility.  While there's a general trend of relatively stable revenue around $16B, EPS fluctuates, indicating potential inconsistency in profitability.  Further analysis is needed to understand the drivers of this fluctuation.

| Date       | EPS  | Revenue      |
|------------|------|---------------|
| 2024-11-06 | 1.25 | $16.66 B     |
| 2024-08-05 | 2.15 | $16.11 B     |
| 2024-05-03 | 1.88 | $15.78 B     |
| 2023-11-03 | 1.87 | $15.96 B     |
| 2024-11-06 | 1.87 | $15.96 B     |


**5. Financial Information:**

Revenue is relatively stable, with slight fluctuations. Profit margins are consistently high (73-77%), showing strong profitability. Equity and ROE have shown volatility but generally trend upwards.  The negative ROE in 2023-12-31 is a significant concern.

**Revenue and Profitability:**

| Quarter | Revenue | Profit Margin |
|---------|----------|---------------|
| 2024-12-31 | $15.62B | 75.50% |
| 2024-09-30 | $16.66B | 75.51% |
| 2024-06-30 | $16.11B | 76.76% |
| 2024-03-31 | $15.78B | 77.56% |
| 2023-12-31 | $14.63B | 73.26% |

**Capital and Profitability:**

| Quarter | Equity | ROE |
|---------|---------|-----|
| 2024-12-31 | $46.31B | 8.08% |
| 2024-09-30 | $44.50B | 7.09% |
| 2024-06-30 | $43.58B | 12.52% |
| 2024-03-31 | $40.36B | 11.80% |
| 2023-12-31 | $37.58B | -3.26% |


**6. Overall Analysis:**

MRK currently presents a mixed picture. While it demonstrates consistent profitability and high profit margins, its recent performance significantly lags the S&P 500. Technical indicators suggest an oversold condition and bearish momentum.  The significant price drop needs further investigation.  Long-term investors should carefully consider the high risk indicated by the MRI and the projected negative return relative to the S&P 500 before making any investment decisions.  A deeper dive into the reasons for the recent underperformance and EPS volatility is crucial before forming a final opinion.
