2025-03-28 - Analysis Report
## UnitedHealth Group Inc. (UNH) Stock Analysis

**0. Executive Summary:**

UnitedHealth Group Inc. (UNH), a leading healthcare company, has significantly outperformed the S&P 500 (VOO) over a period, exhibiting higher cumulative returns and a positive alpha. However, recent performance shows some volatility, warranting a closer look at its financial health and market indicators.

**1. Performance Comparison & Alpha/Beta Analysis:**

UNH's cumulative return of 105.21% substantially exceeds the S&P 500's 75.42% return. The difference is 29.8%, placing its relative outperformance at the 22.9th percentile based on historical data (ranging from -5.6% to 148.8%).

The provided alpha/beta analysis reveals consistently positive alpha values (0.1 to 0.3) across various periods, indicating that UNH has generated returns above what would be expected based solely on its beta (market risk exposure).  The beta values fluctuate but generally point to above average risk compared to the market.  However, the significant negative CAGR (-73% and -43%) in the recent two periods (2022-2024, 2023-2025) requires further investigation.  The Market Cap (Cap(B)) shows steady growth except during the recent negative CAGR years.

| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2015-2017  | 69.0% | 3.4% | 37.0% | 0.1 | 181.0 |
| 2016-2018  | 74.0% | 3.4% | 54.0% | 0.1 | 207.3 |
| 2017-2019  | 60.0% | 9.5% | 26.0% | 0.3 | 248.8 |
| 2018-2020  | 34.0% | 99.4% | 13.0% | 0.3 | 301.7 |
| 2019-2021  | 109.0% | 99.4% | 41.0% | 0.3 | 438.0 |
| 2020-2022  | 88.0% | 99.4% | 98.0% | 0.3 | 468.4 |
| 2021-2023  | 45.0% | 84.9% | 36.0% | 0.3 | 472.1 |
| 2022-2024  | -73.0% | 84.9% | -70.0% | 0.2 | 460.8 |
| 2023-2025  | -43.0% | 97.0% | -73.0% | 0.1 | 471.7 |


**2. Recent Price Movement:**

UNH's closing price is $515.72, slightly down (-$0.48) from the previous close.  The stock is trading above its 5-day ($516.14) and 20-day ($493.86) moving averages, but slightly below its 60-day moving average ($509.09). This suggests a minor short-term downtrend, but overall, the stock price is relatively stable within recent moving average ranges.


**3. Technical Indicators & Expected Return:**

* **Market Risk Indicator (MRI):** 0.4215 (Medium Risk), suggesting moderate volatility.
* **RSI:** 67.51, indicating the stock is slightly overbought but not excessively so.
* **PPO:** 0.91, a positive value suggesting bullish momentum.
* **Relative Divergence:** 0.0 (-), signifying a recent short-term decline.
* **Expected Return:**  A projected 296% return over the long term (2+ years) against the S&P 500. This extremely high figure warrants skepticism and needs further clarification regarding the methodology used to arrive at this number. The recent price drop of -$0.48 does not constitute a significant event requiring a label like "sudden drop" given the context of the other provided data.

**4. Recent Earnings Analysis:**

The earnings data shows some volatility. While EPS and revenue generally trend upwards, there are some notable drops (particularly a negative EPS of -1.53 in Q2 2024).  The duplication of the 2024-11-04 data point requires clarification.  A more comprehensive analysis would require quarterly breakdowns and comparison with industry trends.

| 날짜       | EPS  | 매출          |
|------------|------|---------------|
| 2024-11-04 | 6.56 | 100.82 B$      |
| 2024-08-09 | 4.58 | 98.86 B$      |
| 2024-05-09 | -1.53 | 99.80 B$      |
| 2023-11-06 | 6.31 | 92.36 B$      |
| 2024-11-04 | 6.31 | 92.36 B$      |


**5. Financial Information:**

Revenue remains relatively stable and high, while profit margins are strong and consistent.  Equity shows some fluctuation, and ROE displays similar volatility to the EPS data, indicating some sensitivity to market conditions or internal factors.  Further investigation into the negative ROE in Q1 2024 is needed.


| Quarter     | Revenue      | Profit Margin |
|-------------|--------------|---------------|
| 2024-12-31 | $100.81B     | 21.14%        |
| 2024-09-30 | $100.82B     | 22.84%        |
| 2024-06-30 | $98.86B      | 22.31%        |
| 2024-03-31 | $99.80B      | 23.05%        |
| 2023-12-31 | $94.43B      | 23.30%        |

| Quarter     | Equity       | ROE           |
|-------------|--------------|---------------|
| 2024-12-31 | $92.66B      | 5.98%         |
| 2024-09-30 | $94.53B      | 6.41%         |
| 2024-06-30 | $89.36B      | 4.72%         |
| 2024-03-31 | $86.69B      | -1.63%        |
| 2023-12-31 | $88.76B      | 6.15%         |


**6. Overall Conclusion:**

UNH has historically outperformed the S&P 500, demonstrating strong alpha and relatively stable revenue.  However, recent data reveals some concerns: notably the negative CAGR in the last two years and negative EPS and ROE in Q1 2024. The projected long-term return of 296% requires further validation.  A more in-depth analysis incorporating industry benchmarks, competitor comparisons, and a thorough examination of the recent negative performance is crucial before making any investment decisions.  The provided data suggests a need for cautious optimism and further due diligence.
