Date,rate_SOXL_5D,rate_VOO_20D
2015-01,-7.8,-1.42
2015-02,20.85,3.81
2015-03,7.63,1.86
2015-04,2.77,2.71
2015-05,29.73,3.69
2015-06,-2.88,1.43
2015-07,-17.61,3.45
2015-08,-30.95,-2.99
2015-09,-33.49,-5.11
2015-10,-10.94,2.98
2015-11,-4.64,3.19
2015-12,-11.11,1.25
2016-01,-31.22,-3.69
2016-02,-27.79,-3.7
2016-03,-6.89,2.89
2016-04,-19.82,3.11
2016-05,2.64,4.75
2016-06,-2.97,4.89
2016-07,31.06,8.53
2016-08,48.96,8.37
2016-09,64.7,8.12
2016-10,54.8,5.95
2016-11,86.51,9.69
2016-12,97.96,11.65
2017-01,119.08,13.25
2017-02,133.04,17.22
2017-03,159.23,16.86
2017-04,148.99,17.61
2017-05,210.58,18.78
2017-06,156.86,19.01
2017-07,189.27,20.96
2017-08,205.76,20.79
2017-09,246.68,22.74
2017-10,337.74,25.03
2017-11,323.63,28.25
2017-12,294.75,29.25
2018-01,389.64,35.75
2018-02,367.87,30.03
2018-03,316.57,26.25
2018-04,227.42,26.17
2018-05,337.51,28.67
2018-06,269.78,29.05
2018-07,305.16,33.05
2018-08,326.87,36.68
2018-09,288.41,36.79
2018-10,149.23,26.85
2018-11,162.01,28.73
2018-12,102.82,16.94
2019-01,156.9,25.85
2019-02,202.69,29.46
2019-03,225.42,31.43
2019-04,339.75,36.15
2019-05,144.86,27.01
2019-06,239.71,35.39
2019-07,290.29,36.78
2019-08,247.19,34.02
2019-09,278.0,36.12
2019-10,335.57,38.56
2019-11,380.93,42.96
2019-12,490.8,46.57
2020-01,417.54,45.84
2020-02,330.53,33.48
2020-03,97.08,16.52
2020-04,170.94,31.14
2020-05,216.24,36.91
2020-06,282.85,38.91
2020-07,356.34,46.5
2020-08,432.6,56.02
2020-09,399.62,49.48
2020-10,386.27,45.07
2020-11,685.02,60.24
2020-12,792.45,65.44
2021-01,848.21,62.98
2021-02,987.09,66.67
2021-03,962.02,73.41
2021-04,914.69,81.63
2021-05,955.39,81.89
2021-06,1099.69,85.03
2021-07,1083.38,88.55
2021-08,1128.31,93.07
2021-09,945.87,83.11
2021-10,1132.43,94.98
2021-11,1556.03,92.53
2021-12,1624.58,100.25
2022-01,1019.25,88.77
2022-02,919.83,82.25
2022-03,855.67,88.26
2022-04,443.14,70.96
2022-05,501.99,70.67
2022-06,215.01,55.96
2022-07,373.74,69.63
2022-08,232.81,61.99
2022-09,109.33,46.57
2022-10,109.56,57.92
2022-11,223.07,66.03
2022-12,125.42,55.95
2023-01,236.69,65.17
2023-02,237.34,60.45
2023-03,319.27,65.81
2023-04,223.78,67.82
2023-05,378.21,68.01
2023-06,458.26,78.26
2023-07,534.11,83.39
2023-08,428.67,79.69
2023-09,315.84,70.53
2023-10,226.21,66.24
2023-11,396.26,80.8
2023-12,580.04,88.32
2024-01,590.34,90.59
2024-02,814.69,99.68
2024-03,886.87,105.35
2024-04,703.81,96.31
2024-05,915.74,105.32
2024-06,1052.04,111.74
2024-07,817.01,113.27
2024-08,695.94,117.45
2024-09,649.01,121.24
2024-10,510.32,118.22
2024-11,437.22,123.86
