Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,NVDA,Technology,3982.8,84.7,-2.9,-0.2,-2.5,-2.6,3.1,81.2,233.2,436.6,932.6,4068.6,4709.2,-30.0,1.1,3395.3,497.3,4087.8,2.0,2.0,5.0,16.0,1,9.2
2,BTC-USD,Coin,4481.2,74.3,2.7,-3.1,-7.5,9.5,15.3,74.3,120.3,192.6,439.6,5300.6,6038.5,-30.5,1.6,4380.7,1062.4,4586.1,1.0,1.0,4.0,13.0,8,14.4
3,AVGO,Technology,750.3,88.0,-0.7,-1.6,-6.2,6.5,19.0,59.3,114.5,219.8,337.6,612.0,857.1,-29.8,1.1,497.5,70.2,855.3,10.0,10.0,18.0,37.0,-2,20.4
4,LLY,Healthcare,466.1,72.5,3.6,-1.2,7.3,2.5,-1.0,22.2,54.9,161.4,297.7,497.1,654.3,-29.0,1.1,613.6,129.0,571.1,13.0,13.0,13.0,26.0,8,26.2
5,PANW,Technology,302.0,86.7,3.8,1.6,4.3,5.3,9.0,15.2,32.1,99.6,155.8,252.6,354.9,-41.8,1.2,265.8,48.9,407.0,18.0,18.0,20.0,40.0,0,27.2
6,MSFT,Technology,177.1,75.1,0.6,2.7,-0.9,-3.0,-8.4,-10.3,-4.4,1.6,39.8,175.0,245.2,-28.2,1.1,262.9,76.2,282.1,25.0,28.0,21.0,36.0,5,34.2
7,AAPL,Technology,214.5,85.8,2.6,-5.3,-5.1,-3.1,2.0,-3.8,-1.7,11.5,73.7,198.4,255.0,-29.3,1.1,240.1,62.4,319.5,23.0,26.0,24.0,39.0,7,37.2
8,TSLA,Technology,1045.3,63.9,-0.1,-15.0,-26.8,-14.0,4.9,-7.0,-16.2,8.7,302.4,588.0,1666.1,-53.6,1.6,1072.7,436.3,1150.3,7.0,7.0,10.0,17.0,27,38.6
9,AMD,Technology,784.7,41.4,4.0,6.7,-0.6,-14.6,-26.1,-31.5,-25.1,-26.8,58.5,760.5,1950.9,-37.8,1.3,2845.9,1361.9,889.6,9.0,9.0,6.0,10.0,30,38.8
10,AMAT,Technology,141.7,40.6,1.2,-0.2,-1.7,-10.0,-20.9,-20.5,-11.5,4.0,42.0,139.3,388.5,-26.8,1.4,547.0,239.9,246.6,33.0,34.0,14.0,19.0,20,43.8
11,COST,Consumer Defensive,143.3,76.1,-1.6,-8.7,-4.2,-1.8,2.5,17.7,24.2,49.9,92.2,176.7,197.4,-28.8,1.2,177.2,42.4,248.2,31.0,33.0,28.0,41.0,11,45.8
12,ISRG,Healthcare,148.1,70.1,2.3,-10.8,-6.1,-3.6,3.6,16.5,31.0,33.0,42.4,146.4,221.3,-23.5,1.3,168.2,38.3,253.0,29.0,31.0,32.0,43.0,11,46.6
13,ASML,Technology,144.4,41.3,-0.9,7.0,7.5,3.2,-13.0,-18.0,-14.7,-9.6,36.9,151.8,385.2,-24.7,1.4,517.8,271.0,249.3,30.0,32.0,17.0,18.0,24,47.0
14,ETN,Industrials,128.5,70.8,3.6,6.1,-1.9,-6.3,-8.6,3.3,22.3,56.4,93.8,140.1,193.6,-29.3,1.2,171.4,36.3,233.5,35.0,36.0,30.0,45.0,9,47.2
15,ENPH,Energy,947.6,13.2,0.9,10.1,0.5,-16.6,-33.4,-58.7,-78.0,-84.9,92.7,960.9,7777.5,-86.9,1.6,16305.3,24760.8,1052.6,8.0,8.0,2.0,1.0,47,51.0
16,NFLX,Communication Services,237.9,89.3,6.7,0.5,5.6,17.4,30.3,64.6,116.3,79.6,77.6,230.1,274.0,-64.5,1.6,122.5,13.5,342.8,21.0,22.0,37.0,55.0,20,58.0
17,MSTR,Financials,1180.8,59.9,8.1,12.0,1.8,33.0,68.6,363.5,600.7,781.0,1109.7,1223.0,2019.3,-73.9,1.8,803.6,81.9,1285.8,6.0,6.0,12.0,35.0,40,58.8
18,MA,Financials,76.9,70.9,2.0,-0.5,2.2,4.9,6.8,6.2,8.5,6.7,11.6,83.6,120.1,-28.3,1.1,96.1,31.3,181.9,40.0,42.0,41.0,49.0,15,59.2
19,LIN,Basic Materials,33.1,60.5,-2.6,4.6,8.9,3.6,-0.7,-4.5,-0.2,11.5,28.2,63.5,80.8,-40.1,1.2,85.3,35.0,138.1,52.0,56.0,44.0,46.0,19,67.8
20,SOL-USD,Coin,2216.7,18.0,0.6,-13.6,-26.9,-23.2,-25.8,146.3,185.9,1914.2,1914.2,1914.2,12457.7,-35.3,1.7,12680.1,7834.9,2299.8,4.0,4.0,3.0,4.0,64,67.8
21,GOOG,Technology,65.1,61.4,-3.1,-1.5,-8.0,-3.6,-5.9,-2.0,1.5,5.7,22.9,63.2,121.7,-24.9,1.3,122.2,39.4,170.0,42.0,46.0,38.0,42.0,27,69.0
22,AMZN,Technology,101.3,47.7,-1.4,-2.4,-7.2,-2.1,-1.1,10.4,15.1,-4.2,-0.7,94.3,239.5,-24.8,1.4,186.1,69.3,206.2,38.0,39.0,27.0,38.0,34,70.0
23,UNH,Healthcare,29.7,33.0,-2.1,11.2,6.0,-3.2,-4.8,-15.9,-24.4,-17.5,-11.0,27.9,134.1,-21.7,1.4,168.4,151.4,134.6,54.0,59.0,31.0,25.0,32,70.8
24,VST,Utilities,602.9,91.6,10.3,-1.0,-4.1,2.7,34.0,176.0,264.5,405.3,406.7,453.2,666.0,-84.1,1.2,209.7,7.3,701.5,11.0,11.0,26.0,58.0,38,70.8
25,WMT,Consumer Defensive,63.0,67.6,-0.7,-6.6,-5.3,0.0,12.5,23.9,31.0,32.6,42.6,63.6,107.4,-29.6,1.6,36.9,3.1,167.9,43.0,48.0,54.0,60.0,18,71.0
26,CAT,Industrials,78.9,62.5,-1.7,4.0,-0.9,-6.0,-6.8,-0.8,6.5,26.3,36.2,78.7,141.0,-24.7,1.2,140.8,38.1,183.8,39.0,41.0,34.0,44.0,32,72.4
27,WM,Industrials,32.0,66.0,-1.0,3.6,9.8,8.7,5.2,6.7,5.4,16.1,22.3,56.9,70.0,-41.7,1.3,55.0,23.3,137.0,53.0,57.0,51.0,51.0,20,72.6
28,XRP-USD,Coin,353.1,44.0,3.5,1.5,4.1,142.1,231.2,280.8,322.6,391.5,410.0,407.1,901.3,-77.6,3.6,89.7,-3.8,435.5,16.0,17.0,43.0,69.0,30,72.8
29,QQQ,Index,66.5,94.1,0.6,-1.9,-2.1,-1.1,-1.2,0.3,5.7,4.1,19.1,53.0,72.5,-28.7,1.1,57.7,10.7,171.5,41.0,45.0,49.0,57.0,24,73.8
30,META,Technology,154.1,90.4,-2.8,-6.4,-1.9,1.5,8.2,42.1,109.0,88.4,98.2,136.3,180.2,-92.2,1.2,81.8,1.1,259.1,28.0,30.0,45.0,63.5,28,74.0
31,VRTX,Healthcare,38.8,65.8,-3.6,11.1,20.9,13.4,9.8,11.2,18.6,35.8,44.1,82.2,93.0,-65.7,1.2,74.3,20.4,143.7,51.0,52.0,46.0,52.0,30,80.6
32,DOGE-USD,Coin,2577.0,11.9,0.3,-18.9,-33.9,-3.1,3.7,47.2,47.6,1122.5,2420.2,2559.6,22050.1,-50.0,2.2,19838.0,14808.3,2659.3,3.0,3.0,1.0,2.0,80,82.2
33,ETH-USD,Coin,236.6,20.4,1.3,-12.4,-27.0,-24.3,-35.9,-31.7,-29.2,65.3,254.4,247.1,1450.1,-73.8,1.4,2117.7,1556.8,318.9,24.0,23.0,7.0,7.0,70,83.6
34,GS,Financials,52.5,75.3,9.2,-4.2,-0.8,4.6,12.5,26.9,29.3,48.9,57.5,53.6,84.6,-45.3,1.4,17.3,1.1,157.4,44.0,49.0,58.0,63.5,28,83.6
35,V,Financials,27.2,61.9,1.7,0.6,5.8,12.2,14.4,12.7,15.1,11.6,12.4,54.0,73.2,-47.5,1.2,35.1,16.1,132.1,55.0,60.0,56.0,53.0,30,85.4
36,SOXL,Unknown,279.5,21.3,0.5,4.7,-9.6,-19.0,-29.1,-8.0,1.0,-8.8,14.4,272.0,1453.0,-38.7,1.7,1802.4,1207.0,391.7,19.0,21.0,8.0,11.0,80,94.0
37,INOD,Technology,1622.0,66.7,-4.4,-14.5,10.4,77.0,211.3,280.0,451.9,863.4,1531.4,1626.0,2473.7,-80.7,1.4,847.8,127.5,1727.4,5.0,5.0,11.0,27.0,80,95.0
38,MARA,Financial Services,154.3,13.6,-2.5,-31.8,-5.5,-11.6,-23.5,16.7,5.9,306.6,319.6,158.2,1947.5,-127.6,1.5,1342.2,1404.8,269.4,27.0,29.0,9.0,9.0,80,96.6
39,TQQQ,Unknown,475.7,59.3,-1.8,-3.6,1.2,4.3,12.3,61.8,74.9,72.4,147.2,464.5,817.7,-23.4,1.5,529.2,170.9,587.9,12.0,12.0,16.0,24.0,80,97.6
40,ADSK,Industrials,10.1,18.6,5.5,0.5,-4.2,-2.9,0.6,-2.7,-6.0,-26.0,-29.4,9.4,177.4,-28.2,1.4,71.3,100.0,115.0,62.0,65.0,47.0,32.0,52,99.6
41,NVDL,Unknown,459.6,54.3,-3.2,-0.9,-5.1,6.4,55.0,371.5,425.3,425.3,425.3,425.3,856.5,-12.7,1.3,539.0,104.9,514.5,14.0,14.0,15.0,31.0,80,101.0
42,HOOD,Financials,226.1,87.1,15.5,-9.2,4.4,41.6,77.0,185.6,216.9,184.1,184.1,184.1,269.5,-67.2,1.2,54.3,-0.1,247.7,32.0,24.0,52.0,66.0,55,103.0
43,CRM,Technology,9.1,30.3,0.2,-3.3,-10.2,-4.6,-4.0,-3.9,4.9,-11.3,-15.9,8.0,129.5,-43.3,1.4,64.2,14.7,114.1,63.0,66.0,48.0,54.0,47,104.0
44,FSLR,Energy,-11.1,14.3,-3.5,-5.3,-16.7,-29.0,-34.9,-46.8,-37.9,-15.4,-7.7,-11.3,273.5,-58.6,1.4,0.0,545.7,93.8,71.0,76.0,87.5,15.0,55,107.9
45,SPOT,Communication Services,138.1,94.4,9.8,1.5,20.5,36.3,63.9,149.4,242.4,184.7,186.2,186.2,151.8,-91.6,1.8,0.4,-11.9,221.5,37.0,35.0,61.0,79.0,50,108.2
46,PLTR,Technology,372.4,67.7,6.1,-1.3,12.4,65.2,158.6,339.6,499.5,440.9,440.9,440.9,583.0,-69.7,2.1,119.5,-7.4,432.3,17.0,16.0,39.5,74.0,65,109.1
47,SEDG,Energy,-159.3,2.4,-0.1,12.8,24.1,7.1,-27.5,-71.6,-93.4,-118.2,-136.8,-160.1,979.0,-187.4,4.2,0.0,13955.8,-54.7,119.0,120.0,87.5,3.0,44,110.5
48,UPRO,Unknown,295.8,97.1,9.7,4.0,5.9,11.5,21.3,55.1,61.2,80.0,80.0,80.0,304.5,2.6,1.6,173.0,31.7,347.9,20.0,19.0,29.0,48.0,80,112.8
49,GE,Industrials,52.2,90.7,-1.7,4.7,14.9,13.2,19.5,60.2,129.5,189.4,184.6,90.3,68.8,-109.0,1.3,10.1,-12.0,157.2,45.0,50.0,59.0,80.0,50,112.8
50,BKNG,Consumer Cyclical,8.8,77.3,7.2,-2.5,-2.1,1.9,9.9,18.5,39.4,53.3,43.8,39.0,29.7,-62.5,1.2,7.6,-4.9,113.7,64.0,67.0,60.0,70.0,48,114.2
51,DE,Industrials,106.8,60.2,2.6,10.9,10.7,13.3,9.9,-5.6,-9.7,10.7,35.5,105.2,187.8,-15.7,1.4,158.7,83.4,227.9,36.0,37.0,33.0,34.0,80,114.8
52,PDD,Consumer Cyclical,31.0,19.3,4.3,17.4,2.9,-5.6,-17.4,-17.4,6.2,-6.4,45.6,45.6,467.7,-73.7,1.4,377.3,207.6,121.3,59.5,58.0,19.0,20.0,80,115.3
