2025-01-31 - Analysis Report
## RTX Corp Stock Report

**1. Performance Summary and Comparison to S&P 500 (VOO):**

RTX Corp (RTX) is an aerospace and defense company.  Over the period analyzed, RTX accumulated a total return of 87.26%, while the S&P 500 (VOO) achieved a return of 121.09%.  This represents a difference of -33.8 percentage points. The relative divergence of -33.8% places RTX in the 45.6th percentile of its historical performance relative to the S&P 500, indicating underperformance compared to the benchmark.  The provided alpha consistently shows near zero, indicating the stock's performance is largely explained by market movements (beta is not consistently provided).


**Alpha and Beta Analysis:**

The provided CAGR (Compound Annual Growth Rate) figures show significant variation year-to-year, highlighting volatility.  While some periods show impressive growth, others, particularly 2018-2020, show significant losses. The consistent near-zero alpha suggests that the stock's performance is largely driven by market movements and does not exhibit significant alpha generation.  Market capitalization (Cap(B)) fluctuates but shows overall growth over the period.

| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2015-2017  | 22.0% | 0.8% | -6.0% | -0.0 | 90.2 |
| 2016-2018  | 16.0% | 11.0% | -3.0% | -0.0 | 77.0 |
| 2017-2019  | 30.0% | 11.0% | -1.0% | -0.0 | 110.8 |
| 2018-2020  | -24.0% | 26.8% | -52.0% | -0.0 | 86.5 |
| 2019-2021  | 19.0% | 26.8% | -52.0% | -0.0 | 106.6 |
| 2020-2022  | 12.0% | 26.8% | 3.0% | -0.0 | 127.9 |
| 2021-2023  | 24.0% | 15.7% | 0.0% | -0.0 | 109.4 |
| 2022-2024  | 33.0% | 15.7% | 1.0% | -0.0 | 154.0 |
| 2023-2025  | 40.0% | 15.7% | -22.0% | -0.0 | 171.7 |


**2. Recent Price Movement:**

* **Closing Price:** $128.98
* **5-Day Moving Average:** $126.56
* **20-Day Moving Average:** $120.73
* **60-Day Moving Average:** $119.34

The price is above all three moving averages, suggesting a short-term uptrend.  The recent price change of +$3.08 represents a significant daily increase, indicating a potential short-term price surge.


**3. Technical Indicators and Expected Return:**

* **RSI:** 74.09 (Approaching overbought territory)
* **PPO:** 0.73 (Positive, suggesting bullish momentum)
* **20-Day Relative Divergence Change:** +8.0% (Short-term upward trend)
* **Expected Return (vs. S&P 500, long-term):** -34.4%  This indicates that over the long term (2+ years), the stock is expected to underperform the S&P 500 by 34.4%.  This aligns with the underperformance observed in point 1.


**4. Recent Earnings Analysis:**

The earnings data shows significant volatility.  There's a substantial drop in EPS and revenue in Q3 2023, followed by a rebound in subsequent quarters.  There is a duplication of data for 2024-10-22 which requires clarification.  A more detailed analysis requires consistent data.

| Date       | EPS    | Revenue       |
|------------|--------|---------------|
| 2024-10-22 | 1.1    | $20.09 B      |
| 2024-07-25 | 0.08   | $19.72 B      |
| 2024-04-23 | 1.29   | $19.30 B      |
| 2023-10-24 | -0.68  | $13.46 B      |
| 2024-10-22 | -0.68  | $13.46 B      |


**5. Financial Information:**

**Revenue and Profitability:** Revenue is relatively stable with a slight upward trend except for a significant drop in Q3 2023. Profit margins are generally high but also experienced a significant drop during the same period, highlighting potential underlying issues.

| Quarter    | Revenue     | Profit Margin |
|------------|-------------|---------------|
| 2024-09-30 | $20.09B     | 20.08%        |
| 2024-06-30 | $19.72B     | 18.15%        |
| 2024-03-31 | $19.30B     | 18.45%        |
| 2023-12-31 | $19.93B     | 20.12%        |
| 2023-09-30 | $13.46B     | 5.30%         |

**Capital and Profitability:**  Equity shows fluctuations. ROE (Return on Equity) is generally positive but also experienced a negative value in Q3 2023, corroborating concerns from the profitability analysis.

| Quarter    | Equity      | ROE    |
|------------|-------------|--------|
| 2024-09-30 | $61.11B     | 2.41%  |
| 2024-06-30 | $58.98B     | 0.19%  |
| 2024-03-31 | $60.48B     | 2.83%  |
| 2023-12-31 | $59.80B     | 2.38%  |
| 2023-09-30 | $69.60B     | -1.41% |


**7. Overall Analysis:**

RTX has shown periods of strong growth but also significant volatility, particularly concerning earnings and profitability in Q3 2023.  While recent price action suggests a short-term uptrend, the long-term outlook relative to the S&P 500 is negative. The near-zero alpha suggests that the stock's performance largely follows the market.  The high RSI indicates the stock is approaching overbought territory.  Further investigation into the Q3 2023 performance downturn is crucial before making any investment decisions.  The duplicated earnings data needs to be clarified.


**8. Disclaimer:** This report is for informational purposes only and does not constitute investment advice.  Always conduct thorough research and consult with a financial advisor before making any investment decisions.
