2025-04-25 - Analysis Report
## Recursion Pharmaceuticals Inc. (RXRX) Stock Analysis

**0. Key Figures & Initial Analysis:**

RXRX, Recursion Pharmaceuticals Inc., is a biotechnology company focused on using AI to discover and develop new drugs.  The company shows significant underperformance compared to the S&P 500.

**1. Performance Comparison & Divergence:**

* **RXRX Cumulative Return:** -47.41%
* **VOO (S&P 500) Cumulative Return:** 16.17%
* **Return Difference:** -63.58% (RXRX underperformed VOO by 63.58%)
* **Relative Divergence:** 9.4% (This indicates that the current underperformance is in the lower 9.4% percentile of historical relative performance against VOO, based on the provided min/max range.)


| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2021-2023  | 5.0% | 73.6% | -12.0% | 4.0 |
| 2022-2024  | 0.0% | 73.6% | -22.0% | 2.7 |
| 2023-2025  | 4.0% | 73.6% | -11.0% | 2.3 |

**Analysis:**  The company shows consistently negative alpha, indicating underperformance relative to the market benchmark. The high beta values (significantly above 1) suggest high volatility and sensitivity to market movements.  The market capitalization is shrinking over time.


**2. Recent Price Movement:**

* **Closing Price:** $5.75
* **5-Day Moving Average:** $5.57
* **20-Day Moving Average:** $5.19
* **60-Day Moving Average:** $6.73

The closing price is above the 5-day and 20-day moving averages, suggesting a potential short-term uptrend. However, it's significantly below the 60-day moving average, indicating a longer-term downtrend. The recent price change of 3.05% shows a slight upward momentum.


**3. Technical Indicators & Expected Return:**

* **Market Risk Indicator (MRI):** 0.4053 (Medium Risk)
* **RSI:** 60.88 (Slightly above neutral; not overbought)
* **PPO:** 2.81 (Positive, suggesting potential upward momentum)
* **20-Day Relative Divergence Change:** -0.4 (Short-term downward trend)
* **Expected Return:** -349.5% (This extremely negative expected return relative to S&P 500 needs further clarification on the calculation methodology and timeframe.  It suggests a significantly negative outlook compared to the market).  The 3.05% price change in the `Last-market` data suggests a recent brief upward swing, but doesn't negate the overall negative outlook.

**4. Recent Earnings Analysis:**

| 날짜       | EPS      | 매출       |
|------------|----------|------------|
| 2024-11-06 | -$0.34   | $0.03 B$   |
| 2024-08-08 | -$0.40   | $0.01 B$   |
| 2024-05-09 | -$0.39   | $0.01 B$   |
| 2023-11-09 | -$0.43   | $0.01 B$   |
| 2024-11-06 | -$0.43   | $0.01 B$   | *(Duplicate entry, possible error in data)*


**Analysis:**  The company is consistently reporting negative EPS, indicating ongoing losses. Revenue is low and relatively stagnant.  The duplicate entry for November 6th, 2024, needs clarification.


**5. Financial Information:**

**Revenue and Profitability:**

| Quarter | Revenue | Profit Margin |
|---------|----------|---------------|
| 2024-12-31 | $0.00B | -183.62% |
| 2024-09-30 | $0.03B | 53.69% |
| 2024-06-30 | $0.01B | 36.14% |
| 2024-03-31 | $0.01B | 17.23% |
| 2023-12-31 | $0.01B | 6.99% |

**Capital and Profitability:**

| Quarter | Equity | ROE |
|---------|---------|-----|
| 2024-12-31 | $1.03B | -17.29% |
| 2024-09-30 | $0.52B | -18.27% |
| 2024-06-30 | $0.58B | -16.69% |
| 2024-03-31 | $0.40B | -22.78% |
| 2023-12-31 | $0.46B | -20.07% |

**Analysis:**  The financial data reveals significant challenges.  Profit margins are highly volatile and frequently negative.  The ROE is consistently negative, indicating that the company is not generating returns on its equity.  The large fluctuation in equity needs investigation. The extremely large negative profit margin in Q4 2024 requires further investigation.

**6. Overall Analysis:**

Recursion Pharmaceuticals (RXRX) exhibits severe underperformance relative to the S&P 500, showing consistent losses and negative returns.  While some short-term technical indicators suggest potential upward momentum, the fundamental financial data paints a picture of a company struggling with profitability and revenue generation. The extremely negative projected return (-349.5%) highlights significant risk.  The volatile financial figures raise serious concerns.  Further investigation into the cause of the extreme fluctuations in revenue, equity and profit margin is necessary before any investment decision can be made.  This stock is highly risky and not suitable for risk-averse investors.  More detailed financial statements and future projections are needed to provide a more comprehensive assessment.
