Date,rate_WFC_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,-5.6447,-2.376
2016-03,-2.3136,4.071
2016-04,1.3708,3.4463
2016-05,3.0088,4.5141
2016-06,-4.5164,4.1644
2016-07,-2.5535,7.3333
2016-08,4.2853,6.6525
2016-09,-9.422,6.013
2016-10,-4.8629,3.6115
2016-11,10.6474,7.182
2016-12,14.0042,8.8567
2017-01,16.5255,10.0774
2017-02,19.1832,13.6125
2017-03,13.0486,12.8284
2017-04,8.5016,13.2286
2017-05,3.2298,14.0432
2017-06,11.4747,13.9758
2017-07,7.8441,15.5728
2017-08,2.4563,15.1519
2017-09,10.4765,16.7674
2017-10,11.897,18.6971
2017-11,12.7544,21.4906
2017-12,20.5259,22.1742
2018-01,30.657,28.0253
2018-02,15.5606,22.3109
2018-03,3.1887,18.5822
2018-04,2.2403,18.439
2018-05,6.847,20.6342
2018-06,9.3846,20.8295
2018-07,12.6251,24.4195
2018-08,15.3373,27.64
2018-09,3.7538,27.5571
2018-10,4.9571,18.148
2018-11,7.6776,19.8158
2018-12,-8.7979,8.7803
2019-01,-2.3075,17.0692
2019-02,-0.3012,20.3898
2019-03,-3.4504,22.1512
2019-04,-3.2156,26.4471
2019-05,-10.3121,17.8766
2019-06,-4.0925,25.6026
2019-07,-1.8096,26.8029
2019-08,-4.4058,24.165
2019-09,3.4503,26.0707
2019-10,5.8817,28.2682
2019-11,12.5361,32.2632
2019-12,10.9206,35.5066
2020-01,-3.2142,34.7146
2020-02,-14.6634,23.2206
2020-03,-39.8977,7.5857
2020-04,-38.1248,21.2139
2020-05,-41.6827,26.5664
2020-06,-42.8436,28.3643
2020-07,-44.9761,35.3077
2020-08,-44.1121,44.0007
2020-09,-44.7523,37.8818
2020-10,-48.8175,33.7409
2020-11,-33.3865,47.6567
2020-12,-25.882,52.3191
2021-01,-26.6187,49.9619
2021-02,-10.3612,53.2489
2021-03,-3.0424,59.3139
2021-04,11.8123,66.7128
2021-05,15.966,66.7978
2021-06,12.1252,69.5264
2021-07,13.5159,72.593
2021-08,13.1928,76.58
2021-09,14.8351,67.3306
2021-10,26.2957,78.0118
2021-11,18.04,75.6346
2021-12,18.2697,82.5203
2022-01,32.2007,71.9304
2022-02,31.224,65.8784
2022-03,18.8445,71.2418
2022-04,6.7404,55.3862
2022-05,12.4744,55.0693
2022-06,-3.8772,41.677
2022-07,7.6783,54.0588
2022-08,7.9199,47.0803
2022-09,-0.8041,33.1115
2022-10,13.3815,43.3799
2022-11,18.7332,50.707
2022-12,2.0664,41.5455
2023-01,15.857,49.9054
2023-02,16.1282,45.6128
2023-03,-7.3429,50.431
2023-04,-1.3914,52.2262
2023-05,-0.5073,52.3734
2023-06,6.6484,61.6123
2023-07,15.2267,66.208
2023-08,3.7889,62.8182
2023-09,2.6362,54.4786
2023-10,-0.1016,50.5707
2023-11,12.8829,63.7242
2023-12,24.4088,70.5007
2024-01,26.835,72.5028
2024-02,41.1946,80.6678
2024-03,46.7407,85.7322
2024-04,49.6581,77.499
2024-05,51.4965,85.5862
2024-06,49.6173,91.319
2024-07,48.9368,92.6342
2024-08,47.2851,96.3435
2024-09,42.333,99.6776
2024-10,63.0936,96.8805
2024-11,91.5908,107.4927
2024-12,75.8267,101.7132
2025-01,97.2529,106.1747
2025-02,96.0746,102.6383
2025-03,78.8712,90.4787
2025-04,76.1574,88.1311
2025-05,85.6931,99.0692
2025-06,98.0526,108.4087
2025-07,98.3437,112.1972
2025-08,102.3347,115.6241
2025-09,106.3503,122.2463
2025-10,113.127,126.4867
2025-11,110.4274,125.9202
2025-12,127.3313,125.0582
2026-01,112.1127,126.4133
