Date,rate_DIS_5D,rate_VOO_20D
2016-01,-6.802,-3.28
2016-02,-4.5969,-2.376
2016-03,-0.2847,4.071
2016-04,3.7639,3.4463
2016-05,-0.9978,4.5141
2016-06,-2.1358,4.1644
2016-07,-3.0407,7.3333
2016-08,-4.1467,6.6525
2016-09,-5.329,6.013
2016-10,-4.9824,3.6115
2016-11,1.9972,7.182
2016-12,7.8275,8.8567
2017-01,13.6833,10.0774
2017-02,12.1638,13.6125
2017-03,14.6701,12.8284
2017-04,16.0152,13.2286
2017-05,7.5926,14.0432
2017-06,5.517,13.9758
2017-07,9.5713,15.5728
2017-08,0.4749,15.1519
2017-09,-2.1553,16.7674
2017-10,-2.8682,18.6971
2017-11,4.1226,21.4906
2017-12,7.4163,22.1742
2018-01,8.0914,28.0253
2018-02,2.3023,22.3109
2018-03,-0.4408,18.5822
2018-04,-0.4728,18.439
2018-05,-1.297,20.6342
2018-06,4.0192,20.8295
2018-07,13.3196,24.4195
2018-08,11.4104,27.64
2018-09,15.9531,27.5571
2018-10,13.4405,18.148
2018-11,13.6849,19.8158
2018-12,8.4688,8.7803
2019-01,10.0986,17.0692
2019-02,11.1374,20.3898
2019-03,9.0627,22.1512
2019-04,34.0578,26.4471
2019-05,28.4794,17.8766
2019-06,35.1279,25.6026
2019-07,38.3639,26.8029
2019-08,32.025,24.165
2019-09,24.7355,26.0707
2019-10,23.8421,28.2682
2019-11,43.7463,32.2632
2019-12,37.168,35.5066
2020-01,30.4287,34.7146
2020-02,10.508,23.2206
2020-03,-9.3686,7.5857
2020-04,1.6274,21.2139
2020-05,10.2026,26.5664
2020-06,4.5955,28.3643
2020-07,9.5505,35.3077
2020-08,23.2739,44.0007
2020-09,15.6228,37.8818
2020-10,12.7494,33.7409
2020-11,37.2604,47.6567
2020-12,67.1381,52.3191
2021-01,54.2074,49.9619
2021-02,72.2685,53.2489
2021-03,67.0179,59.3139
2021-04,67.2959,66.7128
2021-05,59.7139,66.7978
2021-06,56.2729,69.5264
2021-07,55.6518,72.593
2021-08,59.4783,76.58
2021-09,48.0431,67.3306
2021-10,47.2213,78.0118
2021-11,25.6756,75.6346
2021-12,33.958,82.5203
2022-01,23.2555,71.9304
2022-02,27.6305,65.8784
2022-03,17.6425,71.2418
2022-04,-4.3353,55.3862
2022-05,-5.3161,55.0693
2022-06,-18.9194,41.677
2022-07,-8.701,54.0588
2022-08,-3.472,47.0803
2022-09,-18.6293,33.1115
2022-10,-7.9537,43.3799
2022-11,-15.3051,50.707
2022-12,-24.5979,41.5455
2023-01,-5.6464,49.9054
2023-02,-13.2767,45.6128
2023-03,-12.6628,50.431
2023-04,-10.458,52.2262
2023-05,-22.9723,52.3734
2023-06,-21.5769,61.6123
2023-07,-21.6983,66.208
2023-08,-26.038,62.8182
2023-09,-28.0516,54.4786
2023-10,-27.2866,50.5707
2023-11,-17.1329,63.7242
2023-12,-18.8233,70.5007
2024-01,-13.4841,72.5028
2024-02,0.5562,80.6678
2024-03,10.2061,85.7322
2024-04,0.0334,77.499
2024-05,-6.3973,85.5862
2024-06,-10.4644,91.319
2024-07,-14.972,92.6342
2024-08,-17.8137,96.3435
2024-09,-12.3708,99.6776
2024-10,-12.2259,96.8805
2024-11,7.2112,107.4927
2024-12,2.0482,101.7132
2025-01,3.593,106.1747
2025-02,4.2281,102.6383
2025-03,-9.5535,90.4787
2025-04,-16.5241,88.1311
2025-05,3.8129,99.0692
2025-06,14.2533,108.4087
2025-07,9.6433,112.1972
2025-08,8.9101,115.6241
2025-09,5.2876,122.2463
2025-10,3.5358,126.4867
2025-11,-3.9405,125.9202
2025-12,5.2672,125.0582
2026-01,2.6777,126.4133
