Date,rate_NTRA_5D,rate_VOO_20D
2015-07,0.0,-1.1068
2015-08,-1.4419,-4.6668
2015-09,-21.2103,-5.6654
2015-10,-24.6538,2.8614
2015-11,-15.0032,2.5344
2015-12,5.6056,-0.549
2016-01,-6.9965,-4.4194
2016-02,-15.4573,-4.1761
2016-03,20.2759,2.5121
2016-04,22.0588,2.5374
2016-05,66.9806,3.9451
2016-06,42.4751,3.9203
2016-07,50.8969,7.3753
2016-08,12.0532,7.0034
2016-09,24.1627,6.4847
2016-10,-6.4179,4.1921
2016-11,32.0066,7.7402
2016-12,27.2608,9.5395
2017-01,-2.4823,10.8513
2017-02,3.9112,14.4996
2017-03,-3.8963,13.9329
2017-04,-1.6735,14.4517
2017-05,11.2113,15.4121
2017-06,16.8474,15.4677
2017-07,-12.6556,17.1788
2017-08,31.8314,16.8547
2017-09,36.3692,18.6003
2017-10,14.9941,20.6707
2017-11,1.681,23.5846
2017-12,-6.0997,24.385
2018-01,8.748,30.4291
2018-02,-1.4185,22.2986
2018-03,-2.4416,18.7275
2018-04,10.3855,17.8462
2018-05,15.301,20.16
2018-06,85.2014,20.4707
2018-07,123.1806,24.1187
2018-08,164.3087,27.428
2018-09,125.7077,27.4623
2018-10,103.1887,20.3141
2018-11,54.235,21.3793
2018-12,21.7508,10.1509
2019-01,15.7595,18.5792
2019-02,34.365,21.9869
2019-03,73.8108,23.795
2019-04,59.633,28.2134
2019-05,89.492,19.6772
2019-06,125.8038,27.435
2019-07,123.3207,28.7116
2019-08,163.8595,26.0696
2019-09,159.5715,28.0441
2019-10,201.0391,30.2737
2019-11,181.5959,34.3779
2019-12,156.8733,37.6912
2020-01,163.9797,36.9546
2020-02,182.6255,25.2492
2020-03,127.9952,11.6372
2020-04,185.1774,26.3853
2020-05,234.0444,31.9396
2020-06,275.3646,33.8183
2020-07,257.2377,41.0466
2020-08,368.3849,50.1388
2020-09,424.4282,43.7675
2020-10,378.1855,39.4353
2020-11,473.6387,49.3835
2020-12,538.7156,54.1798
2021-01,549.3445,51.3372
2021-02,511.7214,50.0847
2021-03,472.8791,56.1354
2021-04,506.5701,63.5317
2021-05,413.0095,59.6674
2021-06,511.8706,62.4251
2021-07,510.1936,65.5152
2021-08,523.9203,69.47
2021-09,480.6023,60.6961
2021-10,490.4576,71.122
2021-11,366.3164,68.9386
2021-12,371.3914,70.8913
2022-01,253.1279,61.0837
2022-02,225.6891,53.3386
2022-03,99.8395,57.7667
2022-04,71.4323,48.477
2022-05,53.6509,51.2695
2022-06,33.4748,33.7398
2022-07,76.4074,45.573
2022-08,83.0474,42.2826
2022-09,64.339,36.8922
2022-10,64.1269,42.1997
2022-11,48.8782,49.5109
2022-12,44.9032,42.1797
2023-01,51.306,48.7057
2023-02,55.4882,44.6918
2023-03,78.8371,48.1405
2023-04,60.4841,49.9668
2023-05,40.1687,50.1507
2023-06,41.6205,59.3391
2023-07,25.5585,63.9424
2023-08,51.1289,59.1675
2023-09,28.4177,51.0573
2023-10,12.5232,47.2615
2023-11,59.3028,60.204
2023-12,66.9369,66.9176
2024-01,56.3102,64.3227
2024-02,87.8719,72.203
2024-03,95.4377,77.1229
2024-04,95.5598,70.8407
2024-05,120.5993,75.7278
2024-06,122.5041,81.2449
2024-07,102.162,79.7782
2024-08,121.328,84.0341
2024-09,123.8007,80.9888
2024-10,112.6202,78.5707
2024-11,185.7805,82.8594
2024-12,178.0892,76.9679
2025-01,168.6184,77.7351
2025-02,150.0824,74.3219
2025-03,132.6927,68.6709
2025-04,129.1751,67.9416
2025-05,126.4282,79.3254
