Date,rate_LOW_5D,rate_VOO_20D
2015-01-02,0.0,0.0
2015-03-03,12.07,4.16
2015-04-29,5.47,4.33
2015-06-25,4.19,4.4
2015-08-21,6.75,-1.85
2015-10-19,10.57,1.66
2015-12-15,12.54,2.44
2016-02-12,-2.29,-6.18
2016-04-12,13.88,4.06
2016-06-08,18.74,7.23
2016-08-04,21.99,9.68
2016-09-30,8.71,10.15
2016-11-28,7.64,12.13
2017-01-26,11.11,17.06
2017-03-24,24.45,19.63
2017-05-22,27.35,22.18
2017-07-19,16.11,26.22
2017-09-14,18.97,27.43
2017-11-09,18.69,31.74
2018-01-09,43.17,40.26
2018-03-08,30.4,39.45
2018-05-04,27.69,35.44
2018-07-02,43.19,38.51
2018-08-28,63.81,47.37
2018-10-24,45.95,34.89
2018-12-21,31.96,22.56
2019-02-21,59.04,40.89
2019-04-18,70.56,47.33
2019-06-17,50.02,46.47
2019-08-13,44.92,48.14
2019-10-09,58.7,47.59
2019-12-05,72.49,57.43
2020-02-04,77.95,66.08
2020-04-01,19.5,24.36
2020-05-29,94.34,53.53
2020-07-27,121.84,63.11
2020-09-22,138.69,66.54
2020-11-17,135.37,80.97
2021-01-15,150.61,88.39
2021-03-16,155.62,97.48
2021-05-12,183.81,101.72
2021-07-09,181.46,116.12
2021-09-03,195.9,123.5
2021-11-01,231.63,126.35
2021-12-29,267.13,135.04
2022-02-25,211.03,114.12
2022-04-25,183.46,109.06
2022-06-22,143.92,82.44
2022-08-18,203.9,107.6
2022-10-14,163.54,73.3
2022-12-12,185.68,92.41
2023-02-09,190.2,96.29
2023-04-10,176.09,97.31
2023-06-06,185.86,105.16
2023-08-03,212.22,114.82
2023-09-29,185.27,104.81
2023-11-27,174.18,116.73
2024-01-25,190.63,132.47
2024-03-22,251.94,147.79
2024-05-20,211.46,150.52
2024-07-18,223.32,160.64
2024-09-13,244.43,163.58
2024-11-08,264.71,179.86
2024-11-12,263.09,179.25
