Date,rate_SO_5D,rate_VOO_20D
2015-01,-3.1742,0.0
2015-02,-7.6958,0.0
2015-03,-7.8512,0.0
2015-04,-6.4867,0.0
2015-05,-5.8215,0.0
2015-06,-8.9419,0.0
2015-07,-1.7746,0.0
2015-08,-3.5627,0.0
2015-09,-0.8108,0.0
2015-10,0.2015,0.0
2015-11,-0.0428,0.0
2015-12,4.8505,0.0
2016-01,9.1749,0.0
2016-02,7.9252,0.0
2016-03,15.1251,0.0
2016-04,10.6143,0.0
2016-05,9.7111,0.0
2016-06,18.4003,0.0
2016-07,17.154,0.0
2016-08,12.9868,0.0
2016-09,12.1237,0.0
2016-10,12.2146,0.0
2016-11,2.6538,0.0
2016-12,7.6857,0.0
2017-01,7.9061,0.0
2017-02,11.8735,0.0
2017-03,9.2053,0.0
2017-04,8.8887,0.0
2017-05,11.6034,0.0
2017-06,5.1948,0.0
2017-07,5.1634,0.0
2017-08,6.9495,0.0
2017-09,8.6215,0.0
2017-10,15.0726,0.0
2017-11,13.7248,0.0
2017-12,6.4506,0.0
2018-01,-0.1083,0.0
2018-02,-3.3621,0.0
2018-03,0.2462,0.0
2018-04,3.5293,0.0
2018-05,2.0697,0.0
2018-06,5.2509,0.0
2018-07,10.3117,0.0
2018-08,0.497,0.0
2018-09,0.0161,0.0
2018-10,3.3056,0.0
2018-11,7.3234,0.0
2018-12,0.824,0.0
2019-01,8.3328,0.0
2019-02,11.9052,0.0
2019-03,16.0897,0.0
2019-04,19.188,0.0
2019-05,20.8411,0.0
2019-06,24.4137,0.0
2019-07,25.9893,0.0
2019-08,31.4943,0.0
2019-09,38.7837,0.0
2019-10,40.1047,0.0
2019-11,39.3161,0.0
2019-12,42.4668,0.0
2020-01,56.7145,0.0
2020-02,34.9821,0.0
2020-03,30.6502,0.0
2020-04,37.8475,0.0
2020-05,39.7627,0.0
2020-06,26.4231,0.0
2020-07,32.6938,0.0
2020-08,27.8962,0.0
2020-09,32.4402,0.0
2020-10,40.5107,0.0
2020-11,39.8597,0.0
2020-12,42.9475,0.0
2021-01,36.5515,0.0
2021-02,32.3363,0.0
2021-03,44.4804,0.0
2021-04,53.173,0.0
2021-05,48.0689,0.0
2021-06,44.3526,0.0
2021-07,49.5172,0.0
2021-08,54.7662,0.0
2021-09,45.354,0.0
2021-10,45.5924,0.0
2021-11,43.711,0.0
2021-12,60.6445,0.7107
2022-01,59.2379,-4.5767
2022-02,50.5611,-8.6862
2022-03,64.6973,-5.5597
2022-04,67.662,-10.6758
2022-05,68.117,-8.5222
2022-06,58.9641,-18.7193
2022-07,70.6721,-11.0589
2022-08,72.7736,-12.6515
2022-09,64.9038,-15.5533
2022-10,63.3684,-11.8536
2022-11,69.8035,-6.8774
2022-12,78.4989,-10.6391
2023-01,71.8505,-6.1328
2023-02,67.2444,-8.2731
2023-03,80.8716,-5.6993
2023-04,90.3448,-4.155
2023-05,84.988,-3.6641
2023-06,82.5537,2.6087
2023-07,87.1426,5.9237
2023-08,74.2047,3.2089
2023-09,67.7491,-1.7187
2023-10,69.0584,-3.8551
2023-11,79.3739,4.9469
2023-12,75.295,9.6927
2024-01,68.7068,8.5139
2024-02,60.0881,14.0533
2024-03,70.2019,17.6482
2024-04,66.5344,13.795
2024-05,78.7529,17.3912
2024-06,75.7663,21.405
2024-07,84.6906,20.7377
2024-08,91.2949,23.9053
2024-09,94.2562,23.5863
2024-10,85.7733,22.224
2024-11,84.5862,29.1721
2024-12,69.8527,25.2663
2025-01,72.629,26.0813
2025-02,85.5317,23.918
2025-03,84.9011,20.1511
2025-04,76.2914,19.8724
2025-05,68.2726,27.2016
2025-06,71.1414,33.4971
2025-07,75.5006,36.2713
2025-08,73.9474,38.8253
