2024-11-10 - Analysis Report
## AbbVie Inc. (ABBV) Stock Analysis:

**1.  Performance Summary:**

AbbVie Inc. (ABBV) is a biopharmaceutical company that develops, manufactures, and markets a wide range of pharmaceutical products. 

**Cumulative Return:** ABBV has generated a cumulative return of 159.87% compared to 141.71% for the S&P 500 (VOO) over the period considered. This puts ABBV **18.16% ahead** of the S&P 500.  The **relative outperformance** stands at 59.51%, meaning it is in the 90th percentile of its historical performance relative to the S&P 500.

**Alpha and Beta Analysis:**

The provided table shows that ABBV has generally outperformed the market (alpha is positive in most periods) and has a relatively low beta, indicating lower volatility than the market.

**Year | CAGR | MDD | Alpha | Beta**
------- | -------- | -------- | -------- | --------
2015-2017 | 46.8% | 30.2% | 16.6% | 1.0
2016-2018 | 60.0% | 34.1% | 35.3% | 1.0
2017-2019 | 41.9% | 43.6% | -1.2% | 1.0
2018-2020 | 8.9% | 43.6% | -30.2% | 0.8
2019-2021 | 51.7% | 33.7% | -38.1% | 0.7
2020-2022 | 80.5% | 33.7% | 62.7% | 0.6
2021-2023 | 47.0% | 22.4% | 18.2% | 0.4
2022-2024 | 48.1% | 22.4% | 23.4% | 0.3

**2. Recent Price Movements:**

* **Closing Price:** 200.51
* **Last Market:** 199.49
* **5-Day Moving Average:** 201.48
* **20-Day Moving Average:** 194.11
* **60-Day Moving Average:** 194.73

**3. Technical Indicators:**

* **RSI:** 68.64 (ABBV is in the overbought territory, suggesting potential for a pullback)
* **PPO:** 0.59 (Positive value indicates bullish momentum)
* **Delta_Previous_Relative_Divergence:** -0.02 (-): Short-term downtrend
* **Expected Return:** 2.96% (Over 2 years, ABBV is expected to outperform the S&P 500 by 2.96%)

**4.  Recent Earnings and Outlook:**

**Date | EPS | Expected EPS**
------- | -------- | --------
2024-10-30 | 3 | 2.92
2024-07-25 | 2.65 | 2.57
2024-04-26 | 2.31 | 2.26
2024-02-02 | 2.79 | 2.76
2023-10-27 | 2.95 | 2.86

**Most Recent Earnings:** The most recent earnings report (2024-10-30) showed that ABBV beat analysts' expectations, with actual EPS coming in at $3.00 compared to an expected $2.92. This suggests that ABBV is performing well and exceeding market expectations.

**5.  Financial Data:**

**1) Revenue and Profitability:**

**Quarter | Revenue | Profit Margin**
------- | -------- | --------
2024-09-30 | $14.46B | 70.87%
2024-06-30 | $14.46B | 70.94%
2024-03-31 | $12.31B | 66.74%
2023-12-31 | $14.30B | 60.11%
2023-09-30 | $13.93B | 53.44%

**2) Capital and Profitability:**

**Quarter | Equity | ROE**
------- | -------- | --------
2024-09-30 | $6.03B | 25.88%
2024-06-30 | $6.78B | 20.21%
2024-03-31 | $8.01B | 17.10%
2023-12-31 | $10.36B | 7.93%
2023-09-30 | $12.09B | 14.70%

**Analysis:** ABBV has shown strong revenue growth and consistently high profit margins, indicating a healthy and profitable business.  The company's profitability metrics like ROE are also impressive.

**6.  News and Recent Developments:**

(Please provide the specific date for which you would like the news analysis. This will allow me to provide a more accurate and timely response.)

**7.  Overall Analysis:**

ABBV is a well-established and profitable biopharmaceutical company with a track record of strong performance and positive earnings. It has consistently outperformed the market and has shown resilience through market fluctuations.  

**Technical Indicators:** ABBV is currently overbought according to RSI, suggesting potential for a pullback in the short term. However, the PPO indicates positive momentum.

**Financials:** The company is showing strong revenue growth and profitability.

**News and Developments:**  (Please provide the specific date for which you would like the news analysis).

**Overall**, ABBV appears to be a solid investment with potential for continued growth. However, it's important to remember that past performance is not indicative of future results.

**Please provide specific dates for news and additional details for a more comprehensive analysis.**
