Date,rate_PG_5D,rate_VOO_20D
2015-01,0.0,0.0
2015-02,0.0,0.0
2015-03,0.0,0.0
2015-04,0.0,0.0
2015-05,0.0,0.0
2015-06,0.0,0.0
2015-07,0.0,0.0
2015-08,0.0,0.0
2015-09,0.0,0.0
2015-10,0.0,0.0
2015-11,0.0,0.0
2015-12,0.0,0.0
2016-01,0.0,0.0
2016-02,0.0,0.0
2016-03,0.0,0.0
2016-04,0.0,0.0
2016-05,0.0,0.0
2016-06,0.0,0.0
2016-07,0.0,0.0
2016-08,0.0,0.0
2016-09,0.0,0.0
2016-10,0.0,0.0
2016-11,0.0,0.0
2016-12,0.0,0.0
2017-01,0.0,0.0
2017-02,0.0,0.0
2017-03,0.0,0.0
2017-04,0.0,0.0
2017-05,0.0,0.0
2017-06,0.0,0.0
2017-07,0.0,0.0
2017-08,0.0,0.0
2017-09,0.0,0.0
2017-10,0.0,0.0
2017-11,0.0,0.0
2017-12,0.0,0.0
2018-01,0.0,0.0
2018-02,0.0,0.0
2018-03,0.0,0.0
2018-04,0.0,0.0
2018-05,0.0,0.0
2018-06,0.0,0.0
2018-07,0.0,0.0
2018-08,0.0,0.0
2018-09,0.0,0.0
2018-10,0.0,0.0
2018-11,0.0,0.0
2018-12,0.0,0.0
2019-01,0.0,0.0
2019-02,0.0,0.0
2019-03,0.0,0.0
2019-04,0.0,0.0
2019-05,0.0,0.0
2019-06,0.0,0.0
2019-07,0.0,0.0
2019-08,0.0,0.0
2019-09,0.0,0.0
2019-10,0.0,0.0
2019-11,0.0,0.0
2019-12,0.0,0.0
2020-01,0.0,0.0
2020-02,0.0,0.0
2020-03,0.0,0.0
2020-04,0.0,0.0
2020-05,0.0,0.0
2020-06,0.0,0.0
2020-07,0.0,0.0
2020-08,0.0,0.0
2020-09,0.0,0.0
2020-10,0.0,0.0
2020-11,0.0,0.0
2020-12,0.0,0.0
2021-01,0.0,0.0
2021-02,0.0,0.0
2021-03,0.0,0.0
2021-04,0.0,0.0
2021-05,0.0,0.0
2021-06,0.0,0.0
2021-07,0.0,0.0
2021-08,0.0,0.0
2021-09,0.0,0.0
2021-10,0.0,0.0
2021-11,-2.2013,0.0
2021-12,10.5963,0.7107
2022-01,7.7084,-4.5767
2022-02,2.7089,-8.6862
2022-03,2.6439,-5.5597
2022-04,8.3949,-10.6758
2022-05,3.4721,-8.5222
2022-06,0.6112,-18.7193
2022-07,-2.2221,-11.0589
2022-08,-1.3993,-12.6515
2022-09,-4.6551,-15.5533
2022-10,1.4777,-11.8536
2022-11,12.3727,-6.8774
2022-12,13.1836,-10.6391
2023-01,10.8091,-6.1328
2023-02,7.7905,-8.2731
2023-03,16.4107,-5.6993
2023-04,22.9768,-4.155
2023-05,16.763,-3.6641
2023-06,22.2433,2.6087
2023-07,26.4651,5.9237
2023-08,23.7315,3.2089
2023-09,16.2434,-1.7187
2023-10,20.1552,-3.8551
2023-11,22.7535,4.9469
2023-12,16.7232,9.6927
2024-01,25.7705,8.5139
2024-02,26.9608,14.0533
2024-03,29.3339,17.6482
2024-04,30.6602,13.795
2024-05,30.3798,17.3912
2024-06,28.8394,21.405
2024-07,23.5235,20.7377
2024-08,27.6869,23.9053
2024-09,28.6638,23.5863
2024-10,20.8004,22.224
2024-11,30.8955,29.1721
2024-12,23.9144,25.2663
2025-01,24.1052,26.0813
2025-02,29.7445,23.918
2025-03,25.5578,20.1511
2025-04,14.6187,19.8724
2025-05,19.6414,27.2016
2025-06,13.0338,33.4971
2025-07,6.1658,36.2713
2025-08,9.5945,37.276
