2024-11-12 - Analysis Report
## Newmont Corporation (NEM) Stock Analysis Report

**Company Overview:** Newmont Corporation is a leading global gold producer, operating mines in North America, South America, Australia, and Africa.

**1. Performance Comparison:**

| Year       | CAGR | MDD  | Alpha | Beta | Market Cap (B) | Cumulative Return | S&P 500 Return | Difference |
|------------|------|------|-------|------|---------------|--------------------|-----------------|-------------|
| 2015-2017  | 94.0% | 41.6% | 63.8% | 0.3 | 42.71 |  |  |  |
| 2016-2018  | 87.9% | 31.3% | 63.2% | 0.1 | 39.45 |  |  |  |
| 2017-2019  | 25.5% | 27.8% | -17.6% | 0.1 | 49.47 |  |  |  |
| 2018-2020  | 56.9% | 27.8% | 17.9% | 0.3 | 68.18 |  |  |  |
| 2019-2021  | 79.9% | 27.2% | -9.9% | 0.4 | 70.61 |  |  |  |
| 2020-2022  | 9.2% | 52.1% | -8.5% | 0.4 | 53.73 | 54.8 | 142.82 | -88.02 |
| 2021-2023  | -34.5% | 52.3% | -63.3% | 0.5 | 47.12 |  |  |  |
| 2022-2024  | -26.1% | 53.5% | -51.3% | 0.5 | 51.41 |  |  |  |

**Analysis:** The provided data shows that NEM has lagged behind the S&P 500 (VOO) significantly, with a cumulative return of 54.8 compared to 142.82 for the S&P 500. This difference represents a negative divergence of -88.02, indicating that NEM has underperformed the S&P 500 by a considerable margin.

**2. Recent Price Movement:**

* **Closing price:** $45.04 (Last market: $42.33)
* **5-day moving average:** $45.29
* **20-day moving average:** $50.64
* **60-day moving average:** $52.11

**Analysis:** The stock is currently trading below its 5-, 20-, and 60-day moving averages, indicating a potential downtrend. 

**3. Technical Indicators:**

* **RSI:** 14.38
* **PPO:** -1.38
* **Delta_Previous_Relative_Divergence:** -8.03 (-)
* **Expected Return:** 0.0%

**Analysis:**  The low RSI suggests the stock is oversold and potentially ripe for a rebound. However, the negative PPO and the decreasing Relative Divergence indicate continued short-term downward pressure. The Expected Return of 0.0% indicates that over the next 2 years, the stock is unlikely to outperform the S&P 500.

**4. Recent Earnings & Outlook:**

| Date       | EPS     | Revenue |
|------------|---------|---------|
| 2024-10-24 | 0.80     | 4.61 B$ |
| 2024-07-25 | 0.74     | 4.40 B$ |
| 2024-04-29 | 0.15     | 4.02 B$ |
| 2023-10-26 | 0.20     | 2.49 B$ |

**Analysis:** Newmont Corporation reported strong earnings in the last quarter, exceeding analysts' expectations. The company's revenue also showed consistent growth. The most recent earnings report was released on 2024-10-24, with an EPS of 0.80, exceeding analysts' expectations of 0.75. This suggests that Newmont Corporation is performing well and remains a strong player in the gold mining industry.

**5. Financial Information:**

**1) Revenue and Profitability:**

| Quarter       | Revenue | Profit Margin |
|------------|---------|---------------|
| 2024-09-30 | 4.61 B$ | 36.13%       |
| 2024-06-30 | 4.40 B$ | 37.35%       |
| 2024-03-31 | 4.02 B$ | 31.39%       |
| 2023-12-31 | 3.96 B$ | 24.59%       |
| 2023-09-30 | 2.49 B$ | 25.75%       |

**2) Capital and Profitability:**

| Quarter       | Equity   | ROE       |
|------------|---------|-------------|
| 2024-09-30 | 29.71 B$ | 3.10%      |
| 2024-06-30 | 29.38 B$ | 2.90%      |
| 2024-03-31 | 28.89 B$ | 0.59%      |
| 2023-12-31 | 29.03 B$ | -10.88%     |
| 2023-09-30 | 19.07 B$ | 0.83%      |

**Analysis:** Newmont Corporation demonstrates strong revenue growth and profitability. The company maintains a healthy profit margin and has steadily increased its revenue over the past few quarters. However, its ROE has been volatile, indicating potential challenges in utilizing its equity effectively.

**6. News and Recent Issues:**

**Recent Earnings News:** The recent earnings report released on 2024-10-24 was well received by analysts. The company exceeded expectations on both EPS and revenue, with several analysts raising their price targets for the stock.

**Market Outlook:** The gold mining industry is generally seen as a safe haven asset during times of economic uncertainty. However, rising interest rates and a strengthening US dollar have put pressure on gold prices, leading to a recent decline in the stock price of many gold miners, including Newmont Corporation.

**Analyst Opinions and Performance Highlights:**  Most analysts remain optimistic about Newmont Corporation's long-term outlook. They highlight the company's strong balance sheet, diverse portfolio of assets, and commitment to sustainability. However, some analysts are concerned about the potential impact of slowing global economic growth and rising interest rates on gold prices. 

**7. Comprehensive Analysis:**

Newmont Corporation is a solid company with a long history of strong performance in the gold mining industry. Its recent earnings have been positive, exceeding analysts' expectations, and its financial health remains strong. However, the stock is currently facing headwinds due to the broader market downturn and the decline in gold prices.

**Overall:** While the short-term outlook for NEM might be uncertain, the company's fundamentals are solid and its long-term prospects remain strong. Investors considering a long-term investment in NEM should monitor the gold price and global economic conditions closely. 
