Date,rate_FSLR_5D,rate_VOO_20D
2015-01,-0.7203,37.6004
2015-02,36.5437,42.8123
2015-03,26.8255,40.1472
2015-04,20.7686,40.9864
2015-05,-1.6308,41.7378
2015-06,-6.964,39.3871
2015-07,-11.1914,41.3919
2015-08,-19.2682,35.0634
2015-09,-16.6844,33.4234
2015-10,12.9393,41.8036
2015-11,10.6275,41.9091
2015-12,27.8573,39.8744
2016-01,30.8265,35.041
2016-02,34.7033,35.1366
2016-03,26.4847,41.7535
2016-04,1.986,41.9182
2016-05,-9.2817,43.5016
2016-06,-11.0067,43.5889
2016-07,-13.8039,47.15
2016-08,-29.6945,46.9052
2016-09,-25.2829,46.5782
2016-10,-22.1797,44.3644
2016-11,-41.0789,48.067
2016-12,-35.8989,49.9499
2017-01,-36.536,51.4514
2017-02,-24.8972,55.2882
2017-03,-42.9975,54.8177
2017-04,-36.1537,55.4684
2017-05,-15.2533,56.5305
2017-06,-11.7337,56.6725
2017-07,9.5265,58.5108
2017-08,4.0037,58.259
2017-09,1.4325,60.0996
2017-10,21.0168,62.27
2017-11,36.2619,65.3349
2017-12,47.1798,66.229
2018-01,45.0695,72.5117
2018-02,30.3799,66.7637
2018-03,46.3682,62.9975
2018-04,45.1255,62.8932
2018-05,37.4473,65.2833
2018-06,6.4611,65.5965
2018-07,5.6604,69.4538
2018-08,4.9391,72.9293
2018-09,-2.5137,72.9605
2018-10,-15.819,63.1946
2018-11,-10.1456,64.9872
2018-12,-49.0331,53.4327
2019-01,-1.6476,62.1301
2019-02,2.2723,65.6295
2019-03,2.7513,67.5149
2019-04,19.5185,72.0736
2019-05,12.4195,63.1155
2019-06,26.9032,71.2616
2019-07,24.1132,72.5813
2019-08,18.9928,69.8439
2019-09,10.9235,71.872
2019-10,-1.0862,74.214
2019-11,5.4777,78.462
2019-12,6.7679,81.9235
2020-01,-5.5396,81.1672
2020-02,-12.7479,69.0828
2020-03,-29.5862,52.5583
2020-04,-14.7691,66.7909
2020-05,-9.4094,72.3993
2020-06,-3.7191,74.3231
2020-07,15.8837,81.6722
2020-08,48.6676,90.8795
2020-09,27.8904,84.4813
2020-10,67.5583,80.1756
2020-11,78.7868,94.8637
2020-12,88.1749,99.861
2021-01,87.3797,97.4285
2021-02,52.186,100.9623
2021-03,63.1776,107.4572
2021-04,42.3389,115.3651
2021-05,41.0312,115.5474
2021-06,67.069,118.5269
2021-07,58.0211,121.8704
2021-08,71.8026,126.1893
2021-09,73.5715,116.4781
2021-10,116.3045,127.8892
2021-11,86.1745,125.4526
2021-12,55.8021,132.8593
2022-01,39.5091,121.7323
2022-02,33.5791,115.3888
2022-03,48.1491,121.1539
2022-04,26.8472,104.4003
2022-05,23.6906,104.0887
2022-06,18.3741,89.8573
2022-07,73.2727,103.0485
2022-08,121.8207,95.6633
2022-09,125.2622,80.7938
2022-10,68.5149,91.7191
2022-11,134.1097,99.4989
2022-12,103.6215,89.7616
2023-01,140.1863,98.6438
2023-02,127.3874,94.0696
2023-03,184.6548,99.219
2023-04,137.6412,101.1427
2023-05,162.6546,101.313
2023-06,144.5054,111.1636
2023-07,165.2397,116.083
2023-08,140.4638,112.4976
2023-09,106.5256,103.6422
2023-10,101.6022,99.4983
2023-11,102.2667,113.5095
2023-12,119.7378,120.7371
2024-01,85.6743,122.9017
2024-02,94.482,131.6308
2024-03,112.3571,137.0598
2024-04,126.757,128.3255
2024-05,221.4274,136.9726
2024-06,165.1031,143.1167
2024-07,154.0386,144.5633
2024-08,146.0555,148.5489
2024-09,170.0237,152.1583
2024-10,142.5637,149.2144
2024-11,140.2511,157.3825
2024-12,116.3929,150.6708
2025-01,116.4519,155.4115
2025-02,115.4032,151.7568
2025-03,114.4573,144.8114
