2026-01-12 - Analysis Report
### English Report

**Company Overview:** Northrop Grumman Corp is a leading global aerospace and defense technology company.

### 1. Return Rate Comparison

**Northrop Grumman Return Rate (NOC):** 48.58%
**S&P 500 Return Rate (VOO):** 94.03%
**Divergence (difference in cumulative return on the last day of the data):** -45.45

### Analysis:

* The return rate of Northrop Grumman Corp is significantly lower than that of the S&P 500.
* The divergence of -45.45 indicates a considerable gap between the two return rates.

### 2. Recent Stock Price Fluctuations

**5-day Moving Average (SMA):** $601.71
**20-day SMA:** $580.38
**60-day SMA:** $575.60
**Close Price (latest):** $618.82
**7-day Relative Change:** 4.74%

### Analysis:

* The moving averages (5-day, 20-day, 60-day) are relatively stable, with the close price being higher than the 5-day SMA.
* Recent price fluctuation is relatively small, indicating a stable stock price trend.

### 3. RSI, PPO Index Indicators and Expected Return

**Risk Level:** Medium (MRI 0.70)
**Recent Relative Divergence Change:** 4.50 (improving)
**7-day Dynamic Expected Return Change:** 48.80 (improving)
**Market Risk Indicator (MRI):** 0.70
**RSI:** 68.28
**PPO:** 0.59
**Expected Return (%):** -86.10%
**Expected Excess Return Compared to S&P 500 (long-term):** -86.10%

### Analysis:

* The Market Risk Indicator (MRI) is at a medium level, suggesting a cautious investment approach.
* The RSI and PPO values indicate a stable stock price trend with minimal fluctuation.
* The recent relative divergence change and 7-day dynamic expected return change are improving, indicating a potential increase in the stock price.

### 4. Recent News & Significant Events

* Northrop Grumman stock price is up due to the flash of a golden cross signal.
* Analysts have given a $623 price target.
* The company's dividends and executive pay have been capped by Trump.

### 4-2. Analyst Opinions

* Analyst Consensus:
  - Key: Buy
  - Mean (1=StrongBuy~5=Sell): 2.09 (~Buy)
  - Opinions: 21
  - Target Price (avg/high/low): 665.20 / 770.00 / 533.00

### Analysis:

* Analysts have a generally positive view on the stock, recommending a "Buy" rating.
* The target price is relatively high, ranging from 665.20 to 770.00.

### 5. Recent Earnings Analysis

| Date | EPS | Revenue |
|-----|-----|---------|
| 2025-10-21 | 7.69 | 10.42 B$ |
| 2025-07-22 | 8.17 | 10.35 B$ |
| 2025-04-22 | 3.33 | 9.47 B$ |
| 2024-10-24 | 7.02 | 10.00 B$ |

**EPS Trend:** The EPS has fluctuated but generally increased over the past two years.
**Revenue Trend:** The revenue has been relatively stable, ranging between 9.47 billion and 10.42 billion.

### 6. Financial Information

**Revenue and Profitability:**

| Quarter | Revenue | Profit Margin |
|---------|----------|---------------|
| 2025-09-30 | 10.42B | 21.37% |
| 2025-06-30 | 10.35B | 21.35% |
| 2025-03-31 | 9.47B | 16.69% |
| 2024-12-31 | 10.69B | 18.08% |
| 2024-09-30 | 10.00B | 21.07% |

**Capital and Profitability:**

| Quarter | Equity | ROE |
|---------|---------|-----|
| 2025-09-30 | 15.99B | 6.88% |
| 2025-06-30 | 15.47B | 7.59% |
| 2025-03-31 | 14.98B | 3.21% |
| 2024-12-31 | 15.29B | 8.27% |
| 2024-09-30 | 14.75B | 6.96% |

**Revenue Trend:** The revenue has been relatively stable, ranging between 9.47 billion and 10.69 billion.
**Profit Margin Trend:** The profit margin has fluctuated but generally increased over the past two years.
**Capital Trend:** The equity has fluctuated but generally increased over the past two years.
**ROE Trend:** The ROE has fluctuated but generally decreased over the past two years.

### Comprehensive Analysis (Summary of previous items)

Northrop Grumman Corp's stock price has shown a relatively stable trend, with minimal fluctuation in the moving averages and recent price movement. The company's financials have been relatively stable, with a generally increasing profit margin and equity. However, the EPS has fluctuated, and the ROE has decreased over the past two years. Analysts have a generally positive view on the stock, recommending a "Buy" rating. However, the expected return is relatively low, indicating a cautious investment approach.

**Disclaimer:** This report is for informational purposes only and does not constitute financial advice. Investment involves risk.
