2025-03-22 - Analysis Report
## C3.ai Inc (AI) Stock Report

**0. Key Figures Summary:**

C3.ai Inc. is a provider of enterprise AI software.  The company's stock has significantly underperformed the S&P 500 over the analyzed period.  While recent earnings show some revenue growth, profitability remains a concern, reflected in negative ROE.


**1. Performance Comparison and Alpha/Beta Analysis:**

* **Cumulative Return (C3.ai):** -18.69%
* **Cumulative Return (VOO - S&P 500):** 48.21%
* **Return Difference:** -66.9% (This signifies that C3.ai underperformed VOO by 66.9 percentage points over the period considered.  The relative divergence of -66.9% sits at the 14.1% percentile of past performance relative to the S&P 500, implying a relatively poor performance compared to its historical context.)

**Alpha/Beta Analysis:**  The provided data shows highly volatile performance and fluctuating betas, suggesting significant market sensitivity (high Beta) and inconsistent outperformance (Alpha near zero). The high negative CAGR figures from 2020-2023 indicate substantial losses, only offset by a significant gain in 2022-2024. The 2023-2025 period shows a small positive CAGR but still weak performance compared to the S&P500.


| Year       | CAGR | MDD  | Alpha | Beta | Cap(B) |
|------------|------|------|-------|------|-------|
| 2020-2022  | -96.0% | 25.9% | -86.0% | 0.0 | 1.5 |
| 2021-2023  | -24.0% | 45.4% | -48.0% | 0.0 | 3.8 |
| 2022-2024  | 82.0% | 45.4% | 49.0% | 0.0 | 4.6 |
| 2023-2025  | 10.0% | 45.4% | -36.0% | 0.1 | 3.0 |


**2. Recent Price Movement:**

* **Closing Price:** $22.38
* **Last Market Price:** $22.54
* **5-Day Moving Average:** $22.15
* **20-Day Moving Average:** $23.07
* **60-Day Moving Average:** $29.91

The price is currently below all three moving averages, suggesting a possible downtrend.  The recent slight increase from the previous close ($22.38 to $22.54) is not significant enough to signal a reversal.

**3. Technical Indicators and Expected Return:**

* **RSI:** 44.25 (Slightly below neutral; not oversold but indicates a potential for further downside.)
* **PPO:** 1.07 (Positive, suggesting bullish momentum, but needs further confirmation.)
* **20-Day Relative Divergence:** +0.2 (Short-term upward trend)
* **Expected Return:** -195.8% (This extremely negative projected return relative to the S&P 500 indicates a significantly high risk.)  A -195.8% expected return implies a projected substantial underperformance against the S&P 500 over a long-term horizon (2+ years), even with a long-term investment strategy.


**4. Recent Earnings Analysis:**

The recent earnings show significant volatility in EPS, ranging from a large loss to substantial profits.  Revenue shows relatively steady growth but with some minor fluctuations.  The large negative EPS in 2024-08-01 needs further investigation to understand underlying reasons. Note the duplicate entry for 2024-11-07. This inconsistency requires clarification.

| Date       | EPS    | Revenue     |
|------------|--------|-------------|
| 2024-11-07 | 0.72   | 6.75 B$     |
| 2024-08-01 | -6.02  | 6.56 B$     |
| 2024-05-02 | 1.75   | 6.76 B$     |
| 2023-11-02 | 2.83   | 7.27 B$     |
| 2024-11-07 | 2.83   | 7.27 B$     |


**5. Financial Information:**

Revenue has been relatively stable for the past few quarters, hovering around $0.09 Billion.  Profit margins are consistently high, around 60%. However,  the negative Return on Equity (ROE) is a significant concern, indicating the company is not generating sufficient returns on its equity investment.  This needs further investigation to determine the underlying causes.

**Revenue and Profitability:**

| Quarter | Revenue | Profit Margin |
|---------|----------|---------------|
| 2025-01-31 | $0.10B | 59.07% |
| 2024-10-31 | $0.09B | 61.31% |
| 2024-07-31 | $0.09B | 59.81% |
| 2024-04-30 | $0.09B | 59.60% |
| 2024-01-31 | $0.08B | 57.76% |


**Capital and Profitability:**

| Quarter | Equity | ROE |
|---------|---------|-----|
| 2025-01-31 | $0.86B | -9.32% |
| 2024-10-31 | $0.86B | -7.68% |
| 2024-07-31 | $0.87B | -7.18% |
| 2024-04-30 | $0.87B | -8.35% |
| 2024-01-31 | $0.90B | -8.09% |


**6. Overall Analysis:**

C3.ai's performance has been significantly volatile and underperformed the S&P 500 considerably. While the company shows high profit margins and relatively stable revenue, the negative ROE and highly variable EPS are major red flags.  The extremely negative expected return (-195.8%) suggests high risk, and further investigation is required to assess the fundamental drivers behind the company's performance and the sustainability of its revenue and profit margins.  The data provided needs clarification regarding duplicate earnings entries and the basis for the extremely negative long-term expected return.  A more comprehensive analysis, including a deeper dive into the company's business model, competitive landscape, and management decisions, is necessary before making any investment decisions.
