Date,rate_NOW_5D,rate_VOO_20D
2016-01,0.0,-0.2222
2016-02,0.2765,-0.538
2016-03,9.9692,5.4876
2016-04,25.6211,4.3009
2016-05,21.4442,5.0489
2016-06,15.3057,4.5571
2016-07,22.0344,7.6935
2016-08,15.9488,6.9533
2016-09,23.9571,6.2375
2016-10,35.147,3.7854
2016-11,25.1599,7.1677
2016-12,10.9854,8.807
2017-01,33.2391,9.8558
2017-02,25.7156,13.2781
2017-03,24.8571,12.5186
2017-04,33.3456,12.862
2017-05,45.4844,13.671
2017-06,44.8144,13.5989
2017-07,48.2447,15.144
2017-08,53.5096,14.7216
2017-09,52.8224,16.3433
2017-10,61.7934,18.2694
2017-11,54.9115,21.041
2017-12,61.7372,21.7242
2018-01,81.8679,27.4695
2018-02,75.4994,19.3615
2018-03,79.3524,15.7832
2018-04,73.0817,14.8108
2018-05,82.2894,17.0438
2018-06,74.3556,17.3176
2018-07,75.3178,20.8062
2018-08,92.8562,23.987
2018-09,89.3635,23.9821
2018-10,62.501,13.9627
2018-11,54.8243,14.891
2018-12,41.4597,4.3997
2019-01,73.3265,12.4657
2019-02,86.5361,15.764
2019-03,86.3235,17.5172
2019-04,94.5843,21.7565
2019-05,86.3128,15.9825
2019-06,86.9498,19.9006
2019-07,86.7468,21.1479
2019-08,74.5607,18.2717
2019-09,67.6283,20.1285
2019-10,53.948,20.2617
2019-11,74.8626,24.1404
2019-12,72.9255,27.2792
2020-01,105.3227,26.2131
2020-02,103.1157,19.7543
2020-03,95.1245,15.6821
2020-04,140.1271,30.2617
2020-05,157.7745,35.8523
2020-06,157.4472,35.1239
2020-07,168.4385,39.5012
2020-08,174.9815,48.4406
2020-09,152.7722,40.57
2020-10,156.6686,35.226
2020-11,152.5172,43.8337
2020-12,157.4271,48.4074
2021-01,145.2731,45.5769
2021-02,142.8632,42.6135
2021-03,137.6427,44.2303
2021-04,138.4265,51.092
2021-05,117.8098,46.9262
2021-06,150.5548,49.4935
2021-07,154.7331,52.3787
2021-08,163.2171,56.0652
2021-09,159.4329,48.0452
2021-10,177.0905,55.9789
2021-11,160.9462,53.5023
2021-12,148.6396,55.7997
2022-01,109.3452,46.4229
2022-02,91.121,38.1146
2022-03,70.2153,42.2235
2022-04,55.3859,34.5061
2022-05,51.2736,35.9861
2022-06,36.565,21.1493
2022-07,23.609,31.8499
2022-08,18.2346,26.0177
2022-09,2.4472,14.2613
2022-10,10.8059,23.1597
2022-11,9.5646,29.6167
2022-12,-3.1921,24.435
2023-01,9.5221,29.2005
2023-02,8.4278,25.863
2023-03,14.8083,29.3114
2023-04,12.0025,31.0157
2023-05,29.4123,31.2861
2023-06,33.1941,39.4108
2023-07,32.4578,43.5156
2023-08,31.6846,39.1934
2023-09,24.6746,32.2074
2023-10,29.4944,28.9933
2023-11,52.1991,40.4062
2023-12,56.2365,46.3831
2024-01,68.5955,48.2211
2024-02,65.7817,55.3929
2024-03,61.8003,59.893
2024-04,53.6122,54.279
2024-05,40.4898,58.6437
2024-06,67.651,63.681
2024-07,59.5887,62.4028
2024-08,66.9974,65.2032
2024-09,71.6953,63.6745
2024-10,66.9416,61.537
2024-11,85.0642,70.3476
2024-12,86.0989,65.7569
2025-01,77.9847,69.5588
2025-02,61.9373,66.3116
2025-03,38.1655,60.3346
2025-04,65.2883,59.0646
2025-05,74.3635,68.4722
2025-06,73.5596,76.5005
2025-07,54.8041,79.8502
2025-08,52.7435,82.8659
2025-09,52.7659,88.5978
2025-10,52.1354,92.3152
2025-11,34.1742,91.9565
2025-12,26.2098,91.3383
2026-01,4.8667,93.2969
