Date,rate_LUNR_5D,rate_VOO_20D
2021-11,-0.0856,-4.9628
2021-12,-0.9424,2.3815
2022-01,-0.8554,-8.687
2022-02,-1.0108,-15.0002
2022-03,-0.4931,-9.2991
2022-04,-0.0824,-25.9406
2022-05,-0.6349,-26.2533
2022-06,-0.3113,-40.3419
2022-07,0.2867,-27.2855
2022-08,0.1127,-34.6189
2022-09,0.8833,-49.3765
2022-10,1.372,-38.5344
2022-11,1.9783,-30.8152
2022-12,2.3246,-40.4804
2023-01,3.3634,-31.6864
2023-02,104.8332,-36.2125
2023-03,7.0449,-31.1045
2023-04,-23.3752,-29.1976
2023-05,-30.8944,-29.0349
2023-06,-16.1281,-19.2694
2023-07,-12.657,-14.4033
2023-08,-50.3883,-17.965
2023-09,-60.4445,-26.7337
2023-10,-65.8777,-30.8479
2023-11,-65.078,-16.9433
2023-12,-66.6495,-9.7772
2024-01,-46.7288,-7.644
2024-02,-12.3485,0.9889
2024-03,-8.6358,6.362
2024-04,-25.9755,-2.3068
2024-05,-25.9778,6.2647
2024-06,-50.704,12.3524
2024-07,-38.9586,13.7805
2024-08,-22.2174,17.7268
2024-09,26.7651,21.2996
2024-10,22.2794,18.3737
2024-11,154.8471,29.6222
2024-12,178.9805,23.5458
2025-01,227.5154,28.3028
2025-02,116.5254,24.5965
2025-03,4.3309,13.4737
