2024-10-12 - Analysis Report
## Amgen Inc. (AMGN) Stock Analysis Report

**Company Overview:** Amgen Inc. is a leading biotechnology company that develops, manufactures, and markets innovative medicines for serious illnesses.

**Performance Analysis:**

**1.  Relative Performance to S&P 500 (VOO):**

*   **Cumulative Return:**  AMGN: 79.52%, VOO: 134.11%
*   **Current Relative Performance:** -54.59% (Relative Divergence: 31.45%) 
    *   This means AMGN has underperformed VOO by 54.59%, currently positioned at the 31.45th percentile of its historical performance range relative to VOO.

**2.  Recent Price Movement:**

*   **Closing Price:** $321.01
*   **5-Day Moving Average:** $319.64
*   **20-Day Moving Average:** $325.62
*   **60-Day Moving Average:** $327.52

**3.  Technical Indicators:**

*   **RSI:** 36.44 (Below 50, indicating oversold conditions)
*   **PPO:** -0.16 (Negative value suggests potential downward price momentum)
*   **Delta_Previous_Relative_Divergence:** -11.21 (Negative, indicating a recent decline in relative performance)
*   **Expected Return:** 0.0% (Estimated maximum 5-year return over S&P 500)

**4.  Recent Earnings and Forecast:**

*   **Latest Earnings:** 
    *   Date: 2024-08-07
    *   EPS: $1.39
    *   Revenue: $8.39 Billion
*   **Analysis:** The latest earnings report showed a significant increase in EPS and revenue compared to the previous quarter, exceeding analyst expectations.  This strong performance suggests a positive outlook for the company's future growth.

**5.  News and Recent Issues:**

*   **Recent Market Outlook:**
    *   **FINBOLD:** AMGN's stock price has been under pressure due to competition in the biosimilar market and concerns about the company's future growth prospects. However, analysts are optimistic about the company's long-term prospects, citing its strong pipeline and potential for new drug approvals.
*   **Analyst Opinions:**  
    *   **Analysts:** While some analysts maintain a 'Buy' rating on AMGN, others have downgraded the stock due to concerns about competition and pricing pressures.
*   **Performance Highlights:** AMGN has shown resilience in recent quarters, exceeding earnings expectations and exhibiting strong revenue growth. However, concerns remain about the company's ability to maintain this momentum in a competitive market.

**6.  Overall Analysis:**

*   AMGN is a large-cap biotechnology company with a history of strong performance. While recent relative performance has lagged behind the S&P 500, the company has demonstrated solid financial results in recent earnings reports.
*   Technical indicators suggest potential oversold conditions and short-term downward pressure.
*   Analyst opinions are mixed, with some concerns about competition and future growth.
*   Overall, AMGN remains a strong company with a robust portfolio of products. Investors should carefully consider the potential for future growth and competitive pressures when making investment decisions.

**7.  Investment Recommendations:**

*   **Long-term:** Investors with a long-term outlook may find AMGN an attractive investment given its strong track record and potential for future growth. 
*   **Short-term:** Short-term investors may want to wait for a clearer indication of the company's future performance before considering a position.

**Disclaimer:** This analysis is for informational purposes only and should not be considered investment advice. Please consult with a qualified financial advisor before making any investment decisions.
