Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,NVDA,Technology,4235.3,75.9,-2.7,-0.2,-2.5,-2.6,3.1,81.2,233.2,436.6,932.6,4068.6,5580.0,-9.9,1.1,4365.8,713.4,4340.3,2.0,2.0,5.0,15.0,1,8.8
2,BTC-USD,Coin,5635.9,79.6,2.9,0.6,-5.1,12.8,19.7,80.1,127.8,203.2,458.9,5475.8,7085.6,-33.3,1.6,4885.9,1041.3,5741.3,1.0,1.0,4.0,12.0,3,9.0
3,AVGO,Technology,644.0,73.0,0.3,0.1,-4.4,9.1,21.9,63.1,119.8,228.2,348.8,630.5,884.8,-7.3,1.1,590.7,105.2,749.4,10.0,10.0,13.0,30.5,-7,11.8
4,LLY,Healthcare,496.6,79.1,1.5,-1.5,6.5,1.8,-2.0,21.1,53.4,158.3,294.3,492.0,634.5,-25.2,1.1,559.2,107.5,602.0,11.0,11.0,14.0,29.0,8,26.8
5,PANW,Technology,263.3,83.6,4.8,1.9,5.4,7.3,10.9,17.4,34.9,104.5,161.6,260.9,323.2,-41.3,1.2,256.4,50.1,368.7,19.0,21.0,24.0,41.0,0,29.2
6,MSFT,Technology,174.8,65.6,0.5,2.0,-2.4,-4.1,-9.4,-11.5,-5.7,0.1,37.6,171.3,272.6,-11.7,1.2,327.8,105.1,280.2,26.0,29.0,20.0,32.0,5,32.8
7,TSLA,Technology,950.6,58.3,-0.1,-15.0,-26.8,-14.0,4.9,-7.0,-16.2,8.7,302.4,588.0,1700.5,-99.9,1.3,1263.3,573.5,1055.6,8.0,8.0,10.0,16.0,27,38.6
8,AMD,Technology,775.4,40.9,2.4,5.6,-1.9,-15.6,-27.1,-32.5,-26.3,-27.9,55.9,751.9,1950.2,-37.8,1.3,2879.9,1387.9,880.8,9.0,9.0,6.0,10.0,30,38.8
9,AMAT,Technology,141.2,40.1,2.2,0.4,-1.9,-10.5,-21.1,-20.8,-11.8,3.6,41.7,139.0,388.7,-24.2,1.4,554.0,244.6,246.7,32.0,34.0,15.0,20.0,15,39.2
10,INOD,Technology,1622.0,66.7,-4.4,-14.5,10.4,77.0,211.3,280.0,451.9,863.4,1531.4,1626.0,2473.7,-80.7,1.4,847.8,127.5,1727.4,5.0,5.0,11.0,26.0,25,39.6
