Date,rate_SHW_5D,rate_VOO_20D
2016-01,2.2049,0.7475
2016-02,7.5087,0.3631
2016-03,10.0967,6.1635
2016-04,8.1539,4.8532
2016-05,8.2323,5.5092
2016-06,7.575,4.9516
2016-07,8.7294,8.0529
2016-08,2.9244,7.2728
2016-09,0.2687,6.525
2016-10,-11.2264,4.0384
2016-11,-1.8249,7.3996
2016-12,-1.6157,9.0221
2017-01,11.0829,10.0556
2017-02,12.2837,13.4646
2017-03,12.0763,12.6934
2017-04,19.8568,13.0265
2017-05,18.0288,13.8264
2017-06,23.5763,13.7461
2017-07,17.8342,15.2839
2017-08,17.8585,14.8547
2017-09,23.4177,16.4705
2017-10,34.9797,18.391
2017-11,35.174,21.1572
2017-12,37.3338,21.8357
2018-01,38.1102,27.5767
2018-02,31.4738,19.4887
2018-03,26.0149,15.9328
2018-04,15.5811,14.9578
2018-05,18.8352,17.1859
2018-06,26.9525,17.444
2018-07,36.3255,20.9505
2018-08,40.0355,24.1299
2018-09,38.7099,24.1209
2018-10,18.9862,14.1084
2018-11,26.2988,15.0224
2018-12,15.0355,4.4886
2019-01,22.8154,12.5608
2019-02,25.9472,15.8612
2019-03,24.593,17.612
2019-04,30.8648,21.8639
2019-05,20.5345,16.0646
2019-06,29.399,19.9808
2019-07,37.0519,21.2252
2019-08,36.958,18.3328
2019-09,37.4431,20.1882
2019-10,42.1374,20.3259
2019-11,44.1635,24.2116
2019-12,43.3525,27.349
2020-01,35.5207,26.2815
2020-02,20.7469,19.8213
2020-03,17.8234,15.7478
2020-04,37.9655,30.3559
2020-05,52.288,35.9447
2020-06,47.9659,35.2146
2020-07,61.7668,39.5903
2020-08,66.1678,48.5304
2020-09,60.8733,40.6583
2020-10,59.0523,35.284
2020-11,66.8908,43.8758
2020-12,58.1603,48.4488
2021-01,48.0263,45.6177
2021-02,42.4395,42.6536
2021-03,49.2834,44.2697
2021-04,65.2906,51.1309
2021-05,69.4181,46.9645
2021-06,66.3976,49.5312
2021-07,74.7919,52.4159
2021-08,81.5488,56.1018
2021-09,74.167,48.0813
2021-10,88.7979,56.0144
2021-11,92.608,53.5374
2021-12,90.9757,55.8343
2022-01,55.6793,46.4571
2022-02,43.2525,38.1483
2022-03,35.4409,42.2675
2022-04,36.4342,34.5494
2022-05,27.7441,36.0289
2022-06,13.5487,21.1749
2022-07,16.7501,31.8752
2022-08,12.0295,26.0562
2022-09,-1.3379,14.2993
2022-10,8.3509,23.2183
2022-11,20.1543,29.7022
2022-12,18.0633,24.5108
2023-01,11.1711,29.2932
2023-02,4.5261,25.9536
2023-03,4.3245,29.4041
2023-04,10.1677,31.1074
2023-05,5.7949,31.3785
2023-06,19.2117,39.5074
2023-07,23.9262,43.6112
2023-08,21.9831,39.288
2023-09,14.5652,32.2789
2023-10,6.3569,29.0551
2023-11,20.7644,40.4823
2023-12,34.8271,46.4584
2024-01,31.2565,48.2956
2024-02,43.0806,55.4714
2024-03,49.1969,59.9707
2024-04,36.8836,54.3559
2024-05,34.2658,58.7198
2024-06,31.554,63.7565
2024-07,54.2688,62.4775
2024-08,52.0709,65.2821
2024-09,53.5533,63.7333
2024-10,39.0808,61.5953
2024-11,47.0244,70.4058
2024-12,25.4501,65.7986
2025-01,31.9134,69.6123
2025-02,33.1306,66.3646
2025-03,26.3027,60.3871
2025-04,21.3542,59.1236
2025-05,23.4351,68.5307
2025-06,15.8059,76.5585
2025-07,8.9311,79.9077
2025-08,20.5241,82.9229
2025-09,16.0665,88.6543
2025-10,16.9469,92.3724
2025-11,16.6434,92.0168
2025-12,9.8454,91.3981
2026-01,21.1221,94.3419
