Date,rate_COP_5D,rate_VOO_20D
2015-01-02,0.0,0.0
2015-03-03,0.95,4.16
2015-04-29,6.07,4.33
2015-06-25,-1.99,4.4
2015-08-21,-27.33,-1.85
2015-10-19,-12.46,1.66
2015-12-15,-17.38,2.44
2016-02-12,-44.17,-6.18
2016-04-12,-28.1,4.06
2016-06-08,-21.33,7.23
2016-08-04,-31.5,9.68
2016-09-30,-26.13,10.15
2016-11-28,-22.2,12.13
2017-01-26,-14.02,17.06
2017-03-24,-23.56,19.63
2017-05-22,-18.47,22.18
2017-07-19,-23.33,26.22
2017-09-14,-19.1,27.43
2017-11-09,-6.06,31.74
2018-01-09,1.19,40.26
2018-03-08,-5.43,39.45
2018-05-04,16.24,35.44
2018-07-02,19.26,38.51
2018-08-28,25.26,47.37
2018-10-24,14.83,34.89
2018-12-21,4.86,22.56
2019-02-21,22.39,40.89
2019-04-18,14.96,47.33
2019-06-17,3.98,46.47
2019-08-13,-4.16,48.14
2019-10-09,-2.32,47.59
2019-12-05,6.55,57.43
2020-02-04,0.8,66.08
2020-04-01,-43.77,24.36
2020-05-29,-21.49,53.53
2020-07-27,-24.73,63.11
2020-09-22,-33.8,66.54
2020-11-17,-25.11,80.97
2021-01-15,-14.46,88.39
2021-03-16,5.62,97.48
2021-05-12,4.12,101.72
2021-07-09,12.24,116.12
2021-09-03,6.31,123.5
2021-11-01,38.06,126.35
2021-12-29,35.02,135.04
2022-02-25,67.1,114.12
2022-04-25,67.44,109.06
2022-06-22,69.69,82.44
2022-08-18,91.42,107.6
2022-10-14,115.91,73.3
2022-12-12,104.65,92.41
2023-02-09,101.54,96.29
2023-04-10,95.58,97.31
2023-06-06,88.57,105.16
2023-08-03,111.7,114.82
2023-09-29,121.56,104.81
2023-11-27,112.59,116.73
2024-01-25,106.65,132.47
2024-03-22,126.47,147.79
2024-05-20,122.83,150.52
2024-07-18,114.2,160.64
2024-09-13,91.51,163.58
2024-11-08,106.23,179.86
2024-11-12,104.55,179.25
