Date,rate_KO_5D,rate_VOO_20D
2015-01,-2.3019,-2.8715
2015-02,2.7527,2.5478
2015-03,-3.7731,0.4246
2015-04,-3.7494,1.4331
2015-05,-2.8002,2.7017
2015-06,-6.9056,0.2335
2015-07,-2.5154,2.4151
2015-08,-6.692,-3.8694
2015-09,-4.7935,-6.7357
2015-10,0.4983,1.1465
2015-11,1.1391,1.5764
2015-12,1.9459,-0.7803
2016-01,1.851,-5.6529
2016-02,2.3493,-5.8493
2016-03,10.0854,0.0849
2016-04,6.3123,0.4352
2016-05,5.8377,2.1975
2016-06,7.57,2.017
2016-07,3.5358,5.7749
2016-08,3.0612,5.9023
2016-09,0.4271,5.4618
2016-10,0.617,3.5722
2016-11,-4.2477,7.431
2016-12,-1.6137,8.9756
2017-01,-1.3526,10.9183
2017-02,-0.4271,15.2176
2017-03,0.7119,14.8355
2017-04,2.3968,16.0297
2017-05,7.9022,17.6592
2017-06,6.4309,17.8662
2017-07,8.7803,20.2972
2017-08,8.0921,20.6476
2017-09,6.8106,22.4841
2017-10,9.1125,25.3344
2017-11,8.6141,29.1667
2017-12,8.8752,30.1964
2018-01,12.9331,37.4682
2018-02,2.5629,32.3461
2018-03,3.0612,28.4926
2018-04,2.5392,28.9384
2018-05,2.0408,32.0541
2018-06,4.0816,32.4363
2018-07,10.655,37.155
2018-08,5.7665,41.5711
2018-09,9.6108,41.7463
2018-10,13.6213,32.0541
2018-11,19.6013,34.5435
2018-12,12.3635,21.9798
2019-01,14.2145,31.6401
2019-02,7.5937,35.9183
2019-03,11.2008,37.7601
2019-04,16.4215,43.3174
2019-05,16.5876,34.2197
2019-06,20.8353,42.8609
2019-07,24.8932,44.9469
2019-08,30.6122,42.569
2019-09,29.1884,44.6922
2019-10,29.1647,47.8503
2019-11,26.7205,53.2113
2019-12,31.3479,57.0064
2020-01,38.5857,56.948
2020-02,26.934,44.2357
2020-03,5.0071,25.7006
2020-04,8.8989,41.7728
2020-05,10.7736,48.4873
2020-06,6.0275,50.4406
2020-07,12.1025,59.2888
2020-08,17.5368,70.3928
2020-09,17.1571,63.2962
2020-10,14.0484,59.1401
2020-11,22.449,76.5605
2020-12,30.1376,82.4257
2021-01,14.262,80.5626
2021-02,16.2553,85.5573
2021-03,25.0831,93.3652
2021-04,28.0968,103.5934
2021-05,31.2055,104.9522
2021-06,28.4053,108.8747
2021-07,35.3346,113.9862
2021-08,33.626,120.3025
2021-09,24.5135,109.3418
2021-10,33.7684,124.0764
2021-11,24.4661,122.431
2021-12,40.5078,131.7251
2022-01,44.7793,119.5807
2022-02,47.6982,113.0361
2022-03,47.1286,120.3663
2022-04,53.3223,101.0085
2022-05,50.4034,101.5287
2022-06,49.2881,84.1189
2022-07,52.2781,101.0563
2022-08,46.4404,92.7548
2022-09,32.9378,74.2569
2022-10,42.0266,88.4023
2022-11,50.9492,98.7739
2022-12,50.9492,86.4862
2023-01,45.515,98.2166
2023-02,41.2197,93.2643
2023-03,47.1998,99.6125
2023-04,52.2307,102.7866
2023-05,41.5757,103.7633
2023-06,42.9046,116.1784
2023-07,46.9625,123.2909
2023-08,41.9791,119.655
2023-09,32.8429,108.4395
2023-10,34.0532,103.9119
2023-11,38.6806,122.6115
2023-12,39.8434,131.8471
2024-01,41.1723,135.5733
2024-02,42.43,147.8397
2024-03,45.1827,155.1486
2024-04,46.5828,144.9204
2024-05,49.3356,157.2293
2024-06,51.0441,165.4618
2024-07,58.3768,168.5403
2024-08,71.9744,174.9682
2024-09,70.5268,180.0796
2024-10,54.9834,177.4257
2024-11,52.0646,193.7633
2024-12,47.7456,185.9926
2025-01,50.6407,193.6996
2025-02,68.9843,189.9841
2025-03,69.9573,172.776
2025-04,72.1642,170.5626
2025-05,71.0963,187.5584
2025-06,67.8927,201.5021
2025-07,61.1058,208.397
2025-08,63.5738,213.5138
