Date,rate_DHR_5D,rate_VOO_20D
2015-01-02,0.0,0.0
2015-03-03,2.32,4.16
2015-04-29,-2.67,3.8
2015-06-25,0.42,3.4
2015-08-21,2.11,-2.77
2015-10-19,4.67,0.19
2015-12-15,8.45,0.99
2016-02-12,-0.57,-8.03
2016-04-12,9.3,1.51
2016-06-08,16.85,4.64
2016-08-04,24.43,6.55
2016-09-30,20.04,6.55
2016-11-28,20.71,8.53
2017-01-26,23.07,12.65
2017-03-24,30.54,14.65
2017-05-22,25.4,17.16
2017-07-19,29.3,20.55
2017-09-14,32.92,21.78
2017-11-09,39.18,25.33
2018-01-09,46.99,32.87
2018-03-08,50.76,32.18
2018-05-04,47.99,27.87
2018-07-02,44.27,30.25
2018-08-28,50.64,38.61
2018-10-24,39.84,26.38
2018-12-21,43.07,14.29
2019-02-21,62.58,31.47
2019-04-18,82.18,36.81
2019-06-17,99.02,36.1
2019-08-13,99.41,37.04
2019-10-09,93.44,35.98
2019-12-05,106.23,45.14
2020-02-04,126.49,52.49
2020-04-01,78.04,13.74
2020-05-29,129.68,40.47
2020-07-27,172.39,48.57
2020-09-22,181.39,51.8
2020-11-17,209.09,64.37
2021-01-15,216.58,70.52
2021-03-16,186.46,78.86
2021-05-12,229.49,82.17
2021-07-09,262.4,94.62
2021-09-03,330.54,101.38
2021-11-01,297.8,103.4
2021-12-29,317.79,110.49
2022-02-25,254.4,91.86
2022-04-25,228.02,86.8
2022-06-22,207.44,63.12
2022-08-18,265.18,84.98
2022-10-14,212.56,53.85
2022-12-12,234.55,70.93
2023-02-09,209.88,73.66
2023-04-10,201.08,73.97
2023-06-06,181.29,81.01
2023-08-03,206.62,88.91
2023-09-29,194.5,79.47
2023-11-27,192.76,90.05
2024-01-25,200.65,103.14
2024-03-22,234.66,115.96
2024-05-20,248.54,118.46
2024-07-18,217.35,126.6
2024-09-13,253.18,129.28
2024-10-31,215.32,131.38
