Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,TSLA,Consumer Cyclical,989.5,70.2,2.6,24.1,32.5,35.5,33.5,54.2,55.3,42.2,505.6,1132.5,1426.5,-40.9,1.3,1106.6,349.1,1055.9,6.0,6.0,12.0,19.0,-10,2.4
2,NVDA,Technology,818.0,78.2,0.9,-2.1,3.0,21.0,23.3,81.2,286.1,506.7,1281.3,5818.9,1050.1,-12.6,1.2,913.6,191.4,884.4,7.0,7.0,14.0,27.0,5,21.4
3,AVGO,Technology,184.6,83.1,-4.5,8.2,12.6,36.8,50.1,104.4,197.5,326.4,510.9,912.1,224.2,-10.6,1.2,153.8,32.4,251.0,18.0,19.0,23.0,38.0,0,27.2
4,DOGE-USD,Unknown,4093.3,50.0,-7.0,4.5,21.8,12.0,10.8,56.4,79.1,655.2,2872.6,3316.9,8202.5,-22.8,1.7,8200.9,3004.5,4150.9,2.0,2.0,2.0,5.0,30,33.2
5,AVAV,Industrials,117.0,88.0,18.9,20.6,21.7,59.1,49.9,64.7,97.6,133.0,156.8,331.5,136.7,-27.7,1.3,86.9,18.4,186.6,22.0,25.0,30.0,43.0,10,42.6
6,XRP-USD,Unknown,1414.2,54.2,-4.0,-5.4,7.0,5.9,90.9,223.1,296.5,339.0,455.3,443.7,2649.4,-46.7,1.7,2104.2,573.0,1471.8,3.0,3.0,8.0,14.0,35,43.4
7,BTC-USD,Unknown,764.9,66.4,-0.7,-2.7,-4.7,-0.9,12.6,58.9,143.8,172.3,523.0,6699.8,1156.8,-10.3,1.1,1080.8,349.2,830.4,9.0,9.0,13.0,18.0,31,44.4
8,ADA-USD,Unknown,743.5,34.9,-5.0,-7.3,17.2,2.6,17.9,38.5,44.7,42.7,379.8,372.9,2212.1,-43.3,1.6,2442.5,1266.2,801.2,10.0,10.0,7.0,11.0,35,44.8
9,MKR-USD,Unknown,1033.2,61.5,-0.3,14.9,-6.0,5.3,7.4,-16.9,16.5,2.0,40.7,42.7,1693.1,-19.9,1.1,1748.3,597.2,1084.5,5.0,5.0,9.0,13.0,36,45.0
10,LLY,Healthcare,114.2,47.9,-3.5,-4.7,-11.9,-18.5,-22.8,-26.5,-7.1,64.7,147.2,307.3,267.4,-26.6,1.3,378.8,148.9,180.6,23.0,27.0,19.0,29.0,20,45.4
11,LINK-USD,Unknown,790.3,17.3,-1.9,-11.6,30.8,25.8,27.1,26.3,62.4,30.1,670.8,1269.4,4759.0,-42.6,1.4,6539.3,6100.5,848.0,8.0,8.0,3.0,1.0,45,49.2
12,SOL-USD,Unknown,1320.8,50.6,-8.6,-1.0,21.1,21.9,11.4,98.2,334.8,1113.6,0.0,0.0,2639.8,-28.5,1.3,3024.2,1282.2,1320.8,4.0,4.0,6.0,10.0,45,51.8
13,AMD,Technology,287.2,39.1,-0.3,-5.9,-1.5,18.4,12.1,-2.8,7.8,5.5,78.6,1163.2,763.7,-18.1,1.3,900.1,550.8,353.6,14.0,15.0,15.0,15.0,41,55.8
14,COST,Consumer Defensive,77.3,69.8,-2.5,-3.6,-10.0,-14.8,-14.3,-6.5,3.9,24.4,54.2,133.9,118.1,-17.0,1.1,123.1,33.0,146.9,28.0,30.0,25.0,37.0,27,58.4
15,GOOG,Communication Services,50.5,54.0,-5.7,9.9,23.1,27.6,26.6,28.2,42.9,48.6,84.7,174.6,103.8,-12.1,1.6,43.2,20.3,116.9,32.0,33.0,43.0,42.0,20,58.4
16,MSTR,Technology,646.2,48.7,-6.5,-13.7,-21.8,-23.6,-2.5,161.8,450.8,544.3,971.9,1184.6,1381.3,-52.0,1.4,1174.3,222.8,712.6,11.0,11.0,11.0,23.0,44,59.8
17,GS,Financial Services,75.7,99.2,-0.3,5.2,6.8,16.8,23.8,46.5,55.5,71.5,99.2,100.8,76.6,-32.8,1.2,39.4,4.0,142.1,29.0,31.0,44.0,48.0,20,60.0
18,MSFT,Technology,23.3,21.9,-1.2,-1.7,-5.1,2.2,5.0,0.9,8.8,17.7,54.2,225.5,149.7,-12.1,1.2,137.2,106.4,89.7,38.0,39.0,24.0,30.0,28,60.2
19,BNB-USD,Unknown,42747.1,95.2,-4.8,4.5,17.8,24.3,28.6,80.7,96.5,385.9,2052.3,3273.0,44897.0,-24.0,1.1,33055.6,5933.7,42897.7,1.0,1.0,1.0,2.0,60,61.4
20,ETN,Industrials,10.8,40.5,-1.5,4.5,-1.6,3.4,1.4,3.3,21.3,54.7,101.0,153.0,52.7,-17.7,1.4,59.9,31.8,80.4,41.0,43.0,37.0,39.0,23,62.8
21,PANW,Technology,33.5,54.0,-3.9,4.6,-0.1,-2.5,-1.3,1.6,19.0,68.3,144.6,272.3,96.5,-40.4,1.3,90.7,34.3,99.9,36.0,36.0,28.0,36.0,29,63.4
22,ETH-USD,Unknown,277.4,41.8,-5.7,-11.4,29.1,54.2,39.4,33.4,52.2,94.2,636.2,619.7,750.0,-62.6,1.3,536.1,274.7,335.1,15.0,16.0,17.0,22.0,45,63.4
23,ASML,Technology,0.1,23.8,2.5,24.0,20.3,21.7,18.5,2.2,0.4,0.4,54.5,205.5,113.5,-35.4,1.9,95.0,97.4,66.5,49.0,49.0,27.0,32.0,30,67.8
24,ENPH,Technology,339.0,19.0,-0.4,-3.5,-3.4,-23.9,-43.1,-71.4,-95.5,-112.2,-56.3,477.0,2128.4,-79.8,1.4,3197.2,4206.5,408.1,13.0,13.0,5.0,4.0,60,67.8
25,AAPL,Technology,9.3,34.4,5.4,6.5,14.5,7.1,1.9,1.4,0.3,7.6,66.7,214.4,60.7,-17.7,1.5,76.3,28.4,75.7,44.0,45.0,34.0,40.0,30,70.6
26,SPOT,Communication Services,111.1,70.8,-0.8,-2.8,-5.7,-1.2,22.8,99.6,223.2,207.9,219.2,216.9,169.1,-29.4,1.1,121.1,17.2,163.2,26.0,28.0,26.0,44.0,41,74.6
27,TMDX,Healthcare,123.0,63.8,-6.7,-1.5,-12.9,7.1,10.6,10.2,12.1,139.6,190.3,190.3,230.9,-67.0,1.4,177.9,40.8,178.0,25.0,23.0,22.0,34.0,48,75.6
