Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p
1,AXON,Public Safety Technology,748.2,60.8,5.2,6.9,21.7,34.0,24.7,2.6,36.0,113.1,220.2,748.2,1246.3,-25.7,1.5,1263.6,503.7,894.1,27.0,27.0,27.0,27.0,0.0,0.0,1.0,1.0,12,-526.3999999999999,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,27.0,27.0,27.0,27.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,111111111,111111111,218.0,150.0,200.0,177.8,177.8,133.3,8.0,9.0,1.0,545.8,545.8,501.3
2,NVDA,Semiconductors,3318.3,81.3,0.9,0.8,-5.7,-4.4,-3.5,-3.8,68.0,350.4,914.6,3318.3,4013.4,-12.1,1.1,3749.9,949.3,3464.1,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0,-23.5,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,100001111,101111111,162.5,218.0,177.8,155.6,155.6,133.3,7.0,9.0,1.0,536.1,536.1,513.8
3,AMD,Semiconductors,2199.4,87.2,-0.3,-0.7,-1.1,42.1,79.8,124.2,207.3,269.5,401.2,2199.4,2526.1,-27.9,1.4,1016.6,188.6,2345.2,5.0,5.0,5.0,5.0,0.0,0.0,3.0,3.0,-2,33.0,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,001111111,111101011,173.6,190.0,155.6,155.6,155.6,155.6,7.0,9.0,1.0,519.2,519.2,519.2
4,BTC-USD,Cryptocurrency,1538.0,43.7,1.5,2.9,-2.0,-11.9,-18.0,-35.2,-30.8,-7.7,72.6,1538.0,3326.6,-9.6,1.3,5447.0,2899.1,1683.8,10.0,10.0,10.0,10.0,0.0,0.0,4.0,4.0,12,-246.70000000000027,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,100000011,111110111,140.2,190.0,177.8,177.8,177.8,155.6,8.0,9.0,1.0,508.0,508.0,485.8
5,TRX-USD,Cryptocurrency,788.4,12.0,0.6,4.2,1.2,-2.3,2.0,-2.3,66.8,152.0,460.7,788.4,6637.4,-26.9,1.2,6421.1,4386.0,899.8,26.0,26.0,24.0,24.0,0.0,0.0,5.0,5.0,6,-79.5,EARLY_UP,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,26.0,26.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,110101111,--0111111,179.5,150.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,500.9,500.9,500.9
6,BNB-USD,Cryptocurrency,1890.2,33.7,1.3,3.4,-5.1,-9.9,-18.7,-31.4,-13.8,-17.0,576.2,1890.2,5605.5,-25.2,1.3,8171.8,4812.0,2001.6,7.0,7.0,7.0,7.0,0.0,0.0,6.0,6.0,0,-205.5,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,7.0,7.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,100000011,--0111111,135.0,190.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,496.4,496.4,496.4
7,FTNT,Cybersecurity Software,600.8,97.1,-0.6,1.2,4.4,42.6,62.8,63.9,68.3,72.2,172.9,600.8,619.5,-20.2,1.4,320.7,75.1,746.7,32.0,32.0,34.0,34.0,0.0,0.0,7.0,7.0,-4,5.5,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,32.0,32.0,34.0,34.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,177.8,111.1,8.0,9.0,1.0,494.7,494.7,428.0
8,ANET,Networking Equipment,800.0,88.8,4.4,3.7,-0.7,2.6,7.6,10.8,61.3,183.8,376.7,800.0,904.1,-19.6,1.2,700.4,156.2,945.8,20.0,20.0,23.0,23.0,0.0,0.0,8.0,8.0,0,-19.80000000000001,EARLY_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,20.0,20.0,23.0,23.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,101111111,100111111,184.7,150.0,155.6,155.6,155.6,111.1,7.0,9.0,1.0,490.3,490.3,445.8
9,LLY,Pharmaceuticals,641.6,99.5,2.2,1.5,9.5,14.7,12.2,23.5,29.9,118.0,287.2,641.6,643.8,-21.4,1.2,459.0,101.7,787.4,30.0,30.0,32.0,32.0,0.0,0.0,9.0,9.0,-2,1.2000000000000028,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,30.0,30.0,32.0,32.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,111111111,111111111,218.0,110.0,200.0,155.6,155.6,111.1,7.0,9.0,1.0,483.6,483.6,439.1
10,HWM,Aerospace & Defense,780.0,95.6,2.0,1.5,6.0,6.2,10.1,20.1,154.3,332.8,565.0,780.0,783.4,-54.6,1.1,575.7,89.3,909.0,25.0,25.0,25.0,25.0,0.0,0.0,10.0,10.0,2,-0.7999999999999972,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,25.0,25.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,111111111,-01111111,204.5,150.0,175.0,125.0,125.0,75.0,5.0,8.0,1.0,479.5,479.5,429.5
