Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,High_52W,Pct_From_52W_High,At_52W_High
1,AMD,Semiconductors,2299.5,96.4,-1.7,0.9,26.6,88.2,106.6,160.8,227.5,293.4,442.3,2299.5,2386.6,-27.9,1.5,869.2,147.4,2442.5,6.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,4,-17.53815958954391,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,6.0,6.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,111111111,111101011,195.8,190.0,155.6,155.6,7,9,1.0,541.4,562.9899,-5.4,False
2,FIX,Engineering & Construction,3083.9,97.6,2.3,4.4,11.0,21.3,52.2,115.8,447.5,1036.2,1925.9,3083.9,3110.6,-40.0,1.1,1454.6,178.5,3226.9,3.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,-1,-21.78988405568137,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,111111111,100111111,195.8,218.0,155.6,111.1,5,9,1.0,524.9,2073.9883,-2.72,False
3,NVDA,Semiconductors,3327.0,81.5,-6.5,-5.3,-6.5,-2.6,-2.4,-1.2,77.3,366.6,975.9,3327.0,4013.4,-12.1,1.1,3705.9,935.5,3469.9,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,6,122.35920519903664,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,000001111,101111111,151.3,218.0,177.8,155.6,7,9,1.0,524.9,236.54,-17.25,False
4,PWR,Construction & Engineering,1036.8,89.2,2.9,4.1,1.2,9.8,28.2,46.6,116.1,229.1,551.1,1036.8,1124.7,-22.8,1.1,671.8,128.0,1179.7,16.0,16.0,17.0,17.0,0.0,0.0,4.0,4.0,-2,-1.9005907698345084,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,16.0,16.0,17.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,111111111,001111111,195.8,150.0,155.6,155.6,7,9,1.0,501.4,788.72,-8.89,False
5,FTNT,Cybersecurity Software,562.7,100.0,4.1,5.4,38.3,57.9,66.5,58.1,60.3,64.8,164.8,562.7,563.0,-20.2,1.4,306.6,69.6,705.6,44.0,44.0,45.0,45.0,0.0,0.0,5.0,5.0,13,-3.715954728599982,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,44.0,44.0,45.0,45.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,8,9,1.0,494.7,151.97,-1.34,False
6,LRCX,Semiconductor Equipment,1488.6,98.1,-1.9,5.1,42.1,54.5,80.4,164.8,308.7,432.7,647.3,1488.6,1502.3,-7.6,1.3,517.7,61.9,1631.6,10.0,10.0,11.0,11.0,0.0,0.0,6.0,6.0,-3,-4.398476980776998,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,10.0,10.0,11.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,111111111,111111011,206.9,150.0,177.8,133.3,6,9,1.0,490.2,409.75,-1.94,False
7,TRX-USD,Cryptocurrency,775.8,11.8,-0.1,0.9,-2.8,-2.0,1.9,-3.8,70.9,151.1,455.1,775.8,6637.4,-26.9,1.2,6505.8,4410.4,884.7,26.0,26.0,26.0,26.0,0.0,0.0,7.0,7.0,55,2667.398490106024,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,26.0,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,100101111,--0111111,168.4,150.0,171.4,171.4,6,7,1.0,489.8,0.3763,-14.03,False
8,BNB-USD,Cryptocurrency,1828.7,32.7,-1.9,-3.6,-14.3,-17.1,-26.6,-36.1,-16.4,-20.6,565.6,1828.7,5605.5,-25.2,1.3,8455.5,5011.8,1937.7,9.0,9.0,9.0,9.0,0.0,0.0,8.0,8.0,102,657.6999999999998,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,000000011,--0111111,123.9,190.0,171.4,171.4,6,7,1.0,485.3,1180.0149,-52.9,False
9,LLY,Pharmaceuticals,572.7,94.4,4.1,4.5,11.2,7.1,4.1,16.2,20.1,103.6,258.4,572.7,607.2,-21.4,1.2,480.0,115.8,715.6,42.0,42.0,43.0,43.0,0.0,0.0,9.0,9.0,8,-2.8683371711457823,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,42.0,42.0,43.0,43.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,111111111,111111111,218.0,110.0,200.0,155.6,7,9,1.0,483.6,1182.73,-4.65,False
10,HWM,Aerospace & Defense,782.0,95.9,-1.4,0.2,11.1,5.4,14.6,23.3,166.2,341.0,577.8,782.0,783.4,-54.6,1.1,563.0,86.3,908.3,25.0,25.0,25.0,25.0,0.0,0.0,10.0,10.0,-6,9.899999999999991,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,25.0,25.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,111111111,-01111111,204.5,150.0,175.0,125.0,5,8,1.0,479.5,290.6326,-6.02,False
