Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score
11,TRX-USD,Cryptocurrency,776.0,11.8,-0.3,-0.9,-2.2,-1.3,2.6,-3.1,71.7,151.9,455.7,776.0,6637.4,-26.9,1.2,6511.5,4426.3,883.3,26.0,26.0,24.0,24.0,0.0,0.0,11.0,11.0,3,2707.2856486047576,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,11.0,,,,,,,000101111,--0111111,157.3,150.0,171.4,171.4,6.0,7.0,1.0,478.7
12,HWM,Aerospace & Defense,768.1,94.3,-3.0,-0.6,10.2,4.5,13.6,22.1,162.6,334.5,567.4,768.1,783.4,-54.6,1.1,573.4,90.1,892.5,25.0,25.0,26.0,26.0,0.0,0.0,12.0,12.0,-1,7.710473014222885,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,25.0,25.0,26.0,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,12.0,,,,,,,011111111,-01111111,193.4,150.0,175.0,125.0,5.0,8.0,1.0,468.4
13,AXON,Public Safety Technology,485.6,40.2,5.6,12.4,7.9,-1.6,-8.7,-29.0,-5.6,45.2,118.1,485.6,1246.3,-25.7,1.5,1916.2,1030.1,626.6,49.0,49.0,50.0,50.0,0.0,0.0,13.0,13.0,11,-239.9046724672744,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,49.0,49.0,50.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,13.0,,,,,,,110000111,111111111,173.6,110.0,200.0,177.8,8.0,9.0,1.0,461.4
14,PANW,Cybersecurity Software,406.7,100.0,5.6,8.3,35.9,62.0,61.0,51.4,52.4,102.0,216.3,406.7,407.0,-34.6,1.2,209.3,49.0,547.7,55.0,55.0,58.0,58.0,0.0,0.0,14.0,14.0,2,-7.951274662124881,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,55.0,55.0,58.0,58.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,14.0,,,,,,,111111111,111111111,218.0,110.0,200.0,133.3,6.0,9.0,1.0,461.3
15,VRT,Electrical Equipment & Parts,1384.1,78.6,-8.0,-6.1,-5.3,2.1,29.9,65.1,281.7,874.6,1218.8,1384.1,1741.3,-60.9,1.2,1008.2,207.0,1480.7,12.0,12.0,12.0,12.0,0.0,0.0,15.0,15.0,-12,38.60827750175278,EARLY_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,001111111,---101111,176.1,150.0,166.7,133.3,4.0,6.0,1.0,459.4
16,BTC-USD,Cryptocurrency,1458.7,41.5,-2.0,-3.3,-18.0,-19.2,-25.9,-42.0,-32.2,-12.5,67.8,1458.7,3326.6,-9.6,1.3,5777.4,3145.8,1599.7,10.0,10.0,10.0,10.0,0.0,0.0,16.0,16.0,-10,265.0,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.0,16.0,,,,,,,000000011,111110111,129.1,150.0,177.8,177.8,8.0,9.0,1.0,456.9
17,DELL,Computer Hardware & Services,1014.6,84.0,-2.0,0.1,39.2,91.6,145.4,167.9,267.0,455.9,685.2,1014.6,1206.8,-23.7,1.7,333.4,70.8,1143.7,16.0,16.0,16.0,16.0,0.0,0.0,17.0,17.0,2,3.1979152669416067,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,16.0,16.0,16.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,17.0,,,,,,,111111111,-01111111,204.5,150.0,175.0,100.0,4.0,8.0,1.0,454.5
18,JBL,Electronic Manufacturing Services,651.0,91.7,-3.6,-1.0,3.5,14.2,30.9,44.1,108.6,218.7,390.8,651.0,662.0,-28.8,1.1,378.4,60.4,792.0,31.0,31.0,32.0,32.0,0.0,0.0,18.0,18.0,2,6.597337223299348,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,31.0,31.0,32.0,32.0,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,18.0,,,,,,,011111111,111111111,206.9,110.0,200.0,133.3,6.0,9.0,1.0,450.2
19,MU,Semiconductors,2464.0,92.8,-7.2,2.4,60.4,121.3,186.5,455.0,917.5,1186.5,1442.5,2464.0,2654.8,-25.2,1.4,547.9,40.0,2605.0,6.0,6.0,6.0,6.0,0.0,0.0,19.0,19.0,3,8.2,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,6.0,6.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,19.0,,,,,,,111111111,111100011,184.7,190.0,133.3,66.7,3.0,9.0,1.0,441.4
20,URI,Equipment Rental,379.8,98.1,1.7,6.8,16.8,25.8,29.5,24.4,38.1,85.4,200.2,379.8,387.6,-36.0,1.3,260.8,58.5,520.8,58.0,58.0,61.0,61.0,0.0,0.0,20.0,20.0,14,-2.4768569487956853,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,58.0,58.0,61.0,61.0,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,20.0,,,,,,,111111111,100111111,195.8,110.0,155.6,133.3,6.0,9.0,1.0,439.1
21,AMAT,Semiconductor Equipment & Materials,832.8,92.6,-7.4,4.2,50.4,57.3,84.9,149.7,201.7,267.9,429.7,832.8,900.9,-21.2,1.6,266.2,43.1,973.8,19.0,19.0,20.0,20.0,0.0,0.0,21.0,21.0,6,7.600000000000001,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,19.0,19.0,20.0,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,21.0,21.0,,,,,,,111111111,011111011,195.8,150.0,155.6,88.9,4.0,9.0,1.0,434.7
22,000660.KS,Memory,3218.1,91.2,-8.8,-0.7,61.8,114.0,191.3,477.4,1215.1,1753.8,2105.7,3218.1,3531.1,-22.7,1.2,760.5,54.3,3359.1,2.0,2.0,2.0,2.0,0.0,0.0,22.0,22.0,-1,13.099999999999994,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,22.0,,,,,,,011111111,101-00111,168.4,218.0,111.1,44.4,2.0,9.0,1.0,430.8
23,CAT,Construction Machinery,590.9,92.6,-7.4,3.8,15.0,20.8,38.0,75.0,145.9,225.7,339.8,590.9,637.4,-5.5,1.2,281.6,42.5,731.9,38.0,38.0,39.0,39.0,0.0,0.0,23.0,23.0,7,7.700000000000003,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,38.0,38.0,39.0,39.0,0.0,0.0,,0.0,0.0,0.0,0.0,23.0,23.0,,,,,,,111111111,110111111,206.9,110.0,177.8,111.1,5.0,9.0,1.0,428.0
24,SMH,Unknown,638.1,89.4,-10.6,-4.7,11.6,28.1,41.1,65.7,129.9,208.2,318.7,638.1,714.6,-5.3,1.2,343.0,62.6,779.1,33.0,33.0,35.0,35.0,0.0,0.0,24.0,24.0,-11,15.300000000000004,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,33.0,33.0,35.0,35.0,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,24.0,,,,,,,011111111,111111111,206.9,110.0,200.0,111.1,5.0,9.0,1.0,428.0
25,WSM,Specialty Retail,416.3,99.8,8.7,8.0,26.9,22.1,22.7,22.1,66.2,119.6,222.9,416.3,417.3,-40.6,1.2,298.3,62.7,557.3,54.0,54.0,57.0,57.0,0.0,0.0,25.0,25.0,7,-15.566957100531255,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,54.0,54.0,57.0,57.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,25.0,,,,,,,111111111,011111111,206.9,110.0,177.8,111.1,5.0,9.0,1.0,428.0
26,MPWR,Semiconductors,492.7,71.2,-19.0,-13.4,-14.6,-3.6,9.9,27.3,53.5,82.9,178.0,492.7,693.2,-5.3,1.3,480.2,126.5,633.7,47.0,47.0,47.0,47.0,0.0,0.0,26.0,26.0,-3,52.12408554639033,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,47.0,47.0,47.0,47.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,26.0,,,,,,,000111111,111111111,184.7,110.0,200.0,133.3,6.0,9.0,1.0,428.0
27,QUBT,Quantum Computing,803.5,10.1,-1.9,-12.1,-11.7,1.6,-5.8,-29.1,449.0,341.8,245.3,803.5,9187.6,-139.9,1.6,12212.3,7270.8,944.5,21.0,21.0,23.0,23.0,0.0,0.0,27.0,27.0,-9,2270.8,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,21.0,21.0,23.0,23.0,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,27.0,,,,,,,001001111,111000111,140.3,150.0,133.3,133.3,6.0,9.0,1.0,423.6
28,TT,Building Products,250.4,85.4,0.3,1.5,4.4,1.9,6.2,1.8,21.4,59.8,109.1,250.4,294.6,-7.0,1.2,264.8,69.9,391.4,74.0,74.0,78.0,78.0,0.0,0.0,28.0,28.0,7,-1.9158600771048242,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,74.0,74.0,78.0,78.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,28.0,,,,,,,111111111,111111111,218.0,70.0,200.0,133.3,6.0,9.0,1.0,421.3
29,STX,Data Storage,1785.0,80.9,-19.1,-13.3,12.1,60.0,114.6,256.9,726.1,906.3,1168.1,1785.0,2215.0,-36.7,1.2,627.2,51.0,1926.0,9.0,9.0,9.0,9.0,0.0,0.0,29.0,29.0,0,21.7,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,29.0,29.0,,,,,,,011111111,100101011,162.5,190.0,111.1,66.7,3.0,9.0,1.0,419.2
30,TSM,Semiconductors,599.0,90.6,-9.4,-3.8,5.3,8.9,20.1,41.4,137.8,201.0,293.5,599.0,662.0,-6.0,1.1,392.1,66.8,740.0,37.0,37.0,38.0,38.0,0.0,0.0,30.0,30.0,1,14.899999999999999,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,37.0,37.0,38.0,38.0,0.0,0.0,,0.0,0.0,0.0,0.0,30.0,30.0,,,,,,,011111111,111110111,195.8,110.0,177.8,111.1,5.0,9.0,1.0,416.9
31,SNDK,Data Storage Devices,2601.9,89.2,-10.8,-1.7,48.7,127.6,346.7,1825.4,,,,2601.9,2887.5,-4.5,1.5,604.4,36.0,2615.5,5.0,5.0,5.0,5.0,0.0,0.0,31.0,31.0,-3,10.600000000000001,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,31.0,31.0,,,,,,,01111---1,--------1,190.3,190.0,200.0,33.3,1.0,1.0,0.167,413.6
32,QBTS,Quantum Computing,755.5,42.8,-3.6,-5.2,-4.1,15.4,6.1,6.0,924.8,828.5,,755.5,1840.5,-110.7,1.5,1634.8,388.5,816.1,30.0,30.0,29.0,29.0,0.0,0.0,32.0,32.0,-7,56.096823380170406,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,30.0,30.0,29.0,29.0,0.0,0.0,,0.0,0.0,0.0,0.0,32.0,32.0,,,,,,,0011111-1,-----0111,162.0,150.0,150.0,100.0,3.0,4.0,0.667,412.0
33,RKLB,Aerospace & Defense,903.8,52.9,-15.6,-18.6,-10.5,3.2,18.5,51.7,785.5,941.4,,903.8,1719.1,-77.2,1.3,1157.0,220.1,965.4,20.0,20.0,19.0,19.0,0.0,0.0,33.0,33.0,-7,88.43063489495964,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,20.0,20.0,19.0,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,33.0,33.0,,,,,,,0011111-1,-----0111,162.0,150.0,150.0,100.0,3.0,4.0,0.667,412.0
34,APP,Software,825.5,54.1,1.3,4.2,-7.9,-0.1,-10.3,-10.2,400.0,833.4,,825.5,1542.2,-55.4,1.4,1691.1,542.3,882.5,27.0,27.0,21.0,21.0,0.0,0.0,34.0,34.0,10,-2.3701867335151974,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,27.0,27.0,21.0,21.0,0.0,0.0,,0.0,0.0,0.0,0.0,34.0,34.0,,,,,,,1000011-1,------111,161.0,150.0,200.0,100.0,3.0,3.0,0.5,411.0
35,^IRX,Government Bonds,2713.4,48.4,0.2,2.7,3.2,-1.8,-3.1,-12.9,-51.6,1703.6,3892.7,2713.4,5789.1,-166.0,1.2,6403.0,3800.0,2854.4,4.0,4.0,4.0,4.0,0.0,0.0,35.0,35.0,5,-67.14849995475379,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,4.0,4.0,4.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,35.0,35.0,,,,,,,110000111,110011100,129.2,190.0,111.1,88.9,4.0,9.0,1.0,408.1
36,ASML,Semi-Conductors,482.3,91.0,-9.0,-4.4,19.3,19.2,30.8,65.2,83.2,94.8,166.7,482.3,529.2,-5.8,1.6,247.6,46.2,623.3,50.0,50.0,51.0,51.0,0.0,0.0,36.0,36.0,1,9.600000000000001,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,50.0,50.0,51.0,51.0,0.0,0.0,,0.0,0.0,0.0,0.0,36.0,36.0,,,,,,,011111111,111110011,184.7,110.0,155.6,111.1,5.0,9.0,1.0,405.8
37,TER,Semiconductors,573.8,90.7,-9.3,2.4,23.7,26.6,62.5,163.5,228.6,230.3,272.0,573.8,623.0,-50.5,2.1,158.7,12.7,714.8,42.0,42.0,42.0,42.0,0.0,0.0,37.0,37.0,5,3.0,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,42.0,42.0,42.0,42.0,0.0,0.0,,0.0,0.0,0.0,0.0,37.0,37.0,,,,,,,111111111,111100011,184.7,110.0,133.3,111.1,5.0,9.0,1.0,405.8
38,TPL,Homebuilding,442.2,48.4,8.3,14.0,0.8,-12.5,3.2,4.3,18.5,33.0,126.5,442.2,919.6,-5.5,1.4,944.9,469.4,583.2,53.0,53.0,54.0,54.0,0.0,0.0,38.0,38.0,31,-149.18989725696736,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,53.0,53.0,54.0,54.0,0.0,0.0,,0.0,0.0,0.0,0.0,38.0,38.0,,,,,,,110111111,110111101,184.7,110.0,155.6,111.1,5.0,9.0,1.0,405.8
39,MRVL,Semiconductors,771.6,81.2,-16.8,-11.5,43.0,111.3,153.2,197.7,232.2,272.1,379.7,771.6,862.2,-14.2,2.4,166.0,38.2,912.6,23.0,23.0,25.0,25.0,0.0,0.0,39.0,39.0,-1,13.347460039458284,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,23.0,23.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,39.0,39.0,,,,,,,011111111,011110111,184.7,150.0,155.6,66.7,3.0,9.0,1.0,401.4
40,SOXX,Semiconductor,521.1,87.1,-12.9,-5.1,16.3,39.2,57.5,88.2,131.8,177.7,256.8,521.1,597.7,-6.2,1.3,219.1,39.2,662.1,46.0,46.0,46.0,46.0,0.0,0.0,40.0,40.0,1,11.300000000000004,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,46.0,46.0,46.0,46.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.0,40.0,,,,,,,011111111,111111011,195.8,110.0,177.8,88.9,4.0,9.0,1.0,394.7
41,TRGP,Oil & Gas Midstream,537.6,98.0,7.2,8.0,7.6,6.2,21.0,37.6,85.0,182.3,479.8,537.6,551.7,-93.5,1.2,356.2,71.4,678.6,44.0,44.0,44.0,44.0,0.0,0.0,41.0,41.0,18,-12.511217802429698,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,44.0,44.0,44.0,44.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0,41.0,,,,,,,111111111,000011111,173.6,110.0,111.1,111.1,5.0,9.0,1.0,394.7
42,APH,Electronic Components,374.0,91.6,1.6,2.4,15.0,13.3,12.4,23.5,107.4,171.5,244.0,374.0,384.6,-16.3,1.2,243.2,34.8,515.0,60.0,60.0,62.0,62.0,0.0,0.0,42.0,42.0,3,-1.4106898552875435,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,60.0,60.0,62.0,62.0,0.0,0.0,,0.0,0.0,0.0,0.0,42.0,42.0,,,,,,,111111111,11-111111,217.0,110.0,177.8,66.7,3.0,9.0,1.0,393.7
43,HOOD,Capital Markets,406.1,51.7,-5.4,-6.2,22.7,24.7,6.5,-4.5,290.3,,,406.1,820.7,-60.3,1.4,830.6,237.9,461.3,65.0,65.0,59.0,59.0,0.0,0.0,43.0,43.0,-7,35.29614139533561,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,65.0,65.0,59.0,59.0,0.0,0.0,,0.0,0.0,0.0,0.0,43.0,43.0,,,,,,,011101--1,------111,181.4,110.0,200.0,100.0,3.0,3.0,0.5,391.4
44,CIEN,Communications Equipment,988.0,74.1,9.7,14.6,-11.7,3.0,46.6,188.4,546.7,613.0,670.6,988.0,1355.9,-63.2,1.3,497.4,31.9,1129.0,17.0,17.0,17.0,17.0,0.0,0.0,44.0,44.0,10,-5.980340400053947,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,17.0,17.0,17.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,44.0,44.0,,,,,,,101111111,111100011,173.60000000000002,150.0,133.3,66.7,3.0,9.0,1.0,390.3
45,TSLA,Automobile Manufacturers,718.7,48.5,-2.9,-2.6,-4.4,-8.1,-13.0,-10.9,4.0,-9.2,212.8,718.7,1535.1,-50.2,1.2,1589.3,676.5,859.7,28.0,28.0,30.0,30.0,0.0,0.0,45.0,45.0,1,73.03405168558857,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,28.0,28.0,30.0,30.0,0.0,0.0,,0.0,0.0,0.0,0.0,45.0,45.0,,,,,,,000001011,111110011,129.1,150.0,155.6,111.1,5.0,9.0,1.0,390.2
46,CDNS,Electronic Design Automation Software,295.3,80.7,-2.1,-0.0,2.2,11.7,13.8,7.0,-2.9,14.5,60.8,295.3,367.1,-3.4,1.2,311.4,97.1,436.3,67.0,67.0,69.0,69.0,0.0,0.0,46.0,46.0,-13,5.085712829467212,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,67.0,67.0,69.0,69.0,0.0,0.0,,0.0,0.0,0.0,0.0,46.0,46.0,,,,,,,011110111,111111110,184.7,70.0,177.8,133.3,6.0,9.0,1.0,388.0
