Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,TSLA,Consumer Cyclical,2057.1,69.4,2.6,9.9,0.5,8.0,11.4,20.4,18.1,7.5,385.1,859.7,2987.2,-52.2,1.4,2188.4,688.7,2270.6,7.0,7.0,7.0,13.0,-10,-0.6
2,BTC-USD,Unknown,34483.1,88.8,-2.6,-7.7,-6.2,5.5,21.3,73.1,156.6,186.5,541.7,6754.9,38838.2,-41.3,1.1,30203.4,5519.0,34697.9,2.0,2.0,2.0,4.0,8,10.8
3,AVGO,Technology,2626.1,93.4,-4.1,-0.4,7.9,27.6,41.5,88.3,171.3,285.8,449.7,789.7,2811.9,-1.1,1.1,1548.3,212.7,2839.7,6.0,6.0,9.0,33.0,-5,12.4
4,AMD,Technology,5804.8,75.9,-6.2,-5.5,18.8,34.9,19.5,4.1,15.1,13.6,95.9,1212.9,7665.7,-40.0,1.3,6568.4,1781.3,6018.4,4.0,4.0,6.0,10.0,15,21.8
5,PANW,Technology,598.4,82.5,5.5,-3.3,-7.8,-9.0,-8.5,-4.9,10.5,57.7,125.4,238.4,730.8,-27.0,1.2,684.7,141.2,812.0,15.0,15.0,17.0,41.0,7,32.8
6,DOGE-USD,Unknown,14622.7,30.4,0.2,-5.6,2.6,3.2,13.7,51.6,69.2,669.9,2715.0,3056.0,48230.5,-26.6,1.8,45980.7,20487.6,14772.8,3.0,3.0,1.0,2.0,35,37.2
7,LLY,Healthcare,173.7,48.8,0.4,-10.7,-11.9,-21.4,-24.7,-25.1,-3.5,69.9,151.7,306.4,372.0,-15.2,1.2,553.7,226.9,212.5,31.0,30.0,21.0,31.0,10,38.8
8,COST,Consumer Defensive,263.8,86.1,-1.9,-2.0,-11.2,-13.8,-10.0,0.6,10.2,32.9,64.8,146.6,307.4,-7.0,1.1,278.3,62.1,302.6,25.0,22.0,26.0,58.0,4,41.8
9,AAPL,Technology,517.6,79.7,-2.0,7.1,5.8,-4.8,-8.1,-9.3,-10.8,-5.1,48.1,175.3,654.2,-18.0,1.1,616.9,165.5,731.1,16.0,16.0,18.0,39.0,17,42.6
10,GOOG,Communication Services,485.8,97.2,3.8,6.8,11.7,12.8,10.4,9.7,20.3,24.2,52.4,123.0,500.0,-4.8,1.2,377.3,69.5,699.3,17.0,17.0,24.0,57.0,10,44.4
11,SOL-USD,Unknown,2881.3,35.1,2.1,5.5,9.7,19.4,7.3,114.9,313.7,1073.8,0.0,0.0,8255.5,-24.9,1.2,9343.2,4641.1,2881.3,5.0,5.0,5.0,5.0,40,45.0
12,ETN,Industrials,170.3,83.2,-0.5,-10.9,-5.3,2.5,-1.8,-1.0,17.4,48.5,91.2,136.9,209.2,-22.7,1.1,205.6,51.8,209.1,33.0,32.0,38.0,63.0,4,49.8
13,AMZN,Consumer Cyclical,1164.1,91.3,-1.8,0.2,1.5,1.9,3.0,6.7,21.9,8.1,11.5,131.8,1275.5,-4.5,1.1,1039.0,199.9,1377.6,8.0,9.0,11.0,36.0,30,50.0
14,ENPH,Technology,773.2,9.8,0.9,2.4,-5.0,-25.9,-46.3,-72.4,-95.2,-110.2,-46.4,489.8,8516.8,-72.8,1.4,23755.6,37211.1,812.1,14.0,12.0,3.0,1.0,45,51.2
15,MSFT,Technology,764.9,91.5,-3.1,-4.9,-1.8,7.3,7.7,3.5,11.7,20.6,59.4,227.8,837.6,-14.2,1.1,687.8,141.3,978.4,12.0,13.0,16.0,40.0,28,52.2
16,CAT,Industrials,138.3,79.9,2.6,-0.2,9.4,14.7,9.9,10.9,20.4,38.5,58.9,100.7,179.0,-23.0,1.2,167.3,46.4,177.1,35.0,34.0,45.0,64.0,5,53.4
17,META,Communication Services,646.7,93.9,-2.3,0.9,2.5,6.2,13.2,39.3,125.0,121.9,143.7,210.2,693.4,-69.7,1.1,440.4,54.0,860.2,13.0,14.0,22.0,61.0,20,54.2
18,NVDA,Technology,35416.2,98.2,-1.2,1.4,14.9,30.2,31.2,94.6,312.6,536.0,1325.9,5926.3,36081.9,-6.4,1.1,21826.3,2687.7,35629.8,1.0,1.0,4.0,9.0,50,54.8
19,MSTR,Technology,1289.9,63.9,-0.4,-12.3,-12.0,0.5,34.7,243.7,575.3,695.0,1183.5,1423.1,2045.2,-44.8,1.4,1368.4,215.9,1328.7,9.0,8.0,10.0,32.0,38,56.2
