Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,TSLA,Consumer Cyclical,1124.8,67.8,0.3,-0.7,25.0,29.0,31.1,58.4,60.2,43.9,504.7,1177.1,1682.4,-49.4,1.3,1310.2,431.8,1228.8,5.0,5.0,14.0,21.0,5,18.2
2,BTC-USD,Unknown,4591.4,75.4,-5.7,-12.2,-13.1,-13.7,-7.1,24.8,100.5,120.6,437.5,6092.0,6095.2,-13.0,1.1,6738.5,1794.3,4690.9,2.0,2.0,6.0,12.0,14,20.8
3,AVGO,Technology,249.9,100.0,15.6,12.5,18.3,37.8,62.3,120.1,222.4,375.4,588.5,1055.0,249.9,-6.9,1.2,145.3,20.6,354.0,19.0,21.0,32.0,51.0,-10,24.8
4,ANET,Technology,363.9,82.8,4.0,5.7,16.5,40.8,41.0,71.7,133.4,296.0,458.6,1089.3,443.4,-19.1,1.2,366.8,81.0,467.9,14.0,15.0,19.0,40.0,0,25.6
5,NVDA,Technology,1061.9,93.8,9.2,8.7,10.3,31.5,36.8,99.6,307.7,590.5,1504.2,6773.8,1132.5,-11.7,1.2,873.9,143.5,1165.9,6.0,6.0,16.0,31.0,10,28.0
6,AAPL,Technology,191.1,68.8,1.1,1.9,11.9,10.1,3.8,3.5,2.4,9.7,69.7,226.6,285.1,-16.5,1.2,287.6,105.5,295.2,23.0,23.0,22.0,37.0,0,28.4
7,SMCI,Technology,542.7,34.8,-1.2,5.8,-2.7,12.0,28.0,5.8,103.6,573.2,1094.7,1332.4,1712.8,-81.9,1.7,1945.6,868.8,646.8,10.0,10.0,11.0,15.0,23,35.2
8,TRX-USD,Unknown,398.9,5.6,-0.2,-10.0,-15.5,-11.6,0.7,49.2,115.0,198.8,493.9,742.1,7353.9,-12.6,1.2,8263.9,5852.0,477.4,13.0,14.0,5.0,6.0,31,39.8
9,AMD,Technology,564.6,80.2,8.9,57.8,49.2,91.6,89.9,69.3,92.9,97.7,234.6,2027.5,711.6,-31.7,1.4,446.1,140.6,668.6,9.0,9.0,18.0,32.0,20,40.0
10,LLY,Healthcare,110.9,51.2,1.3,3.0,-2.0,-9.1,-12.7,-18.0,2.7,82.9,177.1,366.8,248.5,-33.6,1.3,315.1,128.6,214.9,31.0,33.0,21.0,33.0,12,42.2
11,DOGE-USD,Unknown,3048.9,27.3,-3.8,-24.3,-26.0,-23.2,-34.3,-8.7,8.1,225.7,1920.5,2242.7,11273.4,-39.5,1.7,17037.1,9427.9,3127.4,3.0,3.0,2.0,3.0,47,49.8
12,XRP-USD,Unknown,782.4,40.2,-5.1,-19.2,-23.9,-18.9,6.2,126.5,187.3,213.0,319.6,306.2,2033.0,-57.1,1.6,2255.9,756.8,860.9,8.0,8.0,10.0,17.0,41,53.0
13,AVAV,Industrials,209.4,84.4,-1.1,13.9,32.5,69.8,86.3,105.4,151.5,197.5,241.6,472.3,255.5,-39.9,1.4,97.4,20.0,313.5,21.0,22.0,34.0,53.0,20,56.6
14,CAT,Industrials,81.9,100.0,22.8,20.2,27.2,43.5,41.8,48.0,57.7,86.7,124.3,192.2,81.9,-31.4,1.4,38.0,8.0,185.9,36.0,38.0,44.0,59.0,10,57.2
15,BNB-USD,Unknown,2126.1,66.7,-2.5,-16.3,-0.6,14.5,23.0,60.2,98.5,259.0,1959.4,3483.7,3196.5,-19.9,1.2,2341.7,774.1,2204.6,4.0,4.0,9.0,16.0,48,57.8
16,PANW,Technology,69.5,58.5,-2.1,2.6,5.7,1.1,1.8,5.2,24.0,74.8,159.8,299.3,155.5,-51.8,1.3,149.3,52.4,173.5,38.0,39.0,31.0,43.0,20,58.8
17,LRCX,Technology,133.3,92.8,4.3,14.1,44.4,64.9,77.9,69.1,92.5,110.4,224.5,569.7,144.8,-15.5,1.7,67.2,16.8,237.4,28.0,30.0,39.0,54.0,20,61.0
18,ENPH,Technology,167.7,5.7,-1.5,-15.5,-17.1,-33.3,-52.2,-79.9,-103.0,-121.3,-86.7,351.2,4326.2,-81.4,1.6,16065.6,30640.8,271.8,24.0,27.0,3.0,2.0,50,61.6
19,UNI-USD,Unknown,7188.4,2.4,0.0,2.4,-2.6,6.4,11.9,-9.9,-6.9,-30.5,-42.6,-42.6,306013.3,-131.8,1.5,404262.2,427721.5,7223.5,1.0,1.0,1.0,1.0,64,65.0
20,COST,Consumer Defensive,104.4,61.7,-6.5,-4.0,-9.7,-19.9,-19.9,-14.9,-5.8,12.7,39.2,114.6,179.3,-16.2,1.1,205.4,59.0,208.4,33.0,34.0,24.0,42.0,30,65.0
21,KLAC,Technology,93.3,95.7,16.0,10.5,26.0,38.1,51.5,53.8,82.6,139.1,296.0,640.5,98.3,-19.0,1.5,48.6,9.7,197.4,34.0,36.0,41.0,57.0,20,65.0
22,SOL-USD,Unknown,895.2,31.0,-6.8,-24.3,-21.7,-16.5,-20.5,-4.1,203.6,674.1,0.0,0.0,2954.5,-28.5,1.4,4973.7,3131.2,895.2,7.0,7.0,7.0,10.0,57,65.2
23,MSTR,Technology,477.8,42.3,-1.2,-18.0,-29.4,-36.4,-26.9,93.2,350.8,443.8,839.8,1036.6,1219.5,-65.2,1.4,1200.8,243.0,581.8,11.0,12.0,15.0,25.0,54,71.6
24,LINK-USD,Unknown,498.5,12.5,-2.3,-23.7,-27.1,-17.5,-20.3,-25.1,-2.0,-24.2,318.2,814.2,4323.2,-45.8,1.6,8659.1,8398.9,577.0,12.0,11.0,4.0,4.0,65,72.0
25,ASML,Technology,-8.9,23.1,-1.7,4.9,31.1,29.7,32.2,12.1,10.4,12.1,72.9,247.4,139.2,-53.5,2.3,0.0,102.7,95.2,54.0,61.0,84.5,38.0,20,75.1
26,TMDX,Healthcare,158.6,72.5,10.0,15.2,13.0,9.6,33.5,31.9,30.0,177.1,246.4,246.4,247.2,-74.5,1.4,167.3,36.0,237.8,27.0,28.0,28.0,47.0,40,75.4
27,GS,Financial Services,41.7,89.7,7.5,-2.0,1.3,9.1,15.2,38.1,46.8,62.1,90.4,90.9,51.8,-46.0,1.1,26.9,3.0,145.7,42.0,43.0,46.0,64.0,25,76.8
28,ETN,Industrials,27.2,50.2,2.3,0.2,-3.5,1.6,1.7,3.2,19.4,54.0,103.7,158.0,76.1,-22.0,1.4,79.7,28.2,131.2,45.0,46.0,38.0,50.0,33,78.8
29,AMAT,Technology,22.9,43.2,2.4,6.4,20.8,26.0,22.8,8.5,16.9,28.0,96.5,244.4,103.0,-38.0,2.0,22.2,20.1,127.0,46.0,47.0,48.0,52.0,30,79.0
30,NFLX,Communication Services,83.4,45.5,-16.2,-9.7,-13.7,-20.5,-4.5,28.1,68.5,87.3,85.8,263.3,220.7,-31.1,1.5,194.1,46.9,187.5,35.0,37.0,26.0,44.0,44,81.2
