Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return
1,AVGO,Technology,856.2,73.0,-6.4,-8.8,-10.5,1.8,14.2,90.3,282.0,334.3,592.9,856.2,1178.5,-16.4,1.1,833.5,152.2,982.6,9.0,10.0,14.0,22.0,8,23.4,9,115.6
2,BTC-USD,Unknown,2898.9,69.3,-4.6,2.6,-21.1,-33.6,-28.4,54.9,132.0,1.5,691.6,2898.9,4187.1,-9.6,1.2,4845.1,1366.9,3025.3,4.0,4.0,7.0,8.0,19,25.2,-1,426.9000000000001
3,LLY,Healthcare,530.9,92.2,3.9,-1.1,25.5,21.7,19.7,11.6,86.4,178.8,311.2,530.9,578.0,-22.4,1.2,479.9,99.3,657.3,17.0,17.0,17.0,26.0,5,25.6,1,42.199999999999996
4,NVDA,Technology,3421.1,87.9,0.3,-1.3,-1.0,-1.7,7.0,123.1,551.4,612.6,1886.5,3421.1,3894.4,-12.9,1.1,3085.9,499.2,3547.5,2.0,2.0,8.0,11.0,21,27.8,5,348.6
5,KLAC,Technology,749.7,95.7,-4.3,18.6,26.4,55.7,75.5,76.9,124.6,168.4,699.2,749.7,784.3,-14.1,1.2,395.0,69.0,876.1,11.0,12.0,19.0,32.0,10,31.2,23,62.0
6,LRCX,Technology,741.5,94.0,-4.4,23.8,43.2,109.4,141.0,94.9,199.3,103.5,633.0,741.5,789.1,-7.8,1.4,291.4,53.8,867.9,12.0,13.0,22.0,35.0,10,33.4,25,42.699999999999996
7,AMD,Technology,1115.7,95.5,13.8,20.2,6.5,50.0,84.5,-3.6,96.9,8.0,299.2,1115.7,1169.4,-27.8,1.4,710.8,155.9,1242.1,6.0,6.0,15.0,21.0,23,36.8,9,7.0
8,BNB-USD,Unknown,3381.2,55.9,-3.7,5.8,-23.9,2.5,8.1,101.0,34.6,707.0,2912.0,3381.2,6063.7,-16.1,1.3,5378.0,1890.4,3489.2,3.0,3.0,6.0,7.0,33,38.2,3,1124.3000000000002
9,COST,Consumer Defensive,131.3,65.4,4.7,14.6,1.2,-5.3,-11.1,-7.1,11.7,45.4,84.8,131.3,209.8,-17.1,1.2,230.1,67.6,257.8,34.0,34.0,27.0,33.0,9,41.2,3,18.999999999999993
10,TPL,Energy,368.8,42.1,3.2,16.2,7.5,1.3,-40.0,49.1,-34.1,94.7,61.8,368.8,883.2,-5.5,1.4,959.0,397.9,495.2,18.0,18.0,12.0,15.0,26,41.6,-7,-174.89999999999998
11,APH,Technology,331.6,96.0,-4.0,9.6,8.0,38.1,71.1,139.8,166.5,191.2,280.8,331.6,346.2,-15.4,1.1,135.9,14.1,458.0,21.0,21.0,33.0,49.0,10,44.6,16,11.899999999999999
12,TRX-USD,Unknown,863.5,8.5,-0.8,5.2,-8.4,-15.2,-1.7,90.1,176.5,322.9,104.7,863.5,10255.8,-8.6,1.3,9748.3,5834.6,971.5,10.0,9.0,4.0,6.0,39,46.0,-6,264.8000000000002
13,TSLA,Consumer Cyclical,960.1,63.5,1.8,-7.9,-3.8,22.6,-9.1,46.6,77.2,-61.4,895.6,960.1,1541.1,-49.7,1.4,1050.4,352.9,1086.5,8.0,8.0,11.0,16.0,36,47.8,-11,-61.200000000000045
14,GOOG,Communication Services,220.0,95.7,-2.2,3.7,25.5,59.2,45.9,63.1,114.2,94.7,172.9,220.0,230.4,-10.7,1.4,83.9,12.7,346.4,24.0,24.0,41.0,51.0,10,48.2,37,9.6
15,AMAT,Technology,346.8,98.0,-2.0,23.3,37.1,60.4,50.3,36.9,73.9,51.7,345.3,346.8,354.2,-19.3,1.6,174.8,36.4,473.2,20.0,20.0,29.0,40.0,20,49.8,44,35.4
16,GOOGL,Communication Services,215.6,95.6,-2.3,3.9,25.7,60.1,47.0,65.3,118.3,96.3,173.3,215.6,226.0,-11.2,1.4,79.4,11.7,342.0,25.0,25.0,44.0,53.0,10,50.0,59,14.399999999999999
17,AAPL,Technology,162.8,71.6,-6.0,-9.2,-7.7,5.4,-5.2,-21.4,-14.5,-34.8,138.9,162.8,232.7,-13.1,1.2,241.5,81.6,289.2,29.0,29.0,26.0,28.0,22,50.0,8,-51.30000000000001
18,MSFT,Technology,131.7,64.1,3.6,-4.6,-13.5,-17.3,-10.9,-29.6,0.7,-11.6,32.0,131.7,212.1,-12.0,1.2,255.8,91.1,258.1,33.0,33.0,23.5,27.0,32,60.7,79,19.099999999999994
19,MU,Technology,741.3,100.0,3.4,43.9,87.8,243.5,247.9,267.5,379.5,196.0,453.6,741.3,741.3,-25.2,1.8,135.3,15.1,867.7,13.0,14.0,34.0,48.0,30,61.4,31,14.6
20,DOGE-USD,Unknown,1518.4,7.3,-0.8,-3.3,-38.7,-57.5,-77.0,-8.5,-66.4,417.0,2807.8,1518.4,21534.3,-49.3,1.7,41770.4,31900.6,1626.4,5.0,5.0,2.0,1.0,60,62.8,-7,18536.8
21,CAT,Industrials,232.2,93.9,-6.1,7.4,16.8,35.5,37.2,62.3,56.9,108.2,139.3,232.2,248.2,-15.4,1.3,111.8,18.9,358.6,23.0,23.0,37.0,44.0,30,64.2,11,11.499999999999998
22,XRP-USD,Unknown,211.4,22.3,-2.2,2.7,-22.5,-49.1,-52.4,195.3,226.3,346.1,417.0,211.4,1208.5,-74.9,1.4,1452.0,433.4,319.4,27.0,26.0,9.0,13.0,49,66.6,-14,-631.1
23,TJX,Consumer Cyclical,58.4,89.4,-4.1,-2.0,4.7,11.8,10.4,15.0,14.5,41.9,30.2,58.4,69.9,-38.7,1.2,42.6,7.5,184.8,47.0,50.0,52.0,59.0,15,68.4,62,23.8
24,KTOS,Industrials,626.6,81.6,-18.4,33.5,19.5,73.7,187.4,406.1,721.1,129.6,237.3,626.6,782.8,-64.2,1.9,162.1,3.3,753.0,15.0,15.0,31.0,66.0,30,68.6,55,15.3
25,ABBV,Healthcare,53.0,67.9,5.3,-3.6,-6.2,6.7,15.8,-8.3,-18.9,23.4,16.9,53.0,91.7,-28.7,1.2,74.5,26.2,179.5,49.0,52.0,46.0,42.0,24,70.2,-4,-14.000000000000004
26,ISRG,Healthcare,73.7,47.1,-5.0,-9.5,-8.1,-5.4,-28.1,-8.7,12.5,-2.4,-34.0,73.7,167.1,-9.4,1.3,210.3,75.4,200.1,43.0,46.0,28.0,31.0,37,72.8,80,67.4
27,TER,Technology,207.7,89.2,1.4,15.0,53.7,132.0,56.6,52.6,30.9,-34.2,191.6,207.7,238.3,-44.0,2.1,52.3,15.9,334.1,26.0,27.0,49.0,46.0,35,73.8,2,-6.200000000000001
28,META,Communication Services,91.6,68.0,7.2,-1.2,-13.2,-17.1,-11.8,18.0,229.2,38.9,113.9,91.6,177.2,-90.2,1.1,159.4,26.0,218.1,40.0,42.0,32.0,43.0,34,74.0,41,15.6
29,FCX,Basic Materials,127.4,68.2,1.3,16.0,42.7,24.7,40.9,10.9,-40.6,-0.7,146.2,127.4,212.8,-55.7,1.5,99.0,48.2,253.9,35.0,35.0,38.0,37.0,38,74.4,7,0.9000000000000057
30,NOW,Technology,71.5,26.2,1.4,-14.0,-31.9,-39.3,-54.1,-55.9,-36.5,-68.9,-33.6,71.5,359.4,-30.6,1.3,852.9,494.0,197.9,45.0,48.0,13.0,12.0,50,76.0,147,716.4
31,MS,Financial Services,146.2,87.2,-12.8,-0.6,9.5,16.7,16.2,61.5,14.0,54.2,136.5,146.2,170.7,-21.1,1.4,82.0,13.6,272.7,32.0,32.0,43.0,50.0,35,76.4,18,9.3
32,GS,Financial Services,162.0,89.7,-10.3,1.5,19.2,18.4,28.3,90.3,83.7,121.1,195.8,162.0,185.0,-38.9,1.2,71.7,6.2,288.4,30.0,30.0,47.0,63.0,30,76.6,5,2.3000000000000003
33,ETH-USD,Unknown,328.6,27.7,-4.4,-0.2,-25.9,-28.7,-27.0,-26.2,-30.8,-44.7,1610.9,328.6,1382.8,-75.2,1.4,1425.3,966.5,436.6,22.0,22.0,10.0,9.0,65,79.4,11,269.0
34,AMZN,Consumer Cyclical,49.9,41.6,1.2,2.8,4.9,-4.9,-13.1,3.7,50.8,-43.3,-37.0,49.9,155.9,-25.6,1.2,119.8,42.4,176.3,50.0,53.0,36.0,39.0,36,79.4,114,161.9
35,WMT,Consumer Defensive,103.8,95.2,-2.5,5.8,7.0,13.1,10.0,63.7,60.7,45.9,52.7,103.8,110.4,-25.9,1.3,60.4,6.1,230.2,38.0,38.0,48.0,64.0,30,80.4,5,2.8999999999999995
36,SOL-USD,Unknown,16113.1,48.2,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33449.6,-39.9,1.3,45684.1,19615.0,16263.4,1.0,1.0,1.0,2.0,80,81.4,-18,15768.6
37,BAESY,Industrials,147.9,87.1,1.4,18.7,7.0,-0.6,61.5,37.2,73.3,228.9,198.4,147.9,180.1,-69.6,1.2,94.9,15.2,274.3,31.0,31.0,40.0,47.0,43,82.2,8,8.1
38,LINK-USD,Unknown,605.0,8.7,-1.3,-1.2,-32.6,-42.7,-65.7,-66.1,-41.3,-132.1,300.6,605.0,7469.1,-48.7,1.5,11493.8,9954.7,713.0,16.0,16.0,3.0,3.0,75,83.2,-16,924.6000000000004
39,ORCL,Technology,72.1,25.7,-5.4,-9.3,-39.2,-35.5,-19.1,9.5,14.1,76.4,60.4,72.1,346.8,-22.7,1.4,444.6,170.8,198.5,44.0,47.0,18.0,20.0,54,83.8,52,139.4
40,LIN,Basic Materials,9.3,27.0,6.3,6.0,-2.2,-12.4,-10.7,-31.0,-35.8,-12.6,-11.7,9.3,90.0,-20.6,1.5,167.5,147.9,135.7,58.0,61.0,30.0,23.0,45,84.0,37,-6.799999999999983
41,AXP,Financial Services,98.5,84.9,3.2,-5.4,-1.2,7.4,-3.6,42.8,47.5,81.8,54.3,98.5,120.9,-27.9,1.1,82.9,12.2,224.9,39.0,40.0,42.0,52.0,41,86.0,32,8.899999999999999
42,NFLX,Communication Services,79.9,42.5,-1.6,-8.1,-25.5,-35.9,-27.5,19.7,43.2,-34.4,-50.2,79.9,289.4,-74.9,1.3,337.7,79.1,206.3,41.0,43.0,20.0,29.0,54,86.4,46,0.3999999999999915
43,CBRE,Real Estate,75.3,89.6,-1.6,3.0,-0.1,6.8,4.1,42.1,13.6,40.3,50.0,75.3,87.5,-30.1,1.4,45.0,5.2,201.7,42.0,45.0,51.0,65.0,33,86.6,-19,-0.7999999999999998
44,LDOS,Technology,40.9,59.8,-1.5,2.4,-2.9,7.2,13.9,25.5,20.9,-11.0,31.6,40.9,92.8,-36.2,1.3,49.8,8.9,167.4,51.0,54.0,50.0,56.0,38,91.4,10,-29.9
45,RKLB,Industrials,1017.4,91.7,-7.0,13.9,32.1,57.7,127.5,1376.3,1695.8,992.1,1017.4,1017.4,1116.1,-74.6,1.7,255.8,6.4,1095.7,7.0,7.0,23.5,61.5,60,92.1,-6,0.7000000000000002
46,WELL,Real Estate,55.0,72.6,-3.9,-2.0,1.5,4.5,24.1,62.5,75.3,121.8,35.5,55.0,96.6,-55.5,1.3,30.1,-4.4,181.4,48.0,51.0,54.0,68.0,35,92.8,0,-3.4000000000000004
47,JPM,Financial Services,67.6,73.4,-7.8,-8.4,-1.7,-8.4,-1.6,30.4,40.8,43.7,32.8,67.6,102.9,-29.9,1.1,74.8,9.8,194.0,46.0,49.0,45.0,54.0,44,93.6,56,32.5
48,PLTR,Technology,772.2,77.4,-3.7,-13.5,-11.8,-7.2,69.4,579.0,1559.6,184.0,772.2,772.2,1019.0,-70.9,1.4,547.8,46.4,860.7,14.0,11.0,16.0,38.0,71,94.4,13,36.3
49,GE,Industrials,182.8,85.9,-10.8,-7.1,-7.3,1.3,28.1,117.6,237.3,325.9,671.3,182.8,228.7,-97.4,1.1,131.1,9.1,309.2,28.0,28.0,35.0,55.0,58,98.2,9,11.5
50,IBM,Technology,25.1,78.6,-2.8,-3.9,0.1,-4.4,16.6,29.2,46.8,120.0,65.1,25.1,53.7,-80.0,1.2,9.6,-5.9,151.5,54.0,56.0,55.0,71.0,48,109.4,18,0.6999999999999993
51,CEG,Utilities,103.5,46.0,-18.8,-20.7,-26.6,-27.9,-43.0,10.8,-6.3,103.5,103.5,103.5,234.0,-7.5,1.3,318.5,107.1,157.3,53.0,39.0,21.0,25.0,77,109.6,13,-91.9
52,ADA-USD,Unknown,11.8,2.8,-0.6,-0.3,-46.0,-64.3,-75.2,-70.7,-88.2,-103.7,539.9,11.8,3091.9,-77.4,1.6,8999.0,7378.3,119.7,67.0,58.0,5.0,5.0,85,113.0,-22,2133.3
