Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,NVDA,Technology,675.5,74.4,-0.3,6.3,19.5,30.7,31.3,91.3,300.9,521.0,1284.2,5725.3,928.1,-59.4,1.2,784.8,160.4,769.6,5.0,5.0,7.0,16.0,20,29.8
2,AMD,Technology,297.9,47.1,2.5,12.7,34.0,43.7,30.6,13.8,26.9,26.5,117.5,1292.0,678.0,-40.3,1.3,779.4,422.1,392.0,10.0,10.0,8.0,11.0,20,30.0
3,MSFT,Technology,67.1,37.7,-0.6,0.5,6.6,11.6,10.8,7.3,16.1,25.4,67.7,238.6,196.5,-11.1,1.2,186.6,117.0,166.7,21.5,24.5,16.5,22.5,10,31.5
4,MSFT,Technology,67.1,37.7,-0.6,0.5,6.6,11.6,10.8,7.3,16.1,25.4,67.7,238.6,196.5,-11.1,1.2,186.6,117.0,166.7,21.5,24.5,16.5,22.5,10,31.5
5,BTC-USD,Unknown,675.2,91.5,-1.9,0.5,2.9,10.1,28.8,81.4,168.1,201.8,565.9,6963.7,744.1,-65.1,1.2,633.6,124.6,769.3,6.0,6.0,9.0,20.0,20,32.2
6,LLY,Healthcare,112.4,44.9,-7.5,-1.2,-5.1,-10.1,-13.9,-12.3,10.7,90.1,180.9,350.4,292.9,-34.8,1.2,446.2,180.0,206.5,18.0,19.0,11.0,15.0,17,32.6
7,DOGE-USD,Unknown,5924.3,40.9,-1.2,10.8,7.8,-0.9,12.2,47.5,66.1,643.6,2626.1,2969.9,14539.2,-31.9,1.6,10683.6,3910.4,5989.1,1.0,1.0,2.0,5.0,33,35.8
8,TSLA,Consumer Cyclical,2278.2,80.3,-4.5,-0.0,-5.0,-6.2,-0.9,6.1,3.1,-5.8,321.5,731.2,2855.0,-70.7,1.2,2107.0,486.0,2372.4,3.0,3.0,4.0,10.0,34,40.0
9,XRP-USD,Unknown,537.1,58.8,-3.0,9.0,15.2,15.2,130.5,243.7,329.6,360.4,477.7,463.1,954.0,-58.7,2.0,551.3,120.1,599.4,8.0,8.0,10.0,21.0,30,43.6
10,MSTR,Technology,1388.0,63.9,-2.4,-1.2,-6.0,3.7,39.6,246.4,596.0,728.2,1223.7,1469.4,2203.5,-57.2,1.4,1370.5,195.3,1482.1,4.0,4.0,5.0,13.0,38,45.8
11,COST,Consumer Defensive,178.4,83.3,1.9,-2.0,-8.7,-10.0,-6.2,4.3,14.2,37.2,69.6,151.9,218.7,-21.9,1.1,184.2,39.5,272.5,14.0,16.0,18.0,32.0,24,46.4
12,ETH-USD,Unknown,535.2,32.0,-1.6,12.8,34.8,38.8,25.6,20.2,33.7,75.9,529.9,517.3,1813.8,-67.4,1.3,1354.0,876.2,597.6,9.0,9.0,6.0,7.0,40,47.6
13,ETN,Industrials,108.2,93.3,-3.1,3.4,9.1,15.8,12.5,15.3,37.0,72.8,122.1,177.7,118.2,-30.1,1.2,90.2,17.8,202.3,19.0,21.5,24.0,37.0,20,47.7
14,AVGO,Technology,94.4,86.9,-2.4,4.2,13.6,27.2,43.1,87.5,170.1,282.8,443.0,777.4,116.0,-48.3,1.2,48.7,5.0,188.6,20.0,23.0,28.0,42.0,20,51.0
15,ENPH,Technology,591.5,7.3,-0.3,-11.9,-23.2,-36.3,-53.7,-76.6,-97.1,-110.9,-62.4,374.3,8405.4,-25.3,1.4,32059.4,52231.0,685.7,7.0,7.0,1.0,1.0,50,53.4
16,SOL-USD,Unknown,2620.3,31.9,-4.1,-1.3,-1.6,-2.1,-7.0,79.7,248.1,970.6,0.0,0.0,8255.5,-24.9,1.2,10383.2,5171.2,2620.3,2.0,2.0,3.0,3.0,54,56.6
17,NFLX,Communication Services,66.5,83.2,2.0,-5.5,-7.5,1.5,22.2,59.0,113.5,114.7,117.3,313.4,89.8,-48.7,1.6,30.9,-0.6,160.6,24.0,26.0,33.0,47.0,28,63.4
18,VST,Utilities,250.3,81.0,3.1,5.8,17.7,30.1,55.3,192.0,364.4,575.8,608.1,673.6,327.6,-80.2,1.2,155.6,6.9,339.4,11.0,13.0,20.0,40.0,40,64.8
