Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score
1,AMD,Semiconductors,2317.3,91.8,-2.5,1.4,7.7,65.9,103.8,147.0,230.3,295.2,435.0,2317.3,2526.1,-27.9,1.4,939.8,166.5,2462.6,5.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,1,32.19999999999999,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,6.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,111111111,111101011,195.8,190.0,155.6,155.6,7.0,9.0,1.0,541.4
2,NVDA,Semiconductors,3330.6,81.6,1.5,0.4,-10.2,-5.2,-3.4,-3.4,70.9,358.4,929.7,3330.6,4013.4,-12.1,1.1,3718.9,937.3,3475.9,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,-1,136.39999999999998,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,100001111,101111111,162.5,218.0,177.8,155.6,7.0,9.0,1.0,536.1
3,AXON,Public Safety Technology,676.6,55.2,15.0,25.5,26.2,32.3,18.0,-5.8,24.5,95.3,193.4,676.6,1246.3,-25.7,1.5,1392.7,601.1,821.9,33.0,33.0,34.0,34.0,0.0,0.0,3.0,3.0,22,-792.9999999999999,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,33.0,33.0,34.0,34.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,111101111,111111111,206.9,110.0,200.0,177.8,8.0,9.0,1.0,494.7
4,FTNT,Cybersecurity Software,603.0,100.0,0.0,2.8,9.7,57.5,73.9,69.9,70.9,74.3,176.2,603.0,603.3,-20.2,1.4,308.7,69.7,748.3,38.0,38.0,39.0,39.0,0.0,0.0,4.0,4.0,6,-6.0,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,38.0,38.0,39.0,39.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,8.0,9.0,1.0,494.7
5,ANET,Networking Equipment,801.5,88.9,4.9,3.5,-0.7,4.0,9.3,12.1,63.6,187.5,382.2,801.5,904.1,-19.6,1.3,693.9,155.1,946.8,24.0,24.0,25.0,25.0,0.0,0.0,5.0,5.0,1,23.5,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,24.0,24.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,101111111,100111111,184.7,150.0,155.6,155.6,7.0,9.0,1.0,490.3
6,PWR,Construction & Engineering,977.1,84.1,-0.6,-1.8,2.3,0.5,18.0,36.2,101.7,206.9,506.0,977.1,1124.7,-22.8,1.1,722.8,147.6,1122.4,18.0,18.0,19.0,19.0,0.0,0.0,6.0,6.0,2,29.299999999999997,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,18.0,18.0,19.0,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,011111111,001111111,184.7,150.0,155.6,155.6,7.0,9.0,1.0,490.3
7,LRCX,Semiconductor Equipment,1428.3,88.2,-3.6,0.9,25.1,45.4,62.4,138.9,290.3,414.4,604.7,1428.3,1603.7,-7.6,1.3,594.0,81.0,1573.6,11.0,11.0,11.0,11.0,0.0,0.0,7.0,7.0,-4,22.299999999999997,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,11.0,11.0,11.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,111111111,111111011,206.9,150.0,177.8,133.3,6.0,9.0,1.0,490.2
8,FIX,Engineering & Construction,2806.8,88.9,-0.3,-1.7,6.0,6.4,31.2,83.3,382.5,925.0,1738.4,2806.8,3110.6,-40.0,1.1,1631.0,226.9,2952.1,3.0,3.0,3.0,3.0,0.0,0.0,8.0,8.0,-4,60.20000000000002,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,011111111,100111111,184.7,190.0,155.6,111.1,5.0,9.0,1.0,485.8
9,BNB-USD,Cryptocurrency,1790.3,32.0,-0.7,-3.2,-18.7,-18.9,-26.4,-37.8,-19.8,-23.7,546.7,1790.3,5605.5,-25.2,1.3,8620.0,5187.2,1901.3,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,3,629.1999999999998,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,000000011,--0111111,123.9,190.0,171.4,171.4,6.0,7.0,1.0,485.3
10,LLY,Pharmaceuticals,610.7,94.9,-5.1,-3.6,11.8,14.4,9.7,20.6,25.0,110.4,274.0,610.7,643.8,-21.4,1.2,479.0,114.3,756.0,37.0,37.0,38.0,38.0,0.0,0.0,10.0,10.0,5,-12.400000000000006,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,37.0,37.0,38.0,38.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,011111111,111111111,206.9,110.0,200.0,155.6,7.0,9.0,1.0,472.5
11,HWM,Aerospace & Defense,751.1,92.2,-2.1,-2.8,6.4,4.3,8.1,18.0,150.2,324.2,550.0,751.1,783.4,-54.6,1.1,591.2,96.2,879.6,29.0,29.0,30.0,30.0,0.0,0.0,11.0,11.0,3,16.10000000000001,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,29.0,29.0,30.0,30.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,11.0,,,,,,,011111111,-01111111,193.4,150.0,175.0,125.0,5.0,8.0,1.0,468.4
12,AVGO,Semiconductors,1069.3,72.8,0.1,-1.1,-18.0,-9.9,-3.6,-0.9,91.6,266.7,506.0,1069.3,1473.1,-16.4,1.2,1321.6,320.3,1214.6,15.0,15.0,17.0,17.0,0.0,0.0,12.0,12.0,-5,53.5,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,15.0,15.0,17.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,12.0,,,,,,,000001111,111111111,162.4,150.0,200.0,155.6,7.0,9.0,1.0,468.0
13,TRX-USD,Cryptocurrency,745.5,11.4,-0.5,-4.3,-5.9,-8.7,-2.9,-7.3,60.0,141.2,438.2,745.5,6637.4,-26.9,1.2,6743.9,4625.7,856.4,30.0,30.0,31.0,31.0,0.0,0.0,13.0,13.0,-2,400.8000000000002,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,30.0,30.0,31.0,31.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,13.0,,,,,,,000001111,--0111111,146.1,150.0,171.4,171.4,6.0,7.0,1.0,467.5
14,JBL,Electronic Manufacturing Services,681.8,95.9,4.2,2.4,6.0,12.1,29.2,44.8,113.7,228.4,403.1,681.8,662.0,-28.8,1.1,366.8,54.7,827.1,32.0,32.0,33.0,33.0,0.0,0.0,14.0,14.0,4,2.6000000000000014,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,32.0,32.0,33.0,33.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,14.0,,,,,,,111111111,111111111,218.0,110.0,200.0,133.3,6.0,9.0,1.0,461.3
15,PANW,Cybersecurity Software,499.1,100.0,0.0,13.5,18.8,71.6,85.9,75.8,77.2,134.8,269.6,499.1,499.4,-34.6,1.2,211.7,49.0,644.4,46.0,46.0,47.0,47.0,0.0,0.0,15.0,15.0,1,-8.200000000000003,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,46.0,46.0,47.0,47.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,111111111,111111111,218.0,110.0,200.0,133.3,6.0,9.0,1.0,461.3
16,VRT,Electrical Equipment & Parts,1403.7,79.6,1.0,0.2,-2.0,-1.4,25.3,59.0,257.3,893.7,1230.8,1403.7,1741.3,-60.9,1.2,1009.3,202.9,1503.7,12.0,12.0,12.0,12.0,0.0,0.0,16.0,16.0,-11,65.70000000000002,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.0,16.0,,,,,,,100111111,---101111,176.1,150.0,166.7,133.3,4.0,6.0,1.0,459.4
17,BTC-USD,Cryptocurrency,1440.2,41.0,-0.1,-1.5,-14.2,-22.3,-26.3,-42.4,-37.3,-15.9,59.5,1440.2,3326.6,-9.6,1.3,5831.3,3211.5,1585.5,10.0,10.0,10.0,10.0,0.0,0.0,17.0,17.0,-8,423.4000000000001,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,17.0,,,,,,,000000011,111110111,129.1,150.0,177.8,177.8,8.0,9.0,1.0,456.9
18,APP,Software,986.5,64.1,10.0,16.1,-6.3,14.9,8.7,4.7,450.8,1017.8,,986.5,1542.2,-55.4,1.4,1431.2,397.8,1046.1,20.0,20.0,18.0,18.0,0.0,0.0,18.0,18.0,27,-164.3,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,20.0,20.0,18.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,18.0,,,,,,,1011111-1,------111,198.5,150.0,200.0,100.0,3.0,3.0,0.5,448.5
19,DELL,Computer Hardware & Services,1080.5,89.3,5.3,4.2,-7.0,76.3,150.1,177.0,275.8,488.4,731.2,1080.5,1206.8,-23.7,1.7,324.4,61.7,1213.7,16.0,16.0,15.0,15.0,0.0,0.0,19.0,19.0,2,-1.0999999999999943,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,16.0,16.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,19.0,,,,,,,101111111,-01111111,193.4,150.0,175.0,100.0,4.0,8.0,1.0,443.4
20,AMAT,Semiconductor Equipment & Materials,861.8,87.2,-5.4,1.6,43.7,59.3,80.5,146.1,208.9,280.3,436.7,861.8,991.0,-21.2,1.5,292.3,49.9,1007.1,21.0,21.0,21.0,21.0,0.0,0.0,20.0,20.0,7,14.299999999999997,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,21.0,21.0,21.0,21.0,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,20.0,,,,,,,111111111,011111011,195.8,150.0,155.6,88.9,4.0,9.0,1.0,434.7
