Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p,High_52W,Pct_From_52W_High,At_52W_High
1,NVDA,Semiconductors,3281.0,80.4,0.3,-1.0,-6.3,-5.2,-4.2,-4.5,66.3,345.5,903.5,3281.0,4013.4,-12.1,1.1,3777.4,969.3,3426.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,-3.5,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,4718977474349.98,4718.977,1.0,cap10,equity,data_raw,000001111,101111111,151.3,218.0,177.8,155.6,155.6,133.3,7,9,1.0,524.9,524.9,502.6,236.54,-17.63,False
2,AMD,Semiconductors,2208.3,87.5,-6.8,-2.9,-0.4,43.0,80.8,125.3,208.9,271.4,403.8,2208.3,2526.1,-27.9,1.4,990.4,186.4,2353.3,5.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,-1,30.80000000000001,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,844357634829.86,844.358,16.0,cap100,equity,data_raw,001111111,111101011,173.6,190.0,155.6,155.6,155.6,155.6,7,9,1.0,519.2,519.2,519.2,584.73,-11.44,False
3,BTC-USD,Cryptocurrency,1516.1,43.1,1.6,2.2,-2.9,-12.7,-18.8,-35.8,-31.7,-9.1,70.0,1516.1,3326.6,-9.6,1.3,5539.6,2962.2,1661.1,10.0,10.0,10.0,10.0,0.0,0.0,3.0,3.0,13,-183.60000000000036,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,1256506146854.59,1256.506,,crypto,crypto,data_raw,100000011,111110111,140.2,190.0,177.8,177.8,177.8,155.6,8,9,1.0,508.0,508.0,485.8,116273.3125,-46.11,False
4,BNB-USD,Cryptocurrency,1869.2,33.4,0.7,0.9,-5.7,-10.6,-19.2,-31.9,-14.6,-17.9,569.0,1869.2,5605.5,-25.2,1.3,8254.8,4870.1,1979.9,8.0,8.0,8.0,8.0,0.0,0.0,4.0,4.0,2,-147.39999999999964,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,77156287276.5,77.156,,crypto,crypto,data_raw,100000011,--0111111,135.0,190.0,171.4,171.4,171.4,171.4,6,7,1.0,496.4,496.4,496.4,1180.0149,-51.49,False
5,AXON,Public Safety Technology,681.6,55.6,15.4,26.3,13.8,24.9,16.2,-4.7,24.8,95.2,193.2,681.6,1246.3,-25.7,1.5,1382.6,593.6,826.7,30.0,30.0,31.0,31.0,0.0,0.0,5.0,5.0,8,-436.4999999999999,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,30.0,30.0,31.0,31.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,48122662281.04,48.123,248.0,large,equity,data_raw,111101111,111111111,206.9,110.0,200.0,177.8,177.8,133.3,8,9,1.0,494.7,494.7,450.2,764.02,-21.86,False
6,FTNT,Cybersecurity Software,588.7,97.7,-2.3,1.1,3.2,40.7,60.6,61.6,65.6,69.2,168.1,588.7,603.3,-20.2,1.4,316.4,73.8,733.8,37.0,37.0,38.0,38.0,0.0,0.0,6.0,6.0,-3,4.200000000000003,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,37.0,37.0,38.0,38.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,114476311093.75,114.476,110.0,large,equity,data_raw,111111111,111111101,206.9,110.0,177.8,177.8,177.8,111.1,8,9,1.0,494.7,494.7,428.0,159.8,-2.22,False
7,LRCX,Semiconductor Equipment,1258.0,77.7,-14.1,-9.5,1.3,20.1,37.4,104.1,240.1,350.2,517.9,1258.0,1603.7,-7.6,1.3,677.1,107.9,1403.1,12.0,12.0,12.0,12.0,0.0,0.0,7.0,7.0,3,35.0,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,439463159689.73,439.463,28.0,cap100,equity,data_raw,011111111,111111011,195.8,150.0,177.8,133.3,133.3,88.9,6,9,1.0,479.1,479.1,434.7,438.5,-19.86,False
8,LLY,Pharmaceuticals,626.8,97.3,-2.7,-1.7,8.0,13.0,10.5,21.5,27.5,113.7,279.5,626.8,643.8,-21.4,1.2,467.5,107.5,771.9,33.0,33.0,34.0,34.0,0.0,0.0,8.0,8.0,-1,7.0,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,33.0,33.0,34.0,34.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,1082493840636.9,1082.494,13.0,cap100,equity,data_raw,011111111,111111111,206.9,110.0,200.0,155.6,155.6,111.1,7,9,1.0,472.5,472.5,428.0,1238.0,-1.95,False
9,HWM,Aerospace & Defense,762.3,93.6,-0.7,-1.6,4.4,4.5,8.3,18.1,149.4,324.4,551.9,762.3,783.4,-54.6,1.1,583.3,93.0,890.6,26.0,26.0,26.0,26.0,0.0,0.0,9.0,9.0,3,2.9000000000000057,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,26.0,26.0,26.0,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,108193065943.27,108.193,113.0,large,equity,data_raw,011111111,-01111111,193.4,150.0,175.0,125.0,125.0,75.0,5,8,1.0,468.4,468.4,418.4,290.6326,-6.96,False
10,ANET,Networking Equipment,760.1,84.4,0.4,-0.7,-4.2,-1.2,3.5,6.5,54.1,171.0,355.4,760.1,904.1,-19.6,1.3,731.8,174.9,905.2,25.0,25.0,28.0,28.0,0.0,0.0,10.0,10.0,-2,-1.0999999999999943,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,25.0,25.0,28.0,28.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,201454525302.44,201.455,58.0,cap100,equity,data_raw,000111111,100111111,162.5,150.0,155.6,155.6,155.6,111.1,7,9,1.0,468.1,468.1,423.6,179.79,-11.01,False
