Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Period_Penalty,Alpha_Penalty,Penalty_Raw,Penalty,Penalty_N,Penalty_Rank,IsCrypto,Penalty_N2,Average_Rank
1,NVDA,Technology,922.5,81.6,1.9,2.5,-3.2,1.2,18.7,46.2,204.1,475.9,1270.1,5988.5,1132.5,-11.7,1.17,1058.52,1066.63,1024.7354799963962,6.0,6.0,16.0,15.0,0.8666666666666667,0.0,0.8666666666666667,0.87,0.007222222222222223,5.0,False,0.007222222222222223,11.6668
2,AMD,Technology,422.1,61.1,0.3,-0.7,10.2,20.0,50.3,30.3,43.1,51.2,143.3,1604.8,711.6,-31.7,1.37,586.08,576.77,524.3428648852637,9.0,10.0,19.0,18.0,0.8116666666666673,0.0,0.8116666666666673,0.81,0.006763888888888894,3.0,False,0.006763888888888894,13.7028
3,BTC-USD,Unknown,1797.9,64.1,-0.4,0.8,-11.6,-18.7,-21.1,-2.9,51.8,71.7,319.1,0.0,2807.9,-3.0,1.14,3648.64,3612.4,1797.9154714664433,4.0,4.0,9.0,9.0,3.9783333333333335,10.0,13.978333333333333,13.98,0.11648611111111111,25.0,True,0.3664861111111111,19.0105
4,ANET,Technology,264.0,61.2,1.2,3.3,-9.8,0.8,10.4,26.1,75.1,193.7,337.2,855.1,443.4,-19.1,1.23,498.84,477.96,366.1677549636229,15.0,16.0,20.0,19.0,0.9266666666666667,0.0,0.9266666666666667,0.93,0.007722222222222223,6.0,False,0.007722222222222223,19.9352
5,TSLA,Consumer Cyclical,1064.1,64.3,-5.7,4.3,-1.2,18.7,18.5,50.8,55.4,35.9,451.0,1128.8,1682.4,-49.4,1.29,1404.78,1411.85,1164.8203171307623,5.0,5.0,14.0,14.0,2.6800000000000006,8.888888888888893,11.568888888888893,11.57,0.09640740740740744,23.0,False,0.09640740740740744,20.6351
6,AAPL,Technology,195.2,70.2,0.3,-4.8,1.3,10.9,5.3,7.0,4.9,11.5,69.3,230.5,285.1,-16.5,1.18,281.33,281.48,295.9395981514068,21.0,23.0,22.0,22.0,0.2,0.0,0.2,0.2,0.0016666666666666668,1.0,False,0.0016666666666666668,22.269
7,UNI-USD,Unknown,7188.4,2.4,0.0,2.4,-2.6,6.4,11.9,-9.9,-6.9,-30.5,-42.6,-42.6,306013.3,-131.8,1.49,138604.17,138547.43,7223.497617107346,1.0,1.0,1.0,1.0,24.45,0.0,24.45,24.45,0.20375,37.0,True,0.45375,22.3239
8,LLY,Healthcare,206.5,85.1,0.2,2.0,22.0,25.0,20.1,13.8,40.9,135.0,270.0,542.0,248.5,-33.6,1.32,194.16,199.56,308.74104720929046,17.0,21.0,30.0,30.0,0.5600000000000004,0.0,0.5600000000000004,0.56,0.00466666666666667,2.0,False,0.00466666666666667,22.818
9,AVGO,Technology,208.9,74.4,3.1,-9.2,-2.1,6.3,28.5,73.2,161.0,304.6,492.4,934.3,283.0,-6.9,1.2,210.79,212.52,311.1495033748876,16.0,20.0,27.0,26.0,1.4633333333333334,0.0,1.4633333333333334,1.46,0.012194444444444445,8.0,False,0.012194444444444445,24.4437
10,TRX-USD,Unknown,385.2,5.4,0.0,1.2,-5.4,-10.5,-6.8,36.9,95.7,167.4,458.4,720.7,7353.9,-12.6,1.19,6693.13,6691.09,464.910018262228,10.0,11.0,6.0,5.0,6.885,13.33333333333333,20.21833333333333,20.22,0.1684861111111111,31.0,True,0.4184861111111111,26.1104
11,SOL-USD,Unknown,680.5,23.8,-0.2,-0.8,-19.9,-25.7,-31.7,-36.2,110.4,268.7,0.0,0.0,2954.5,-28.5,1.44,5853.99,5800.61,680.5138163121063,8.0,7.0,7.0,7.0,23.748333333333335,0.0,23.748333333333335,23.75,0.1979027777777778,34.0,True,0.44790277777777776,26.2794
12,MSTR,Technology,319.6,30.0,-2.3,-16.6,-42.3,-55.0,-61.2,-29.6,118.5,153.8,365.7,472.1,1219.5,-65.2,1.41,1805.53,1748.05,421.8213959213629,14.0,14.0,13.0,13.0,16.143333333333334,0.0,16.143333333333334,16.14,0.13452777777777777,26.0,False,0.13452777777777777,28.2553
13,DOGE-USD,Unknown,2164.2,19.5,-0.8,-5.6,-25.0,-33.1,-46.3,-40.0,-26.9,-2.6,1281.0,1579.7,11273.4,-39.5,1.69,23517.19,23350.42,2243.887836459672,2.0,2.0,2.0,2.0,24.084999999999997,26.66666666666667,50.751666666666665,50.75,0.42293055555555553,46.0,True,0.6729305555555556,28.2762
14,BNB-USD,Unknown,1965.8,61.7,0.4,1.7,-9.3,-2.3,6.6,26.4,72.2,130.6,1486.2,3102.3,3196.5,-19.9,1.29,2634.4,2715.21,2045.560706486326,3.0,3.0,11.0,10.0,6.445,26.66666666666667,33.11166666666667,33.11,0.2759305555555556,43.0,True,0.5259305555555556,28.5096
15,XRP-USD,Unknown,611.2,32.0,-0.6,-4.5,-18.4,-26.3,-31.0,72.9,120.5,141.8,233.9,221.1,2033.0,-57.1,1.59,2992.01,2326.16,690.9228881751043,7.0,8.0,10.0,11.0,12.403333333333334,13.33333333333333,25.736666666666665,25.74,0.2144722222222222,39.0,True,0.4644722222222222,29.4337
16,SMCI,Technology,205.4,16.0,-1.1,-11.4,-35.1,-41.5,-33.2,-52.5,-18.9,211.8,482.5,628.4,1712.8,-81.9,1.67,4128.63,4167.58,307.61859469214914,19.0,22.0,8.0,8.0,18.595000000000002,0.0,18.595000000000002,18.6,0.15495833333333336,27.0,False,0.15495833333333336,31.5881
17,RKLB,Industrials,376.3,88.6,-11.4,67.4,42.3,56.7,124.9,644.7,895.0,818.4,814.2,814.2,430.2,-44.6,1.67,122.11,121.49,427.97501861041576,13.0,12.0,33.0,33.0,20.94,0.0,20.94,20.94,0.17450000000000002,33.0,False,0.17450000000000002,36.2125
18,LINK-USD,Unknown,375.3,9.6,-0.3,0.7,-18.5,-24.8,-32.7,-37.5,-24.1,-43.0,169.5,634.2,4323.2,-45.8,1.68,10374.83,10111.22,455.0628504619905,11.0,13.0,4.0,4.0,23.746666666666666,40.0,63.74666666666667,63.75,0.5312222222222223,51.0,True,0.7812222222222223,37.9425
19,LRCX,Technology,159.5,95.6,-4.4,9.0,15.4,44.4,79.2,75.1,99.6,122.5,237.3,625.1,167.5,-15.5,1.74,70.9,80.43,261.7571098465146,25.0,25.0,38.0,37.0,3.9200000000000004,0.0,3.9200000000000004,3.92,0.03266666666666667,17.0,False,0.03266666666666667,38.1941
20,LUNR,Industrials,271.5,45.8,-2.9,67.0,49.8,48.4,29.0,116.6,108.4,80.6,80.6,80.6,642.3,-41.4,1.76,184.84,189.21,307.9505011445869,18.0,15.0,31.0,32.0,20.9,0.0,20.9,20.9,0.17416666666666666,32.0,False,0.17416666666666666,38.4054
21,HOOD,Financial Services,220.4,62.0,-5.0,-10.5,-18.6,-2.2,68.8,276.1,541.2,565.7,565.7,565.7,390.8,-57.8,1.16,236.21,235.36,262.3057870074398,23.0,17.0,25.0,25.0,19.405,0.0,19.405,19.4,0.16170833333333334,30.0,False,0.16170833333333334,38.5872
22,MKR-USD,Unknown,215.2,20.2,-3.8,-21.5,-25.0,-28.9,-23.8,-42.5,-24.9,-42.6,-17.5,-15.5,1275.9,-53.7,1.21,1957.56,1974.84,296.6991762331575,20.0,18.0,12.0,12.0,26.103333333333335,0.0,26.103333333333335,26.1,0.2175277777777778,40.0,True,0.46752777777777776,38.7169
23,AVAV,Industrials,134.0,58.9,-5.5,-9.1,-25.2,-19.8,13.5,14.9,39.4,66.1,88.8,216.5,255.5,-39.9,1.61,158.4,191.0,236.24302635333424,26.0,27.0,32.0,31.0,5.821666666666667,0.0,5.821666666666667,5.82,0.04851388888888889,20.0,False,0.04851388888888889,38.944
24,ENPH,Technology,171.9,5.7,-0.4,8.7,-2.7,-13.0,-37.2,-66.4,-93.0,-114.6,-94.4,355.9,4326.2,-81.4,1.78,11360.16,11553.99,274.14795710994986,22.0,24.0,3.0,3.0,30.94,0.0,30.94,30.94,0.25783333333333336,41.0,False,0.25783333333333336,40.248
25,TMDX,Healthcare,122.6,61.3,-5.8,-16.1,-2.5,-8.3,22.0,2.7,9.2,117.0,201.4,201.4,247.2,-74.5,1.37,209.93,208.04,200.07310417881288,28.0,28.0,28.0,27.0,13.766666666666667,0.0,13.766666666666667,13.77,0.11472222222222223,24.0,False,0.11472222222222223,40.7793
26,COST,Consumer Defensive,87.3,52.9,2.3,-6.7,-8.0,-14.9,-22.4,-21.2,-12.5,3.3,25.3,95.7,179.3,-16.2,1.15,241.96,241.08,189.538287502304,31.0,33.0,24.0,24.0,8.776666666666667,0.0,8.776666666666667,8.78,0.07313888888888889,21.0,False,0.07313888888888889,40.9534
27,KLAC,Technology,91.8,93.7,-5.8,3.9,6.2,19.5,42.1,44.3,71.1,124.6,270.1,628.7,99.3,-19.0,1.47,54.06,50.62,194.03424316386216,29.0,32.0,40.0,40.0,3.4,0.0,3.4,3.4,0.028333333333333332,16.0,False,0.028333333333333332,41.84
28,CAT,Industrials,75.6,82.6,-2.4,-2.0,8.4,20.9,35.2,37.0,49.1,77.1,113.7,182.0,98.2,-31.4,1.45,49.72,47.95,177.83851433977483,33.0,35.0,42.0,41.0,1.9933333333333334,0.0,1.9933333333333334,1.99,0.01661111111111111,11.0,False,0.01661111111111111,42.074
29,GS,Financial Services,68.6,93.9,-4.1,7.3,9.2,12.0,23.4,44.1,63.6,76.4,116.2,122.6,76.1,-46.0,1.13,29.71,27.61,170.8312222672268,34.0,37.0,45.0,43.0,1.64,0.0,1.64,1.64,0.013666666666666666,9.0,False,0.013666666666666666,42.541
