Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,High_52W,Pct_From_52W_High,At_52W_High
1,NVDA,Semiconductors,3558.7,87.2,1.8,1.3,-1.9,2.5,2.8,4.4,89.3,398.7,1049.6,3558.7,4013.4,-12.1,1.1,3456.6,800.9,3705.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4,-28.219680621421503,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,101111111,101111111,195.8,218.0,177.8,155.6,7,9,1.0,569.4,236.54,-11.79,False
2,AMD,Semiconductors,2386.8,100.0,6.8,7.0,29.6,93.5,112.6,168.8,238.4,307.1,461.9,2386.8,2386.6,-27.9,1.5,825.8,134.3,2533.5,7.0,7.0,7.0,7.0,0.0,0.0,2.0,2.0,5,-53.21195210319968,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,7.0,7.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,111111111,111101011,195.8,190.0,155.6,155.6,7,9,1.0,541.4,562.9899,-2.02,False
3,LRCX,Semiconductor Equipment,1518.2,100.0,4.1,8.8,43.3,55.9,82.4,168.4,315.1,441.6,660.4,1518.2,1502.3,-7.6,1.3,500.1,58.7,1664.8,12.0,12.0,12.0,12.0,0.0,0.0,3.0,3.0,-2,1.4000000000000057,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,111111111,111111011,206.9,190.0,177.8,133.3,6,9,1.0,530.2,409.75,-0.05,True
4,FIX,Engineering & Construction,3160.9,100.0,6.4,6.3,12.2,22.7,54.4,119.6,459.6,1062.7,1974.2,3160.9,3110.6,-40.0,1.1,1404.2,166.7,3307.6,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,-1,-47.544380651077915,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,111111111,100111111,195.8,218.0,155.6,111.1,5,9,1.0,524.9,2073.9883,-0.36,True
5,VRT,Electrical Equipment & Parts,1660.3,93.8,11.5,12.0,8.9,18.4,51.3,93.5,352.4,1054.0,1463.8,1660.3,1741.3,-60.9,1.3,835.6,137.2,1761.6,10.0,10.0,10.0,10.0,0.0,0.0,5.0,5.0,5,-69.45347993424392,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,111111111,---101111,198.3,190.0,166.7,133.3,4,6,1.0,521.6,379.93,-5.78,False
6,ANET,Networking Equipment,857.9,95.0,6.4,5.2,0.7,12.3,16.4,22.2,77.2,211.0,414.1,857.9,904.1,-19.6,1.3,642.1,131.6,1004.6,23.0,23.0,23.0,23.0,0.0,0.0,6.0,6.0,27,-52.99989177709281,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,23.0,23.0,23.0,23.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,111111111,100111111,195.8,150.0,155.6,155.6,7,9,1.0,501.4,179.79,-2.91,False
7,AVGO,Semiconductors,1159.2,78.8,-0.3,-0.9,-11.8,0.4,1.1,8.1,111.6,300.0,563.6,1159.2,1473.1,-16.4,1.2,1208.3,266.8,1305.9,15.0,15.0,15.0,15.0,0.0,0.0,7.0,7.0,15,-5.451974284961636,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,15.0,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,001111111,111111111,195.8,150.0,200.0,155.6,7,9,1.0,501.4,495.0,-20.78,False
8,PWR,Construction & Engineering,1071.4,92.1,3.7,2.8,2.7,11.6,30.6,49.7,121.5,238.3,570.4,1071.4,1124.7,-22.8,1.1,646.0,118.3,1218.1,16.0,16.0,17.0,17.0,0.0,0.0,8.0,8.0,5,-21.99339352302313,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,16.0,16.0,17.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,111111111,001111111,195.8,150.0,155.6,155.6,7,9,1.0,501.4,788.72,-6.16,False
9,BTC-USD,Cryptocurrency,1569.7,44.6,0.0,-0.7,-14.8,-15.9,-23.0,-39.9,-28.3,-6.3,80.7,1569.7,3326.6,-9.6,1.3,5405.8,2788.1,1716.4,11.0,11.0,11.0,11.0,0.0,0.0,9.0,9.0,123,-252.39408109636042,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,11.0,11.0,11.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,000000011,111110111,129.1,190.0,177.8,177.8,8,9,1.0,496.9,116273.3125,-44.83,False
10,FTNT,Cybersecurity Software,534.6,96.6,0.8,0.2,32.6,51.4,59.7,51.3,52.3,55.6,151.4,534.6,554.3,-20.2,1.4,316.7,75.7,681.2,46.0,46.0,46.0,46.0,0.0,0.0,10.0,10.0,4,0.3983637593290723,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,46.0,46.0,46.0,46.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,8,9,1.0,494.7,150.065,-3.12,False
11,TRX-USD,Cryptocurrency,802.3,12.2,0.6,3.4,-1.5,-0.5,3.5,-2.3,75.0,158.0,471.6,802.3,6637.4,-26.9,1.2,6286.0,4224.9,914.5,27.0,27.0,29.0,29.0,0.0,0.0,11.0,11.0,40,2511.1101033322366,EARLY_UP,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,27.0,27.0,29.0,29.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,11.0,,,,,,,100101111,--0111111,168.4,150.0,171.4,171.4,6,7,1.0,489.8,0.3763,-11.43,False
12,BNB-USD,Cryptocurrency,1948.6,34.8,-0.6,-2.2,-10.6,-13.5,-23.4,-33.3,-11.3,-14.7,608.1,1948.6,5605.5,-25.2,1.3,7955.2,4558.0,2060.8,9.0,9.0,9.0,9.0,0.0,0.0,12.0,12.0,102,-121.39575265064013,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,12.0,,,,,,,000000011,--0111111,123.9,190.0,171.4,171.4,6,7,1.0,485.3,1316.4071,-55.23,False
13,SMH,Unknown,714.7,100.0,4.2,6.5,19.6,38.0,52.3,79.5,151.5,238.6,361.4,714.7,714.6,-5.3,1.2,302.5,47.5,861.4,32.0,32.0,33.0,33.0,0.0,0.0,13.0,13.0,-2,-4.770322039594042,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,32.0,32.0,33.0,33.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,13.0,,,,,,,111111111,111111111,218.0,150.0,200.0,111.1,5,9,1.0,479.1,671.83,-0.43,True
14,HWM,Aerospace & Defense,805.2,98.6,-1.4,-1.7,12.5,6.7,16.2,25.2,172.1,351.7,595.1,805.2,783.4,-54.6,1.1,545.0,80.1,935.0,25.0,25.0,28.0,28.0,0.0,0.0,14.0,14.0,-8,-9.509713886875701,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,25.0,25.0,28.0,28.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,14.0,,,,,,,011111111,-01111111,193.4,150.0,175.0,125.0,5,8,1.0,468.4,290.6326,-3.53,False
15,LLY,Pharmaceuticals,550.4,90.9,-1.4,-1.6,7.1,3.0,-0.0,11.6,14.5,95.3,245.5,550.4,607.2,-21.4,1.2,498.1,126.7,697.1,45.0,45.0,45.0,45.0,0.0,0.0,15.0,15.0,-13,18.84592041407096,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,45.0,45.0,45.0,45.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,011011111,111111111,195.8,110.0,200.0,155.6,7,9,1.0,461.4,1182.73,-6.82,False
16,PANW,Cybersecurity Software,363.1,93.9,1.8,0.8,25.7,49.8,48.8,39.4,38.3,83.2,188.6,363.1,389.3,-34.6,1.2,221.6,57.2,509.8,62.0,62.0,65.0,65.0,0.0,0.0,16.0,16.0,10,-7.642629586094188,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,62.0,62.0,65.0,65.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.0,16.0,,,,,,,111111111,111111111,218.0,110.0,200.0,133.3,6,9,1.0,461.3,302.95,-5.46,False
17,RGTI,Quantum Computing,818.4,31.3,1.7,4.9,1.8,15.5,5.7,7.7,834.6,844.7,,818.4,2754.1,-93.0,1.6,2608.8,891.0,879.1,29.0,29.0,26.0,26.0,0.0,0.0,17.0,17.0,8,-7.039377924890346,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,29.0,29.0,26.0,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,17.0,,,,,,,1111111-1,------111,211.0,150.0,200.0,100.0,3,3,0.5,461.0,58.15,-63.23,False
18,JBL,Electronic Manufacturing Services,691.7,97.2,0.5,-0.1,6.5,17.8,35.4,49.5,118.1,234.5,416.4,691.7,662.0,-28.8,1.1,353.2,52.1,838.4,35.0,35.0,35.0,35.0,0.0,0.0,18.0,18.0,0,1.1551802048209083,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,35.0,35.0,35.0,35.0,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,18.0,,,,,,,011111111,111111111,206.9,110.0,200.0,133.3,6,9,1.0,450.2,428.9322,-12.05,False
19,MPWR,Semiconductors,612.5,88.2,6.9,5.5,-2.6,11.0,27.1,48.1,82.5,120.0,235.5,612.5,693.2,-5.3,1.4,384.1,78.9,759.1,38.0,38.0,39.0,39.0,0.0,0.0,19.0,19.0,-3,3.147251834194691,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,38.0,38.0,39.0,39.0,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,19.0,,,,,,,101111111,111111111,206.9,110.0,200.0,133.3,6,9,1.0,450.2,1714.0898,-10.28,False
20,QUBT,Quantum Computing,952.5,11.7,0.9,7.2,-1.2,14.7,6.3,-19.8,532.2,411.8,304.6,952.5,9187.6,-139.9,1.6,10520.8,6064.9,1099.2,19.0,19.0,19.0,19.0,0.0,0.0,20.0,20.0,25,1064.8999999999996,EARLY_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,19.0,19.0,19.0,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,20.0,,,,,,,101101111,111000111,162.5,150.0,133.3,133.3,6,9,1.0,445.8,23.79,-55.7,False
21,DELL,Computer Hardware & Services,1069.0,88.4,-0.3,-0.8,43.5,98.5,154.9,178.7,283.2,481.6,722.7,1069.0,1206.8,-23.7,1.6,308.1,62.8,1203.5,17.0,17.0,18.0,18.0,0.0,0.0,21.0,21.0,-17,-10.732989615596367,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,17.0,17.0,18.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,21.0,21.0,,,,,,,011111111,-01111111,193.4,150.0,175.0,100.0,4,8,1.0,443.4,469.47,-10.81,False
22,000660.KS,Memory,3530.8,100.0,0.0,15.1,74.2,131.5,216.1,528.8,1336.1,1925.9,2312.1,3530.8,3530.0,-22.7,1.2,667.1,42.3,3677.5,2.0,2.0,2.0,2.0,0.0,0.0,22.0,22.0,0,0.0,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,22.0,,,,,,,111111111,101-00111,179.5,218.0,111.1,44.4,2,9,1.0,441.9,2945000.0,-0.88,False
23,MU,Semiconductors,2647.1,100.0,4.3,15.4,69.2,134.6,204.4,491.9,987.7,1276.5,1551.7,2647.1,2645.9,-25.2,1.5,488.6,32.5,2793.8,6.0,6.0,6.0,6.0,0.0,0.0,23.0,23.0,-8,-9.531159445735597,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,6.0,6.0,6.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,23.0,23.0,,,,,,,111111111,111100011,184.7,190.0,133.3,66.7,3,9,1.0,441.4,1213.5601,-0.18,True
24,URI,Equipment Rental,358.0,98.8,5.7,3.5,11.4,20.1,23.6,18.3,30.4,75.5,185.9,358.0,362.9,-36.0,1.3,257.3,57.4,504.7,63.0,63.0,66.0,66.0,0.0,0.0,24.0,24.0,-7,-3.4341330762039988,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,63.0,63.0,66.0,66.0,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,24.0,,,,,,,111111111,100111111,195.8,110.0,155.6,133.3,6,9,1.0,439.1,1106.8781,-1.28,False
25,AXON,Public Safety Technology,394.2,33.0,-1.8,-3.8,-7.0,-16.0,-22.5,-41.1,-24.0,17.8,78.1,394.2,1246.3,-25.7,1.5,2340.8,1394.1,540.9,56.0,56.0,58.0,58.0,0.0,0.0,25.0,25.0,46,447.4757623059303,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,56.0,56.0,58.0,58.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,25.0,,,,,,,000000111,111111111,151.3,110.0,200.0,177.8,8,9,1.0,439.1,764.02,-46.33,False
26,QBTS,Quantum Computing,820.5,46.0,3.1,6.1,0.7,21.9,11.9,12.1,1001.2,898.8,,820.5,1840.5,-110.7,1.5,1509.6,337.9,884.9,28.0,28.0,25.0,25.0,0.0,0.0,26.0,26.0,11,4.8399609318715875,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,28.0,28.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,26.0,,,,,,,1111111-1,-----0111,187.0,150.0,150.0,100.0,3,4,0.667,437.0,46.75,-47.66,False
27,AMAT,Semiconductor Equipment & Materials,850.0,100.0,0.0,7.3,51.2,58.2,86.5,152.6,205.7,273.2,438.4,850.0,849.6,-21.2,1.6,240.4,35.6,996.7,24.0,24.0,24.0,24.0,0.0,0.0,27.0,27.0,-18,0.30000000000000426,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,24.0,24.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,27.0,,,,,,,111111111,011111011,195.8,150.0,155.6,88.9,4,9,1.0,434.7,641.18,-0.16,True
28,SNDK,Data Storage Devices,2836.9,100.0,7.2,15.4,59.3,145.4,383.8,1992.1,,,,2836.9,2804.8,-4.5,1.5,518.0,26.3,2853.3,5.0,5.0,4.0,4.0,0.0,0.0,28.0,28.0,37,2.400000000000002,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,5.0,5.0,4.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,28.0,,,,,,,11111---1,--------1,207.0,190.0,200.0,33.3,1,1,0.167,430.3,2354.3899,-3.43,False
29,STX,Data Storage,2216.4,100.0,0.0,1.9,33.6,92.8,159.4,333.4,908.6,1131.7,1455.4,2216.4,2215.0,-36.7,1.2,491.2,30.1,2363.1,8.0,8.0,8.0,8.0,0.0,0.0,29.0,29.0,-1,-5.573840736332727,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,29.0,29.0,,,,,,,111111111,100101011,173.6,190.0,111.1,66.7,3,9,1.0,430.3,1145.0,-4.45,False
