Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,NVDA,Technology,1897.4,64.1,2.2,18.5,11.1,6.6,9.0,75.4,261.3,436.1,1028.1,4583.7,2965.6,-10.6,1.2,2950.2,725.5,1981.0,4.0,4.0,6.0,15.0,-10,-1.2
2,BTC-USD,Coin,7604.1,84.4,3.0,9.4,15.6,13.6,37.0,104.6,179.3,230.7,572.5,6775.0,9008.0,-11.6,1.2,7715.3,1716.7,7687.7,1.0,1.0,3.0,7.0,0,3.8
3,TSLA,Technology,3119.9,98.3,-0.9,26.1,14.4,4.9,32.1,27.5,23.1,30.4,437.1,868.1,3174.5,-60.4,1.2,1873.5,337.8,3203.5,3.0,3.0,8.0,19.0,0,10.4
4,ETN,Industrials,125.0,83.8,-2.4,7.3,10.7,2.4,-0.3,7.9,29.4,65.2,110.3,167.8,153.0,-19.7,1.2,128.5,28.9,208.7,28.0,31.0,39.0,52.0,-7,33.4
5,DOGE-USD,Coin,4997.9,34.5,-2.4,22.6,11.5,-12.3,32.8,88.8,100.7,1142.1,3127.2,3388.8,14529.3,-32.7,2.1,9319.0,3764.8,5059.8,2.0,2.0,2.0,6.0,33,36.6
6,AMD,Technology,742.0,42.6,0.4,14.2,7.9,-2.2,-17.8,-29.9,-23.6,-27.3,41.9,794.6,1784.8,-31.6,1.2,2544.5,1376.6,825.6,9.0,9.0,7.0,12.0,27,36.8
7,AVGO,Technology,165.2,89.4,-1.4,17.6,17.5,21.9,32.3,74.5,147.3,257.5,414.4,765.6,188.0,-26.4,1.2,106.8,17.9,248.9,24.0,24.0,42.0,57.0,0,40.8
8,AAPL,Technology,210.0,69.5,-4.0,-8.5,-12.4,-12.0,-11.8,-14.7,-14.0,-7.2,46.4,164.6,311.5,-21.3,1.1,347.1,115.1,293.7,19.0,21.0,22.0,35.0,15,41.4
9,LLY,Healthcare,162.0,55.7,-0.4,-17.8,-14.3,-9.2,-16.4,-6.2,20.3,108.9,218.0,401.7,313.1,-27.6,1.2,391.4,122.8,245.6,25.0,25.0,18.0,32.0,17,43.4
10,MSTR,Financials,1289.1,66.0,-3.2,9.9,32.7,22.3,97.1,439.3,858.2,1011.0,1521.3,1734.2,1990.6,-72.8,1.5,989.5,116.0,1372.7,7.0,7.0,11.0,34.0,30,48.6
11,NFLX,Communication Services,203.7,89.2,6.7,2.2,15.3,23.5,46.8,86.8,162.9,126.2,126.7,324.7,228.7,-3.2,1.6,114.1,19.2,287.3,21.0,23.0,41.0,56.0,10,49.4
12,COST,Consumer Defensive,230.7,98.2,5.3,-4.6,0.3,4.7,9.4,27.9,40.1,69.3,115.8,223.4,235.3,-14.2,1.1,159.7,28.6,314.4,17.0,18.0,32.0,53.0,15,49.6
13,WM,Industrials,45.1,55.4,1.0,-9.2,-2.0,2.9,3.4,4.2,1.7,13.6,18.2,53.5,90.1,-10.7,1.2,104.9,44.6,128.8,49.0,51.0,44.0,46.0,8,55.2
14,MSFT,Technology,82.1,44.5,1.9,7.1,11.3,10.1,4.8,1.3,10.0,17.3,59.7,226.7,198.3,-11.1,1.2,178.2,100.4,165.7,34.0,38.0,30.0,40.0,20,56.4
15,ENPH,Energy,1168.9,14.7,1.1,-8.2,-13.8,-20.6,-43.1,-67.3,-89.0,-101.5,9.4,700.0,8457.4,-82.6,1.4,18254.6,25355.4,1252.6,8.0,8.0,1.0,1.0,55,58.8
16,ISRG,Healthcare,56.6,49.4,-3.6,2.6,-0.2,1.7,8.7,22.4,43.2,44.7,57.8,179.7,121.5,-6.7,1.3,105.9,39.6,140.2,45.0,46.0,43.0,48.0,13,59.0
17,AMAT,Technology,47.6,26.4,-4.4,6.0,4.3,0.3,-14.1,-18.3,-8.8,1.6,47.4,151.7,247.5,-24.0,1.4,387.1,290.8,131.3,47.0,49.0,19.0,22.0,29,60.8
18,PANW,Technology,73.2,62.3,0.7,2.2,2.6,3.1,6.4,12.6,32.5,88.6,156.4,263.9,142.3,-41.1,1.3,130.6,40.2,156.9,37.0,41.0,38.0,47.0,20,62.0
19,XRP-USD,Coin,412.8,48.8,-6.2,-1.1,-2.1,12.2,173.3,230.5,298.7,331.1,380.5,371.6,910.2,-60.4,2.6,443.8,101.1,474.7,13.0,13.0,17.0,39.0,38,62.2
20,ASML,Technology,27.7,16.9,-2.4,5.5,5.5,6.8,-9.3,-18.7,-17.0,-16.4,29.7,147.2,242.9,-16.2,1.6,620.5,539.0,111.3,57.0,59.0,13.0,16.0,34,66.2
