Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,ytd,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,NVDA,Semiconductors,3737.7,91.5,2.6,6.0,1.4,6.2,6.6,8.3,98.2,423.2,1106.3,3737.7,4013.4,-12.1,1.1,3255.9,1101.0863645575241,3887.9,1.0,1.0,1.0,1.0,4.44,4.44,21.29,21.29,4,379.9839005389947,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,1.0,1.0,1.0,1.0,4.44,4.44,126.0,0.0,0.0,12.0,-22.0,21.29,21.29,,,,,,,236.54,-7.56,False
2,FIX,Engineering & Construction,2796.8,89.1,0.4,30.8,1.2,10.1,38.2,95.9,396.9,933.0,1743.5,2796.8,3095.3,-40.0,1.1,1482.5,225.3569961041683,2940.6,2.0,2.0,2.0,2.0,8.89,8.89,45.59,45.59,12,23.012616271287015,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,2.0,2.0,2.0,2.0,8.89,8.89,36.0,0.0,0.0,12.0,0.0,45.59,45.59,,,,,,,2073.9883,-11.09,False
3,MPWR,Semiconductors,673.0,96.9,5.4,30.3,3.3,18.2,35.5,58.5,96.9,138.6,264.4,673.0,693.2,-5.3,1.4,333.8,99.21260266825526,823.2,32.0,32.0,33.0,33.0,0.0,0.0,47.15,47.15,4,36.475591712708216,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,32.0,32.0,33.0,33.0,0.0,0.0,43.0,0.0,0.0,-6.0,0.0,47.15,47.15,,,,,,,1714.0898,-3.59,False
4,SMCI,Computer Hardware,884.9,24.5,-3.2,34.5,21.5,34.1,31.8,3.8,-22.0,241.9,577.9,884.9,3831.2,-73.1,1.4,3657.3,673.157422588774,1028.7,24.0,24.0,25.0,25.0,23.33,23.33,51.73,51.73,0,-2945.736471282174,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,24.0,24.0,25.0,25.0,23.33,23.33,52.0,0.0,0.0,0.0,0.0,51.73,51.73,,,,,,,58.78,-29.16,False
5,KLAC,Semiconductor Equipment,1043.8,89.2,-5.2,20.7,5.8,11.3,26.0,55.7,127.2,229.0,439.2,1043.8,1169.5,-14.1,1.2,646.8,47.724636999848826,1187.5,16.0,16.0,16.0,16.0,4.44,4.44,54.69,54.69,1,-53.4983251703747,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,16.0,16.0,16.0,16.0,4.44,4.44,49.0,0.0,0.0,0.0,0.0,54.69,54.69,,,,,,,2156.6899,-10.55,False
6,SMH,Unknown,651.7,97.6,-1.3,36.5,10.7,27.5,40.9,66.0,131.6,211.6,324.7,651.7,667.5,-5.3,1.2,292.3,44.882628146492806,801.9,33.0,33.0,34.0,34.0,0.0,0.0,60.4,60.4,16,-2.1937418825777826,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,33.0,33.0,34.0,34.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,60.4,60.4,,,,,,,642.77,-2.37,False
7,DELL,Computer Hardware & Services,996.0,82.5,-17.5,132.6,36.3,87.9,141.0,163.1,260.4,446.3,672.0,996.0,1206.8,-23.7,1.7,294.9,11.015176771674325,1127.8,20.0,20.0,20.0,20.0,5.0,5.0,65.8,65.8,3,-35.184823228325676,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,20.0,20.0,20.0,20.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,65.8,65.8,,,,,,,469.47,-15.99,False
8,VRT,Electrical Equipment & Parts,1480.4,83.8,1.5,28.9,-3.0,5.0,34.7,72.3,303.8,936.3,1303.9,1480.4,1741.3,-60.9,1.3,893.3,228.51448770006675,1584.5,10.0,10.0,10.0,10.0,12.07,12.07,67.72,67.72,11,52.96959308551459,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,10.0,10.0,10.0,10.0,12.07,12.07,45.0,0.0,0.0,25.0,0.0,67.72,67.72,,,,,,,379.93,-14.74,False
9,AMD,Semiconductors,1982.7,84.9,-14.7,75.9,10.6,63.9,79.9,126.7,181.9,236.9,363.6,1982.7,2340.5,-27.9,1.5,897.6,37.84369581932496,2126.5,6.0,6.0,7.0,7.0,15.89,15.89,68.99,68.99,-8,-95.15630418067505,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,6.0,7.0,7.0,15.89,15.89,10.0,0.0,0.0,12.0,0.0,68.99,68.99,,,,,,,546.44,-14.65,False
10,LLY,Pharmaceuticals,574.6,94.7,3.3,4.9,11.2,7.1,4.1,16.2,20.2,104.0,259.3,574.6,607.2,-21.4,1.2,474.8,148.85587255477728,718.3,38.0,38.0,40.0,40.0,0.0,0.0,70.5,70.5,2,28.593465146045702,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,38.0,38.0,40.0,40.0,0.0,0.0,96.0,0.0,0.0,12.0,0.0,70.5,70.5,,,,,,,1166.29,-2.99,False
